frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Medial-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
0	30	1.37313	10.00029	7.18349	3.72112	0.88892	1.69058	1.89939	2.8084	7.51152	5.65099	4.50256	6.82088	9.0731	2.79065	8.64216	2.77101	7.59214	3.93341	6.42244	6.30958	2.63898	4.48398	6.28604	4.9482	2.4516	2.07263	0.2114	1.33687
30	60	1100.83918	730.26877	1777.18749	1416.20427	1220.32037	1136.82599	2184.30409	1096.60511	1446.62271	1047.99717	1018.18486	1239.81635	1544.48434	1408.97557	1474.08221	1298.76354	1493.89384	1143.64931	1477.29153	917.01471	1337.44737	900.91371	946.00059	996.68635	1085.94174	1198.12205	1779.59689	1219.4394
60	90	6690.61996	4703.95082	7665.9154	7109.07732	7132.22089	6180.2214	7029.09445	6333.93335	6677.78606	6109.2453	5592.94672	8036.43213	7676.45331	7226.68008	7764.6463	6886.17067	7469.06514	6552.18788	7061.69651	5005.35544	5759.66146	5227.78282	4807.53784	4928.31557	5169.2288	5552.60366	8883.2911	6114.57322
90	120	14707.55713	12491.17304	17006.82277	15095.97129	15774.30416	15460.19885	14228.88512	14077.44481	14912.15953	13629.40027	12727.02876	17605.5046	16403.08103	15656.29436	16247.82563	15314.12977	15600.71289	14813.24574	15009.31609	12423.67948	14469.40548	15267.57772	13659.64166	13426.1995	14939.21108	13282.52141	14195.25205	14337.64921
120	150	20519.8596	20851.71214	26969.34282	25270.73847	22757.31105	22594.92751	26045.53854	24140.98105	26181.88409	23106.11349	19528.01726	28654.53445	25308.98702	27519.58937	25860.18115	25846.20468	25540.39418	24979.34127	24477.02607	21623.95071	25024.17924	26548.55093	23261.93298	21338.26387	24409.73729	20441.88684	23959.11309	22900.18656
150	180	22879.50414	25549.9074	34097.53892	29891.7972	27710.85951	27388.59695	28270.61268	30565.2001	31123.04103	26812.55875	28147.84952	28695.23671	31906.46921	28098.20804	32725.72353	27701.58455	32709.32506	29059.49148	31262.1382	26034.9337	27394.53419	27514.75603	26476.10413	25482.76428	27484.86571	24959.66639	28445.68086	25383.06434
180	240	24162.60215	21913.50616	31691.49484	30304.8883	30361.49848	27387.4253	27950.35696	30340.103	32175.90639	27585.34124	27088.65707	29863.64145	31277.84452	30481.08157	33138.9153	28855.08656	32451.29454	30126.40706	31011.20369	28484.23318	29922.88393	27382.8277	24300.43591	22725.09018	27920.82729	23730.14432	26223.46855	27466.37974
240	300	21600.0642	25329.60181	30801.94591	29959.40061	28595.12309	27057.59709	27945.72805	31335.7378	32494.65151	28368.91662	25809.76581	29782.0562	28116.15505	30498.78643	31031.13862	28987.34421	30897.95397	31028.7191	29550.19088	28439.54577	30412.94875	30804.37026	26846.62488	25998.78735	30110.60184	25631.92891	26482.71694	27966.22801
300	360	22185.93298	22811.29354	29508.32405	28116.88779	26889.96762	26552.27955	25887.66529	29370.43429	30056.73684	27167.6674	25233.57116	27216.75442	28524.90009	29040.76551	30743.28478	28166.33698	30166.97033	29019.60142	28714.42173	29366.52133	28333.81181	27015.31312	23818.26672	24303.73852	26703.42807	22323.59162	26822.63735	25745.34071
360	480	19562.05454	21294.4771	26327.72215	26414.44254	23760.68244	24619.42027	23757.68458	27944.30471	27570.7827	25436.13533	23386.10389	25993.1925	25354.04373	27822.86068	27534.19784	26280.2501	27224.43845	27607.35565	26101.64176	26600.02825	27662.35815	25712.61429	23247.99072	23858.3221	26213.86298	22444.70963	26281.14321	25617.74354
