frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Medial-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Paralaminar-nucleus
0	30	1.84105	0.22502	7.31124	4.78718	1.21717	0.55981	2.14219	0.92559	12.35015	0.86122	5.80884	0.76042	13.29512	0.25842	12.33203	0.25612	10.3932	0.8702	8.58002	7.42082	1.26004	2.85533	5.20358	3.35208	0.83676	0.42669	2.13977
30	60	960.46244	485.05456	1366.85035	1436.47839	1078.43511	973.61228	1580.3884	968.94591	1406.9862	1061.05738	1235.20743	1422.13946	1593.05373	1535.08141	1401.96707	1342.6711	1386.15919	1163.00451	1448.38024	1099.17911	1522.67261	603.7525	712.44893	819.35766	831.04803	942.10887	1471.37273
60	90	7121.43085	4461.37676	8216.28807	7670.57511	7074.85927	7070.77606	7662.0194	7126.19078	6752.26022	6367.97083	5384.31719	8493.2771	7437.90224	7964.09324	7616.50697	7420.41836	7391.1664	7100.83845	6853.38589	4947.13256	5741.7555	4147.10309	4556.0535	4947.48952	4862.53145	5140.13829	6352.03359
90	120	14111.19126	12400.96208	16112.89769	14693.33121	16054.64186	15687.50696	13314.74534	13193.20829	13734.88119	14333.64045	13825.54711	17573.19567	15392.78715	16924.72944	15061.49485	16427.82847	15198.51637	15442.43969	14542.36644	12205.91521	13996.64551	16806.69226	15441.74609	14701.53756	15726.91115	13592.90458	13547.38674
120	150	20852.89773	21673.62573	29284.80295	26298.83611	21635.08966	23485.2414	26814.11583	23859.85203	25949.77503	23295.01482	20730.25833	28340.22766	26117.52892	27143.79662	26785.8425	25781.67051	26635.80685	24947.32281	25280.23231	20569.1756	23694.29793	26480.47518	22745.23438	20351.9055	25381.26186	20345.24647	21016.01606
150	180	23449.96418	22710.48484	35005.97493	31035.51434	26427.38864	26930.80575	27828.46704	30997.63057	30677.29963	26896.77159	30846.52153	29748.54317	34029.30264	29651.51267	34179.82802	28537.76011	33732.95869	29324.38737	32251.86983	26645.769	27051.46919	26367.79411	24039.36579	21321.98543	23896.643	21627.25793	25500.86835
180	240	25198.49227	21490.10617	32526.95117	31805.31159	30724.79864	28471.18818	28655.26622	31764.79827	33629.67588	27666.16948	28919.82343	30254.25714	30752.70954	30261.8267	33701.6985	28803.28499	33371.01195	30431.1298	31992.62904	28466.9744	30130.27791	28083.5253	25291.98047	23323.41271	28573.34185	23094.09096	26788.25593
240	300	23212.05951	24555.64621	30882.37462	30587.8651	27550.5854	28612.87968	28675.078	31008.1988	32731.07091	29168.70387	27123.1515	31186.31503	27984.09113	29771.15546	31437.09458	28402.72187	31425.07465	31379.02238	30348.51109	28807.09528	31928.42374	29537.95103	25740.43583	25533.60111	30985.04581	25730.62015	29513.34525
300	360	22964.20496	21997.34321	29828.19938	28571.84375	27184.72465	28348.76796	26601.24952	29013.12508	30031.88817	26763.02764	25842.80103	29331.20176	29171.91252	29274.51169	30873.05286	28547.67934	30268.25795	29191.88299	28968.3664	27883.4677	28061.86528	26427.03901	24378.10045	25362.3907	26963.33921	21757.59249	25982.11807
360	480	20174.24503	20620.36236	26321.42787	26835.67676	23299.39465	24155.46216	24505.86036	28895.39067	28047.61174	25600.73604	24286.45943	26214.13728	24847.07604	27348.77823	27522.94386	25830.18312	27299.88087	27897.22752	26328.29174	26048.35051	28494.79628	25471.70008	21585.29911	22688.98114	25365.10957	21714.94773	27387.20397
