frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pc	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VPL
0	30	213.53315	359.491	568.0552	374.5367	767.8358	233.41186	409.82222	665.39968	274.04966	433.82812	298.30109	366.6856	777.75578	382.82973	296.62277	593.89341	521.94512	326.50373	296.62431	295.75614	223.97949	164.96697	245.9917	110.87231	160.28162	243.54708	298.68597	167.99602	154.84488	223.13726	174.61679	197.87981	296.16205	119.95168	148.52498	121.05305	347.0325	164.86162	226.57233	254.68652	228.44674	136.54541	163.28064	203.66213	197.72327	201.23651
30	60	7190.17496	6429.56129	9284.78003	6327.59789	7907.05099	4655.09916	6639.63213	5476.48405	9283.7143	7727.99915	5179.03828	5201.7177	4579.90597	6819.12172	4881.99543	4864.24534	5307.39933	5303.72151	5496.83856	5803.64523	6833.89086	4385.28308	5391.09884	6487.27568	5961.06039	7061.52327	6504.45428	5245.73793	5579.2065	5659.75805	6116.97442	8067.48232	7697.09136	6515.67734	4703.17007	7698.68457	5523.48122	6144.5628	6794.99	5653.38923	6571.60054	5628.74609	6004.80309	5823.94132	6317.93038	5256.71243
60	90	13364.41175	14150.23455	15721.48447	15930.52328	13738.59262	13222.16497	14464.30567	13486.57346	18443.90158	18011.92019	14662.93374	13681.79136	14478.8354	19079.25309	13791.55675	14250.64333	16671.36805	12359.90674	14721.5902	14030.79108	14717.66176	11271.54053	13188.19124	14715.13657	13576.23549	17406.97819	16804.26624	15425.20632	12174.96276	15042.07802	15733.66263	19094.72377	18206.15826	14161.36941	12395.04432	16290.32422	14471.86737	19058.28306	15454.98511	15522.09603	17153.64837	11940.8827	12950.34677	13817.53055	15833.75699	13799.76342
90	120	23798.52613	25816.67867	25475.42168	29001.41331	23044.42037	18110.87009	23209.51872	21056.60493	31763.99545	29162.46981	24215.81633	22884.06696	23073.89424	28481.27816	24162.0545	22480.29115	23806.00386	20508.97221	22793.856	21622.74618	24677.39607	19191.30664	21981.83114	25986.42243	28206.46646	27528.98096	29348.58898	21588.79703	25204.70765	23352.57382	20785.96662	33305.88746	30746.32259	27266.38343	23230.91977	33561.01367	24966.24222	28902.19785	25339.55332	23505.56576	24487.30005	20411.12639	24781.46928	22134.79541	24707.37371	24242.50738
120	150	31042.05696	31640.32222	30885.77031	38369.38612	23659.30521	27465.05276	26433.78954	29449.05447	39804.02255	35933.9959	37192.89925	27241.45884	34768.8468	39317.77809	33745.03252	30055.9059	32446.97777	25523.35454	26240.80735	28633.75046	31954.27413	27266.27295	31205.79156	33597.05074	31820.66232	33060.62321	39475.84609	20489.21687	28736.88459	23986.06112	26895.78516	40399.64766	37115.29805	29801.99627	25257.74084	36824.88281	34518.18179	35105.71644	30807.82946	29600.4216	31696.1768	28240.34607	29613.63299	28441.02959	31829.6661	29377.63896
150	180	30110.38182	34359.11678	30394.52422	39078.7249	23680.96056	27819.02602	24928.85158	31344.81228	39860.11458	36937.40765	36696.00472	32758.57673	34396.89754	39090.94655	33016.59664	27512.51767	31686.62658	26138.30333	33287.55469	30531.49263	33413.11766	27228.71631	29623.16642	30212.97854	37813.88311	33254.1346	40262.17106	24561.37748	30294.23252	28423.9609	26881.93532	41806.9369	37973.16336	36712.23459	34985.17022	46029.13867	34256.24138	36924.54074	34479.92856	31712.10519	33235.41252	27776.20152	35824.4304	32036.91126	34543.40211	30815.27486
180	240	29944.44366	30948.68101	33388.64902	39507.87776	26171.73715	28201.51599	28765.66661	30137.65842	41313.74726	36563.11938	35337.03427	26985.83036	33889.69695	39163.00951	32344.29038	31726.33595	30515.26883	26990.22796	28917.17188	30860.4016	33914.13481	25352.1875	32014.82926	30322.64305	33921.50813	31900.20589	41072.36763	23342.84706	31519.24245	26627.71241	26543.42417	41071.15778	36520.41143	33511.52785	29444.1591	40856.31055	33898.88959	37431.46169	33492.78881	31027.2936	31190.38611	28151.78379	32564.97212	32427.24844	34817.43712	32054.31376
240	300	30871.92008	32434.11983	33261.35508	37955.422	24852.26202	26875.07916	29912.67686	27654.17643	38990.11007	35113.66041	31892.19908	29935.55845	33425.5198	38528.2548	31905.82821	28097.91042	30927.81433	27654.42602	30180.19549	29980.90948	33015.9539	26512.30664	29960.61268	28185.71233	31701.8817	31483.99886	37446.2454	21966.74587	28558.4866	26907.59454	24243.02229	39160.70213	34196.39489	28895.72606	28035.22972	35305.62891	29021.34486	37980.41663	30027.07004	31214.91745	30079.87466	26874.8808	31427.5593	32126.33456	34227.5965	31306.35454
300	360	26204.27545	29491.87189	26652.8709	31803.764	20544.05281	26486.92264	24461.55394	26233.37066	35413.54819	30657.60414	33184.68093	24410.46861	25418.23119	34437.10807	30540.39284	26656.57026	29082.17118	26078.69595	27125.53942	28212.59681	30836.00883	24039.2207	28655.26964	25558.23068	33315.93385	29131.41634	36813.61562	19911.33136	27384.53097	25077.57645	25816.13798	38834.16828	34099.50318	28310.49381	27355.71109	38253.69531	31710.42751	34427.17882	30116.48368	27708.39361	27908.74913	27855.69288	32929.07759	29998.22681	32104.20329	28857.84354
360	480	24337.03007	28072.93252	23909.46016	34964.85914	17717.9005	23252.01449	21719.61117	24881.08116	33447.44066	29726.23256	28304.82118	23344.37347	30331.74297	33629.1874	27153.49514	26561.08601	25454.13308	25523.86086	26921.10067	26892.03169	28455.61616	20500.19336	27650.43386	23766.35145	28925.30189	24025.64779	32038.79423	17888.44794	25789.84001	22716.73001	22111.21473	33117.91695	28268.66352	25578.44566	23711.39558	34334.94727	24478.52959	32870.83466	27298.70788	26020.91943	24857.3148	24514.53227	28372.76154	27615.96297	30043.78832	28140.66515
