index	name	volume-mm3
203	parasubiculum	37.0
211	HATA	61.0
212	fimbria	26.0
215	hippocampal_fissure	153.0
226	HP_tail	584.0
233	presubiculum-head	135.0
234	presubiculum-body	163.0
235	subiculum-head	222.0
236	subiculum-body	210.0
237	CA1-head	671.0
238	CA1-body	144.0
239	CA3-head	98.0
240	CA3-body	99.0
241	CA4-head	127.0
242	CA4-body	108.0
243	GC-ML-DG-head	153.0
244	GC-ML-DG-body	106.0
245	molecular_layer_HP-head	337.0
246	molecular_layer_HP-body	209.0
7001	Lateral-nucleus	645.0
7003	Basal-nucleus	448.0
7005	Central-nucleus	40.0
7006	Medial-nucleus	8.0
7007	Cortical-nucleus	33.0
7008	Accessory-Basal-nucleus	275.0
7009	Corticoamygdaloid-transitio	175.0
7010	Anterior-amygdaloid-area-AAA	29.0
7015	Paralaminar-nucleus	43.0
