frame_start	frame_end	Left-Cerebral-White-Matter	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-choroid-plexus	Right-Cerebral-White-Matter	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-choroid-plexus	AirCavity	Skull	Vermis	Pons	CSF-ExtraCerebral	Head-ExtraCerebral	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula
0	30	5.692721366882324	18.301288604736328	7.1447529792785645	5.4459686279296875	3.893603563308716	4.207891464233398	0.7368201613426208	6.630668640136719	8.294049263000488	2.001063108444214	6.4524455070495605	2.0594072341918945	0.4862692952156067	5.537118911743164	7.0738043785095215	15.109260559082031	10.111512184143066	5.96558141708374	6.964532852172852	24.823823928833008	5.750217914581299	9.5963716506958	39.4573974609375	3.1351284980773926	2.515953779220581	12.896520614624023	4.418015480041504	7.121053218841553	3.6562628746032715	12.714945793151855	6.783577919006348	6.409942626953125	7.873550891876221	2.4271631240844727	5.0067830085754395	7.985742568969727	2.0691306591033936	10.422394752502441	4.8272905349731445	10.082372665405273	8.570456504821777	5.042160987854004	4.0943403244018555	10.128512382507324	6.24701452255249	4.145467758178711	10.264832496643066	2.2479052543640137	4.591736316680908	2.6037168502807617	4.577056884765625	0.735303521156311	3.6660687923431396	7.723525047302246	4.027478218078613	2.6989071369171143	1.2556177377700806	7.60242223739624	5.2653021812438965	6.585190296173096	10.285920143127441	6.827454566955566	8.004638671875	0.22545282542705536	4.154371738433838	4.826898574829102	15.855935096740723	0.7327298521995544	7.543110370635986	1.9378095865249634	15.680952072143555	10.671918869018555	8.80971622467041	20.912023544311523	7.422828674316406	2.2072529792785645	7.457552433013916	3.728158950805664	6.929419040679932	12.462224960327148	3.04935359954834	3.552898406982422	38.78483963012695	2.437906503677368	6.853780269622803	1.9331251382827759	19.3533992767334	3.0185182094573975	4.67227840423584	4.174577713012695	1.087415099143982	6.1497955322265625	3.6941487789154053	3.9514966011047363	15.283282279968262	6.739945888519287	9.660696029663086	18.126123428344727	22.509052276611328	13.272699356079102
30	60	1684.9859619140625	1670.3482666015625	1914.8988037109375	1975.46630859375	1859.8817138671875	2332.498291015625	2398.6005859375	1698.2340087890625	2296.90478515625	1639.6851806640625	1581.5697021484375	2244.5859375	2307.69677734375	2149.23779296875	1688.517822265625	1538.598388671875	1731.464599609375	2053.0458984375	1689.03466796875	2105.74462890625	2150.785888671875	1697.0784912109375	1447.8583984375	3420.640625	2569.910888671875	2019.4937744140625	316.0608215332031	847.9140014648438	2070.665283203125	1732.72802734375	2129.505859375	577.5957641601562	1770.9215087890625	2503.07568359375	1920.5794677734375	2379.703857421875	2631.52685546875	1766.092529296875	2060.724609375	1671.84521484375	1678.78515625	1855.9744873046875	1694.0584716796875	2039.06103515625	2049.089599609375	1901.3699951171875	1588.33349609375	2375.14697265625	2637.878173828125	1274.2537841796875	2031.597900390625	2694.922607421875	2247.41064453125	2342.834716796875	2253.985595703125	2390.719970703125	2321.43115234375	2153.130859375	2147.439208984375	2045.6141357421875	2110.506103515625	2638.381103515625	1250.1961669921875	1000.3181762695312	2791.72705078125	3034.98681640625	2522.931640625	2036.5556640625	2297.64794921875	2473.46484375	2283.421630859375	1565.90869140625	2185.188720703125	1554.390625	1905.48046875	2088.736083984375	1604.20654296875	1881.613037109375	2056.946044921875	1687.3673095703125	1855.8961181640625	2063.746337890625	2729.982177734375	1389.8997802734375	2247.5498046875	2075.1826171875	2295.259765625	1892.63525390625	2180.3671875	2145.74755859375	2463.1083984375	2104.64892578125	2335.568359375	2057.47021484375	2000.876220703125	2800.787841796875	1131.0484619140625	1504.44677734375	2914.944580078125	2770.4111328125
60	90	8032.97705078125	8330.9169921875	9789.7431640625	9880.251953125	10281.6953125	12035.0546875	10283.9736328125	7257.5986328125	9229.265625	8030.93603515625	8248.6435546875	10340.77734375	8745.90625	11654.64453125	8112.86962890625	8108.6181640625	9550.51171875	9807.9375	10260.568359375	11468.443359375	10804.4033203125	8529.044921875	8092.86181640625	10533.509765625	8643.787109375	9117.0859375	1358.2403564453125	3556.5029296875	10781.365234375	7765.52783203125	9586.20703125	2423.736083984375	9086.537109375	10918.3466796875	10240.001953125	13523.873046875	7900.66552734375	9237.31640625	10221.20703125	8479.857421875	9016.8056640625	9789.642578125	7690.626953125	10942.806640625	8758.9462890625	9819.78515625	7048.31591796875	11253.9345703125	11472.822265625	6019.19140625	10321.60546875	13157.181640625	10289.84375	9336.7060546875	10393.8662109375	11866.818359375	11503.302734375	10322.8076171875	10429.220703125	9774.84375	9769.8955078125	11547.2109375	5120.49462890625	5551.595703125	12888.279296875	11171.0830078125	10487.0166015625	7799.8408203125	10572.7119140625	12902.1220703125	8808.1484375	8012.12841796875	10869.1875	7674.50244140625	8564.904296875	10858.2802734375	6868.568359375	10645.69140625	9359.5927734375	8525.48046875	8589.2998046875	9857.7109375	11641.96484375	6913.98291015625	11207.5078125	12486.0947265625	10596.462890625	7830.52294921875	10201.3037109375	11124.2080078125	11875.00390625	10414.2783203125	10843.0771484375	10275.3544921875	9530.7109375	11629.4921875	5390.4111328125	6677.779296875	11199.6494140625	10913.990234375
90	120	14938.2783203125	15801.4306640625	18426.169921875	18964.248046875	19321.1640625	21813.744140625	18136.32421875	12771.0673828125	15892.9697265625	15388.2578125	14780.5361328125	17568.78125	13870.439453125	21278.296875	15026.8828125	14980.1728515625	17745.865234375	18750.646484375	19320.04296875	20428.37109375	18367.0390625	15362.3173828125	14344.2421875	20307.677734375	15204.6845703125	17721.7578125	2394.0361328125	6394.14599609375	20135.15625	13405.740234375	17331.93359375	4341.94873046875	18252.087890625	19398.3125	18621.087890625	25051.076171875	13720.6953125	17117.900390625	18590.072265625	15564.13671875	15564.8720703125	18474.16015625	13403.337890625	20035.2734375	15857.7607421875	17396.14453125	13579.716796875	19330.234375	20739.595703125	11176.3681640625	20148.259765625	24998.544921875	18897.9375	17275.576171875	18986.25	22477.21875	22092.869140625	18813.4921875	19389.15234375	18076.23046875	18459.154296875	20606.462890625	9429.78125	10281.560546875	22958.60546875	19520.470703125	19593.265625	14815.9677734375	19527.919921875	23151.681640625	15237.6904296875	14877.9404296875	20525.36328125	13653.4404296875	16421.443359375	19742.94921875	12401.8212890625	19899.40234375	16691.98046875	15652.046875	14557.6572265625	17679.998046875	20566.189453125	12090.810546875	20619.392578125	22112.58203125	19454.13671875	15647.9794921875	19079.142578125	20370.123046875	21616.76953125	19045.240234375	20086.248046875	18557.6328125	17423.6875	21356.2734375	9728.08203125	11783.9609375	20761.16796875	19505.8203125
120	150	20800.712890625	22236.763671875	25629.33984375	26190.240234375	25852.921875	30537.291015625	25160.904296875	17710.33984375	21661.736328125	19381.73046875	20398.568359375	22854.689453125	17592.439453125	30012.734375	20804.818359375	21305.623046875	24891.48046875	26172.2421875	27502.017578125	29962.486328125	24861.662109375	22693.97265625	19711.46875	24532.14453125	18309.14453125	26233.44921875	3119.0361328125	8511.8095703125	28024.87890625	17880.009765625	23692.439453125	5717.3818359375	24789.341796875	24954.66796875	26148.943359375	34186.11328125	18748.435546875	23211.69140625	26056.13671875	21488.29296875	21369.66015625	26081.103515625	18156.384765625	28844.939453125	21023.7109375	24640.12109375	17508.0859375	26867.671875	28854.900390625	15294.0849609375	27451.13671875	34046.45703125	26647.36328125	23902.431640625	26353.498046875	31669.775390625	30442.08984375	26354.9609375	27056.498046875	25703.935546875	24954.943359375	28679.34375	12945.7451171875	14621.666015625	32672.7734375	26062.310546875	27100.486328125	19958.494140625	27379.287109375	32684.33984375	18865.50390625	20898.294921875	28343.13671875	19674.216796875	21811.068359375	27642.38671875	16171.8037109375	26562.396484375	22693.158203125	22138.01171875	19457.271484375	23455.390625	27853.87109375	17217.880859375	28704.240234375	31152.822265625	27014.162109375	21472.16015625	25993.23828125	28598.025390625	30477.462890625	26550.484375	27323.599609375	26088.8046875	24087.515625	29171.62109375	13271.212890625	16996.36328125	30683.8828125	25702.79296875
150	180	22885.06640625	24321.1640625	27803.421875	28972.240234375	29269.4609375	34155.046875	28699.7265625	17851.705078125	23758.90625	22480.548828125	21900.53515625	25998.015625	17508.431640625	29827.138671875	22762.791015625	24056.234375	27188.01171875	28702.84765625	29934.82421875	30540.140625	26211.89453125	24594.3125	22808.220703125	24303.970703125	18258.732421875	28037.51953125	3357.779296875	9163.1171875	31203.8828125	18615.98828125	25450.181640625	6115.513671875	27509.83203125	27600.166015625	27605.68359375	38473.69921875	18937.40234375	25987.068359375	28909.947265625	23763.453125	21605.826171875	28793.001953125	18898.603515625	30715.099609375	22172.509765625	27084.208984375	20110.505859375	29336.7890625	31405.822265625	16583.03125	29569.11328125	38901.20703125	28791.6328125	25644.177734375	28498.62890625	34058.16015625	32191.41015625	28588.890625	28968.53125	28653.220703125	26919.810546875	31636.16015625	13053.69921875	16663.615234375	35023.0	26992.712890625	29721.529296875	20653.986328125	29484.10546875	36900.35546875	19924.244140625	22452.041015625	31044.8046875	21454.376953125	22080.63671875	29687.150390625	17770.375	29052.18359375	24187.455078125	23873.376953125	20703.43359375	26587.46875	30592.9609375	17880.69140625	30492.140625	33561.5703125	29083.193359375	23178.896484375	28466.419921875	31365.013671875	34900.0546875	28856.25	29927.11328125	27802.810546875	25983.390625	31321.66796875	13867.384765625	18452.19921875	32575.455078125	28041.65625
180	240	22693.603515625	24779.62109375	28502.2421875	29084.625	29423.767578125	33029.1328125	28026.150390625	18592.984375	23005.119140625	23014.58203125	21129.037109375	24263.689453125	17810.35546875	29344.150390625	22683.236328125	23221.693359375	27665.85546875	28579.087890625	29194.701171875	32221.859375	27123.69921875	24676.734375	22747.533203125	25195.271484375	18286.125	29221.3125	3155.374755859375	9094.2998046875	31849.5625	19481.75	24982.19140625	6181.24267578125	28252.138671875	26687.470703125	28175.86328125	37561.65625	18557.580078125	25725.228515625	29205.876953125	23866.91015625	21887.537109375	29139.537109375	18703.6640625	31232.423828125	22317.615234375	27007.9140625	19289.41796875	29211.716796875	30052.5390625	16117.458984375	29578.3984375	37476.359375	28870.251953125	25512.15234375	28112.662109375	33844.56640625	32605.16796875	28244.6015625	28892.841796875	28097.7421875	27428.67578125	31214.591796875	13960.7373046875	16429.19140625	34121.59765625	26732.515625	29413.17578125	20891.50390625	28904.5625	35947.3671875	20009.5703125	22555.64453125	30772.8203125	21448.14453125	21547.0859375	29982.48828125	17604.6484375	28981.509765625	23524.4921875	24089.9765625	20720.65234375	26599.46484375	29424.96484375	18856.10546875	30518.6640625	33468.34765625	29105.705078125	23008.375	27813.484375	30802.876953125	32324.876953125	28241.115234375	29437.298828125	28284.94140625	25622.8359375	31019.91796875	14285.6474609375	18089.849609375	29721.498046875	27780.806640625
240	300	21912.0078125	24099.171875	27460.201171875	28478.2421875	28865.1875	32347.03515625	26978.76171875	17990.4453125	22205.927734375	21845.857421875	20074.84765625	24300.71875	16923.5625	29023.759765625	22009.8984375	22955.85546875	26491.21875	29205.40625	28469.3203125	31685.14453125	26493.841796875	23906.447265625	21732.599609375	24491.478515625	17503.2890625	27347.90234375	3107.277587890625	8888.8486328125	29972.76953125	19098.37109375	23604.47265625	6251.6845703125	27915.275390625	25510.546875	26757.240234375	35451.55859375	17974.43359375	25023.935546875	27991.07421875	22752.3984375	20545.9375	27025.802734375	18535.7421875	29201.92578125	21979.880859375	26272.044921875	19086.619140625	27602.125	28885.751953125	16228.927734375	28059.65625	35233.046875	27170.7421875	23473.943359375	26500.26171875	32249.830078125	30303.5859375	26851.591796875	27158.259765625	26707.6875	26301.171875	29515.34765625	12594.15234375	17034.462890625	32599.494140625	25583.517578125	28108.12109375	20118.970703125	27699.98046875	33963.48046875	20111.22265625	21697.580078125	29576.1953125	20781.69140625	22420.3984375	28385.5703125	16657.4140625	27382.865234375	22590.662109375	23398.005859375	20660.330078125	24740.50390625	28297.25390625	18431.4140625	28674.755859375	32031.587890625	28107.080078125	22791.54296875	26473.3046875	29506.82421875	31053.51953125	26927.20703125	28056.23828125	27269.080078125	25374.5546875	29064.115234375	14577.458984375	17288.498046875	29129.123046875	26640.908203125
300	360	20753.669921875	22552.703125	26338.623046875	28266.470703125	26885.8203125	31087.1875	26408.4453125	17655.38671875	22001.693359375	22141.43359375	18222.958984375	23613.318359375	16781.93359375	26527.41015625	20728.546875	22023.466796875	25592.515625	28191.244140625	27548.26953125	29490.4296875	24571.509765625	22415.986328125	21185.1796875	22852.84765625	17207.59765625	25842.33984375	3146.06298828125	8518.669921875	27871.072265625	18954.208984375	21853.91015625	6215.50830078125	26803.482421875	24591.580078125	25108.22265625	32774.9609375	17718.892578125	23827.75390625	26201.091796875	21874.26953125	19714.154296875	25859.3359375	17576.642578125	27206.02734375	19990.30078125	24880.951171875	19135.169921875	26154.9140625	26543.22265625	16006.666015625	26419.021484375	33092.84765625	25276.921875	23515.44921875	25485.232421875	29849.04296875	28781.845703125	25318.677734375	25672.798828125	25696.333984375	25051.484375	27602.37890625	13154.1650390625	16740.103515625	29379.564453125	24442.150390625	27007.50390625	20288.630859375	25977.6796875	31403.677734375	18264.478515625	21449.763671875	28039.966796875	20448.876953125	20126.927734375	26902.990234375	16347.9775390625	26225.73828125	20852.744140625	22635.984375	19186.5390625	23850.869140625	26053.298828125	17770.224609375	27079.681640625	30357.5546875	25387.857421875	21599.91015625	24983.083984375	27570.53515625	28609.4609375	25258.556640625	25925.935546875	25236.291015625	23892.998046875	26702.158203125	14642.0673828125	18079.767578125	27805.3984375	25478.404296875
360	480	19293.525390625	21561.42578125	24433.26953125	26672.0703125	25183.66015625	29321.37890625	24825.376953125	16999.6328125	21053.615234375	19956.490234375	15826.1650390625	21935.005859375	16475.392578125	24516.552734375	19254.138671875	20280.126953125	23820.720703125	27150.58203125	26216.869140625	27948.677734375	24641.21484375	21319.005859375	21033.8046875	21648.123046875	16552.615234375	22155.7421875	3096.617919921875	8221.791015625	25985.857421875	18096.927734375	19598.373046875	6403.841796875	24662.85546875	21884.537109375	23367.681640625	28625.640625	17109.087890625	22320.373046875	24010.203125	20602.931640625	18996.3046875	23221.197265625	17159.0078125	24810.71484375	19035.37890625	23344.857421875	17141.3203125	22970.140625	23987.44140625	16154.029296875	23605.8671875	28355.984375	22907.8515625	21537.06640625	22958.935546875	27013.943359375	25382.48046875	23022.734375	23288.6875	23194.462890625	23159.521484375	24705.52734375	12897.3505859375	16461.845703125	26698.443359375	22513.833984375	24284.43359375	18851.490234375	23226.7578125	27461.294921875	17907.96484375	19923.431640625	25518.501953125	19261.646484375	19708.828125	24453.6796875	15867.0087890625	23712.208984375	19708.8984375	21281.162109375	18584.220703125	21295.666015625	22741.89453125	17317.123046875	24509.400390625	26522.04296875	23426.509765625	20822.328125	22591.05859375	24879.552734375	25676.474609375	22800.1796875	23471.591796875	23192.42578125	22263.65234375	24366.337890625	13890.88671875	17261.921875	24561.5546875	23245.474609375
