index	name	volume-mm3
203	parasubiculum	104.0
211	HATA	132.0
212	fimbria	117.0
215	hippocampal_fissure	268.0
226	HP_tail	1254.0
233	presubiculum-head	248.0
234	presubiculum-body	271.0
235	subiculum-head	381.0
236	subiculum-body	555.0
237	CA1-head	1243.0
238	CA1-body	334.0
239	CA3-head	271.0
240	CA3-body	243.0
241	CA4-head	313.0
242	CA4-body	274.0
243	GC-ML-DG-head	348.0
244	GC-ML-DG-body	287.0
245	molecular_layer_HP-head	663.0
246	molecular_layer_HP-body	520.0
7001	Lateral-nucleus	1285.0
7003	Basal-nucleus	884.0
7005	Central-nucleus	87.0
7006	Medial-nucleus	16.0
7007	Cortical-nucleus	51.0
7008	Accessory-Basal-nucleus	529.0
7009	Corticoamygdaloid-transitio	338.0
7010	Anterior-amygdaloid-area-AAA	66.0
7015	Paralaminar-nucleus	75.0
