frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VM	Right-VPL
0	30	348.25026	140.40311	398.1373	216.33193	246.32174	818.14562	176.49229	374.483	237.10566	304.22691	533.95132	410.44295	271.78785	155.58129	548.96857	258.05301	461.29206	227.0404	232.5229	355.8821	259.82074	253.2355	275.08405	320.82978	125.40227	581.18725	174.92516	286.19622	242.65744	538.51906	541.35687	425.92749	385.31241	287.12509	279.47479	307.82749	517.3648	334.3525	233.75736	491.71101	102.09411	147.83346	229.02038	340.03737	188.49199	286.81066
30	60	4720.89432	4428.97368	7310.3967	4983.83638	8662.11805	5537.47066	7636.99422	6575.43736	5643.16338	5719.5329	6865.1788	4942.98748	5253.5135	6109.18583	6617.76827	5505.56592	6723.86493	3594.33339	4138.25453	4423.36319	5253.03919	3485.78491	5276.17607	5495.43256	4936.96148	6199.45016	5295.54006	7368.29279	5916.25794	7371.84044	5584.85297	7010.81545	6638.70234	5804.94665	4579.13539	5188.98692	5755.84576	4800.01947	5334.5734	5943.57541	4842.07572	4516.14855	5940.41148	5640.81536	3859.66235	4792.91044
60	90	10500.65972	9454.88436	15081.08281	10534.9276	17764.25783	11347.33884	17650.02127	11113.5835	13236.89479	11605.90747	11985.67443	7716.77119	10712.52037	15009.2661	11015.42997	13715.49033	12446.22341	8988.81574	8893.24519	10239.91017	11441.56297	9031.05273	12174.72842	11678.1854	8940.82175	15460.51784	12046.30612	17785.83157	11653.25519	18299.20944	9302.4349	12476.10837	11822.39727	10466.76562	9325.08034	12066.79739	15075.61632	11674.85977	14968.30713	12332.04271	8356.03651	8923.12706	10884.70635	13449.38567	8034.9209	12450.3883
90	120	18703.26684	14682.47549	25740.64414	16121.79034	28483.23318	17317.61039	28969.88424	16531.26447	20186.59466	19417.76821	15193.52215	19049.70937	19889.84895	23385.04558	17323.274	21741.615	20070.22801	13605.28005	17823.2034	15799.20573	17307.82747	14224.90918	18917.84148	17222.9461	12900.5795	24794.49062	16863.70258	26864.61482	15996.32537	27928.43128	15489.38509	22955.65558	20724.72563	15761.74625	14696.45969	18074.67467	22778.73914	16777.55831	22917.00398	19118.72862	13546.22668	12897.39822	17135.95452	20289.7403	16776.09831	18977.8339
120	150	23007.12708	22292.97453	32570.68711	22205.91806	32632.62642	20838.03717	32664.17737	18167.697	27536.92898	27133.60129	16114.88658	22580.36289	26303.00586	27783.20274	19945.19338	24647.55838	23066.24841	18165.21406	23449.75698	19827.09809	22734.64291	19943.04492	22185.76002	22827.21008	21566.94238	28909.73216	24150.91494	33342.41036	18408.52247	35964.98089	19557.58464	26100.40217	26255.58339	19144.68016	21129.85138	28509.96759	26134.48521	18986.55686	29219.66748	23073.64402	19105.76117	21328.0102	22927.84989	25841.05254	20390.48405	23520.33934
150	180	25621.25692	23301.52111	34656.24912	21430.20932	38513.84375	18851.16757	36733.78631	18531.80047	26444.88477	25937.78365	15045.37854	28897.53418	26165.81798	28554.02868	19599.54175	27138.78201	24489.70591	19634.28535	27307.88923	21585.46691	23774.30457	21309.47852	24776.92804	25161.81175	20197.84029	32443.70768	26041.98277	34918.83337	20470.56348	38740.5306	18581.93305	28934.66924	27389.31675	15543.19057	22129.17134	28185.84271	29940.02355	21597.15427	30250.52584	24147.64755	19518.75146	18948.4783	23457.68659	27943.36774	15808.51921	25963.04882
180	240	25438.87356	22664.0652	33804.3166	24030.58184	35372.17369	21003.58037	37669.73092	17388.14746	29664.80693	27384.88622	15021.60174	25633.95957	25836.66598	31545.67142	20380.97137	29662.92092	25558.77334	19884.1807	25632.68471	21910.20915	25115.71028	20946.64453	25818.62495	25405.58476	23027.02605	34283.74792	25589.94298	36177.09231	18450.70519	35064.28807	18709.66547	30250.72753	28681.95696	16431.58488	24646.78267	26726.31027	32462.03896	19936.47105	33171.34935	24360.89627	20649.65517	22686.70269	25050.76002	27689.18617	23114.60547	28789.77762
240	300	24938.37887	20518.49925	31729.88125	23551.56852	34800.68879	18583.94646	34817.61195	18604.86972	28045.2793	25420.58561	15623.87635	22844.38047	23738.12681	29354.52337	19144.93107	28778.733	23780.43332	18973.18804	21669.23549	22721.73077	26129.65363	20708.54688	24801.74466	23817.80996	24477.07511	29393.16745	25581.38098	32064.93349	19271.21601	35084.39943	20977.2322	29331.80943	26283.4588	17331.31737	26767.05327	27688.18965	29386.05205	22320.46425	31543.52026	24386.78361	21562.43397	25941.16363	25688.34371	29162.37296	20181.57747	27409.42036
300	360	25667.7004	21338.88364	30491.23643	22730.2466	32354.5237	18151.61308	35318.33986	19469.68417	27712.66863	25774.33412	16165.93588	20721.53652	23826.12183	28898.96062	18151.85412	28337.48947	22982.93371	19683.36882	21807.09459	21396.15616	25379.11412	20583.73242	24809.87796	23167.20197	20929.93886	29372.15807	24449.22093	28604.00473	17420.39578	30152.64893	17987.12815	28770.42776	25981.47021	15181.01383	22088.56694	23606.96739	27990.27559	19581.97238	30136.42496	22989.37907	19577.34391	22088.08008	24824.41647	27116.58644	17271.57878	24522.69879
360	480	22387.63203	20750.66481	27236.21563	23423.70757	27012.27401	17206.01072	31436.34463	17865.3813	25528.20092	24568.31166	14431.38557	20449.29551	24854.92993	26373.90161	17175.20809	25162.21012	21523.20663	17956.53197	21833.80692	20601.92642	24068.33932	19188.31445	22681.91073	22117.77544	20967.58471	26896.92201	23583.14416	28038.89124	16511.65185	29940.62405	18394.18696	26937.4495	24051.57091	14727.47897	21241.43217	24754.20611	26213.34419	18388.94561	27326.78191	20827.52696	18981.99175	21085.41536	22888.21986	25618.88714	18409.49609	23955.04803
480	600	19782.38789	18945.21608	23639.51553	20938.19409	22133.67352	15821.5672	25543.90951	14954.49223	22573.3689	20377.00928	13087.52176	21638.36152	21038.54311	23484.60384	16168.69112	22077.83768	18320.57756	17551.09628	21793.36161	19639.6008	21573.64184	17458.07227	21063.94746	19492.82441	19545.15663	24501.81315	21529.88087	23798.21089	15611.51357	24848.17874	15858.83659	23696.30385	21102.20481	14447.51536	21061.35529	22456.71456	23085.19512	17072.78896	23327.00804	18413.18149	17676.3405	20635.43468	21418.81741	23545.48849	17647.32161	22367.99215
600	900	17518.34473	16373.70708	19600.44438	18645.92144	18324.77197	14484.58932	20474.29094	15033.00941	19627.91988	17701.3841	12396.55726	17339.48857	18708.03507	19861.73675	14643.76849	19817.90124	16198.2588	16156.52245	17721.03376	17893.95591	19136.45578	16451.58594	18452.77578	17572.52103	17069.53659	18904.18008	19143.09991	17447.36164	13157.92195	18781.22849	13939.05566	20058.33451	17669.22119	13269.16583	17950.1416	19641.06039	19135.26414	15265.72346	20402.4293	15629.96569	16749.91705	17790.90582	19332.49427	20097.12823	17147.86589	19326.57035
900	1200	14972.28722	15057.82726	15606.57275	17146.82284	14405.65993	12661.14922	16228.72667	12704.657	16151.06306	14338.85394	11867.87708	16124.28457	15785.39955	17057.41636	12860.31797	16521.7858	13651.29183	14980.02255	16403.15374	16699.91039	17119.60615	15466.64453	16800.73892	14897.80541	15337.99394	15497.36523	16635.86675	14282.89962	12726.74741	15810.31114	12559.74555	15972.79823	14173.77276	12536.17139	15259.35787	16005.47164	15819.33721	13534.33003	16550.69755	12592.34243	15061.41319	16122.1454	16648.96911	16734.23645	14836.06348	16427.92299
1200	1500	12332.89084	13370.19214	11947.74111	13305.63332	10396.61885	11817.00687	12313.04936	10618.31436	13819.82594	12190.29597	10665.46371	12524.47275	13308.7025	12882.75357	11084.10942	13553.11758	11353.52368	13414.62564	13124.05608	13824.56019	14131.32846	14456.31641	13871.29768	11709.87661	12525.05923	11784.89167	14138.54367	10666.69428	11289.49548	12053.3392	10273.62109	13535.07439	11946.81029	11715.3641	12061.28906	12776.1426	12760.09624	11467.56263	13604.99265	10664.47647	13033.66611	12533.74306	14468.79834	14067.88568	13427.24609	13812.83574
1500	1800	10181.99101	10249.21019	9844.8825	11019.08338	8878.80113	11682.78483	9959.53847	9539.96495	10161.94216	8843.59249	9804.99292	11282.24932	11064.91387	10543.95642	10443.67527	11426.49305	9339.04101	11831.63093	11299.62793	12374.36693	11745.58337	12147.41602	11896.61503	9750.77549	10606.07005	9612.93809	12154.98118	9321.27714	9708.93428	9262.29895	8619.05962	10748.63228	9465.91701	10012.47738	11634.66788	10946.90968	10322.46258	9452.52077	10753.34296	9070.74832	11174.95542	11685.21322	11750.18648	11593.56186	12281.13802	11820.61829
1800	2100	8644.30107	9058.93804	7688.29243	9505.23438	7464.9929	9825.00841	8083.7336	8583.68832	8970.99703	7643.81818	9878.0298	9749.51484	7957.21288	8710.46189	9439.92972	10442.5106	8546.85172	10093.73138	10108.20926	10463.70467	10355.00531	11137.4082	10845.09308	8773.62864	9253.19557	8074.38538	9322.55486	8011.50648	10272.14611	7388.46755	8252.36372	8132.68745	7631.30008	8661.83967	8760.64426	8141.31344	9215.20561	8996.07385	9845.52119	8031.69177	9929.25695	9669.51053	9804.0572	9591.45472	11117.25977	10581.70817
2100	2400	6767.44638	8089.02418	6894.49973	8424.33016	6280.03296	9900.33906	7116.11532	7930.0765	8312.56759	7071.19522	8967.91203	9272.81504	6876.23321	8339.66028	7854.17428	8636.88487	7852.6891	8646.74249	9184.83371	9393.90376	8824.52076	10356.28027	8958.29588	7179.63999	7543.49543	7026.47334	8587.05897	6495.54353	9108.79973	7278.47373	5997.13889	7352.09135	6610.66959	8268.98355	7880.85556	6726.70263	7745.29935	7581.16064	8252.17465	6747.72313	8153.07803	7647.42893	8543.99414	8889.51041	9960.31413	9407.07783
2400	2700	6972.22588	8043.0115	5949.13127	7198.31532	5967.75702	8931.72082	6898.55768	6769.14404	6483.20461	6067.75393	7108.49718	7103.95986	6405.56256	7106.14555	7227.30183	8620.69036	7275.89657	8463.58097	8740.01004	8264.9827	7885.65589	8993.29395	8622.33613	6709.05481	7649.77612	6186.09316	6755.73118	6388.62729	8230.63298	6869.97703	6011.06597	6710.74422	6155.92854	7351.26962	7270.81361	6346.12126	7070.74103	7305.93189	8394.52576	6852.45313	7694.98469	8149.85552	7572.4148	7769.49474	9199.70866	8624.14839
2700	3000	6528.05548	6889.6931	5800.25974	6849.79586	4962.21306	7865.18057	5568.92803	5782.49678	6168.73219	5247.9485	6115.34581	7233.89917	5726.15286	6086.26233	6601.09056	7368.77765	6623.73645	8393.02421	7434.92613	8613.298	7500.81689	8198.34863	7322.03346	6401.41304	6043.52577	5553.13802	5881.05568	4460.13735	7076.21015	5250.91625	5339.39128	5196.03315	4827.05973	5574.41583	5899.92165	5970.31294	5438.28018	5729.80485	7107.572	6338.55376	7121.89642	5971.74718	7046.80946	6683.58289	7842.50553	6596.61713
3000	3300	5281.74915	5498.93664	4949.40496	5769.29237	4373.77373	7162.02522	5380.33045	5041.64696	5084.3789	5053.05748	5743.07391	5139.63394	4534.15	5482.78375	5235.80277	6528.81054	5761.70298	5912.51352	5222.9984	7059.60571	6660.45154	7482.67725	6922.24649	5469.01597	6566.84194	5254.43314	6161.27742	5395.49388	7734.06557	4917.30502	4337.35002	5802.60809	5499.76114	5889.60423	7655.82124	6216.79698	5437.71231	5961.60022	6160.28818	5547.93301	6706.99792	7441.63276	6608.6341	6617.88604	7427.58691	6826.81021
3300	3600	4865.47027	5169.09775	4578.88594	5028.93461	4087.77964	7520.8686	4691.70071	5073.79265	4693.30165	4438.08085	5793.40375	4965.87158	4606.18633	5673.40836	5045.13646	7002.60761	5500.86246	6184.63718	5908.8261	5772.24049	5700.12455	7955.90137	6514.4492	4987.85425	5571.23994	4611.75933	4490.9322	4648.44462	8203.0104	4916.70161	4535.45643	4502.53011	4577.86363	5712.81479	4815.71866	4040.38784	4900.65237	5310.78718	6115.54902	5330.84177	5889.24437	5703.62896	5786.13118	5549.21317	7476.16536	6111.82555
