frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Medial-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Paralaminar-nucleus
0	30	60.43436	48.46153	27.87954	36.89965	36.28396	38.03541	82.36131	43.25222	14.93342	24.62829	6.48836	24.98407	11.26161	22.49936	11.06876	17.91835	13.10349	27.45654	21.78357	18.92545	10.41514	3.70385	3.16226	2.95579	17.00237	37.67658	25.10627
30	60	2720.45212	3340.27498	3098.27863	2851.85619	3218.9398	2230.36939	2709.90081	2425.08297	2461.21152	3139.2653	2807.86986	3369.47278	3139.12291	3206.04421	3136.67081	3354.97859	3009.04254	3004.15552	2884.97003	2155.93985	3229.56074	2683.54135	2858.933	2439.70943	3310.93308	3324.25509	2894.36105
60	90	10275.40299	9242.45202	13070.08717	12659.38749	12437.09119	10739.60081	12109.75632	10890.3282	11814.44114	9948.64247	10205.88212	12295.58626	11608.92347	12619.23089	12789.5249	12016.17529	12541.88282	11305.57074	11904.44677	8303.88657	11314.05607	9999.96224	10767.6882	10825.21484	11144.1177	10487.10492	10134.11555
90	120	17828.16161	16489.64511	23968.26297	21283.61087	21570.13762	18262.27053	19815.291	17457.34864	20379.21795	16880.71804	17435.35455	22137.38616	21106.58178	21030.77185	23226.44882	19607.07796	22584.31424	18894.91012	20974.11579	16059.67798	17019.19467	19805.85754	17658.45745	15546.06746	18083.51968	16393.80188	16252.84536
120	150	24411.33898	19944.06217	32142.61363	30684.34674	29022.99904	29025.93002	30555.33226	28030.98493	30169.37057	25245.03703	27142.71956	29674.4354	29277.38029	29623.62154	31353.12489	28731.95137	31101.90095	27781.56396	30306.54938	26251.16752	28790.75971	28783.40887	24111.45703	22034.17586	27915.95233	22214.16595	24533.01953
150	180	26998.26838	22750.71449	33964.30794	32640.88845	30388.28159	28350.8345	30319.34115	29119.10093	32800.75125	28813.80262	28115.41474	30354.8135	30231.9065	30750.4207	33605.52424	29329.01953	33382.98457	30749.65828	31818.88296	29055.66705	29540.36011	25419.27734	23577.24581	23404.00503	26760.6274	23320.66371	29403.9129
180	240	25604.0955	21713.0855	34700.87839	32552.50647	30901.77737	29990.03222	29921.61331	31589.31332	33311.70773	28489.99317	29036.25495	29167.3174	31928.62751	31250.97703	35139.60026	29723.8572	34604.09162	31294.37067	32826.14269	28531.4206	28848.49742	28212.38434	26236.14258	23850.8261	26750.09587	22192.64441	28573.85161
240	300	21966.9974	20485.8332	29065.33081	29376.84193	27832.0616	27243.8776	27340.09488	28945.16486	31044.1498	26852.58658	28130.40466	26967.0704	27235.62205	29591.09512	30731.02212	28633.84594	30668.99685	28753.92299	29918.69371	29271.13861	28540.32876	26259.83899	23013.87249	22349.29124	25235.19598	20112.27137	26001.74566
300	360	22468.53358	20779.23686	26873.5093	28360.39692	27281.1075	26112.55093	26299.42889	28899.05682	29713.81315	25561.70321	26440.67212	25684.67944	26849.56514	27595.49713	29573.56419	25903.10308	29429.6201	28270.97171	28782.17498	28330.03023	28450.52315	26307.22537	25937.36775	23679.26908	25173.66808	20139.08617	27172.0888
360	480	21394.17758	20391.90645	26795.42681	26125.82682	24836.09186	26493.22877	23835.5641	27389.29139	27314.08391	23602.65915	24658.13935	23292.48786	24534.9862	25361.90781	27049.29886	24871.34984	27039.59037	25965.03948	26189.87645	26068.09389	25131.05011	24726.58913	22077.83845	21824.91594	24344.41765	20223.80411	24396.71185
