frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pc	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VM	Right-VPL
0	30	50.37097	161.87743	12.25322	5.5938	28.72219	30.51063	18.20134	19.75494	9.02724	32.84693	11.0869	52.75855	12.98048	24.30596	55.72944	15.29456	38.11787	48.94786	90.23916	13.18413	5.70908	12.48041	11.8914	82.60646	281.14617	25.1483	75.21768	17.39388	36.37935	6.50978	20.93222	46.82089	64.14214	25.05383	35.01175	284.5247	28.05731	67.82542	4.86614	246.82752	48.16539	126.1271	151.74261	51.57984	48.17128	6.43831	40.21047
30	60	2829.41169	4136.11783	2934.59208	2314.10944	2340.47566	2844.62573	3317.03429	2333.24024	3621.10405	3353.36294	2625.49935	3065.24496	2063.40546	2930.75581	2948.71479	2526.91554	2445.40085	3294.54161	3805.29489	3385.97061	3351.52111	1834.07704	2667.94804	2713.31104	3453.5584	4284.83063	3833.16406	3285.89485	1867.59343	3839.5667	3495.53682	3974.51995	3716.30358	3224.03627	3239.99069	4026.48755	3635.15421	4496.02558	2877.44969	3229.66229	3181.38606	2637.75392	3447.34875	3203.72583	3674.12906	2257.79358	2786.34273
60	90	13696.46499	12725.99342	15748.48926	14285.35971	14853.04581	9595.05997	14056.61375	11601.71737	17626.75383	16690.62725	11839.41241	11606.56197	10852.78512	15710.06558	10444.1324	10657.58669	11370.07817	10847.58249	12072.27527	11380.59791	12800.26228	8757.74919	10238.58461	14330.35351	12838.1486	16128.56836	16208.80832	13118.9334	10169.92599	13770.9855	11146.79474	18855.39527	16686.3321	10358.65904	11930.36945	14007.26953	10776.30792	17245.84257	11762.56097	13180.22228	13400.22297	11830.2207	12055.38997	12426.74382	15270.48911	9975.62793	13136.96544
90	120	27454.77647	21559.51473	28839.04688	25845.15079	25636.37092	20707.76683	24750.651	19074.83765	33484.41643	28431.11068	24399.38926	17671.83576	22805.03906	27013.42294	21257.56137	22239.48304	21002.37533	21394.3878	20480.06763	24623.23918	26280.39999	17180.07756	20952.64794	23837.004	22387.18305	29787.27344	30851.54985	26441.04297	20268.81372	24723.62056	20357.91246	32036.87312	28664.44343	20677.41695	18744.24854	27216.02539	24700.10243	28617.44392	22886.11836	23343.2895	22539.04231	21105.1147	24336.99316	25372.7068	28153.4847	16698.23779	23119.89002
120	150	36879.80844	37399.41571	38071.09147	34432.72722	34032.98922	32183.16514	35782.52327	31358.69189	46557.76961	40254.76783	35497.19936	30010.69442	31471.33768	42019.30883	33207.40401	35002.58386	31169.40133	32261.46052	34838.44531	32455.20316	34890.85508	26234.14974	30107.87437	36211.48269	34042.78446	42211.92285	40049.34209	38434.89492	34088.56118	38051.5373	29024.82457	45055.8417	42048.5913	36819.62654	30126.1571	41554.09375	37024.61986	42792.08854	36371.10239	35075.31762	32533.95097	29269.25987	32607.94466	36333.3452	41026.29621	24768.03418	36400.83522
150	180	39247.1524	37226.78623	44860.29102	46490.46351	34907.65922	33212.89392	34879.15712	34787.59408	51439.16452	45270.47863	34713.98386	33510.39666	42352.38456	45548.96899	35742.39005	31793.30422	34746.93793	32764.19893	33754.54834	38518.35805	40064.33558	26253.36621	32487.64799	36917.95293	39307.54196	44966.09668	49977.3008	39539.85547	33408.0667	43617.47701	35776.10653	50684.63989	46089.07095	37765.61317	31504.91016	48975.88672	43902.87775	48080.98127	41841.89135	37688.26703	35171.23278	33951.89612	35145.94987	38631.15251	44315.82098	26876.65625	40578.50499
180	240	41080.32413	40470.65181	41890.53451	42681.6848	35823.87891	33496.61667	37322.18457	31637.18018	50063.41096	43562.75692	36761.15475	33131.76935	35624.03918	48112.9053	35026.00281	33267.58484	34540.08934	34324.35666	38460.18066	38068.46296	39458.76586	25659.71387	33719.38336	35785.68658	40219.88954	43942.04004	48285.41679	39672.34531	34774.43598	43019.6848	36780.68857	51754.08028	46137.84333	38717.94204	32719.65906	50318.84961	40479.51288	50492.80329	39508.68154	38933.2367	37090.38595	33152.333	37446.11849	39508.19776	44444.15701	26657.68848	40985.94263
240	300	34648.78234	36465.86361	38312.57161	41818.17189	33870.067	30567.49408	37515.33837	31074.51253	47844.45798	41318.55942	33831.29378	30341.44957	33326.73721	45157.91992	33461.9279	33506.83018	33321.17916	31442.83053	33901.93359	35824.02485	39001.34279	27217.36361	32921.20299	32618.82373	37105.91967	40238.27246	44613.70994	35641.22832	32689.92453	37867.11175	32997.44957	47711.4884	42555.38021	33955.4098	32207.04871	44507.82031	36582.9639	45136.96096	37642.45581	36335.64783	34632.83576	31611.88515	37640.99284	37680.92101	43822.72884	26977.65625	38738.38371
300	360	33266.44094	35951.96431	36189.3418	40239.89127	32971.3429	29610.90516	33023.79646	32983.59359	42558.60914	37748.16621	36599.12232	30227.50888	33019.46061	42426.07982	34672.41538	30398.03539	30949.79013	29749.80188	34132.7644	33517.12868	36055.61732	25084.14193	31761.54462	32220.62521	36610.83512	39479.89844	43244.24544	33024.84258	29195.70504	34947.79841	32978.53533	45930.42008	40569.56389	33917.35706	33156.10876	42788.05859	35660.14782	44400.12464	37428.68677	36197.58374	33995.16755	31278.46167	36482.14583	37736.96047	42118.07123	25326.19238	37910.60393
360	480	30121.0916	34716.92111	32974.78548	35401.70129	28026.34333	29154.8052	30143.26241	26465.06169	41401.04617	36009.81716	32219.90989	29386.24893	30323.21717	38779.06034	30606.29181	29001.96167	29316.70051	28169.76569	34235.36621	32275.44068	33355.36566	23441.82487	29408.83535	27949.61506	34089.64179	36901.34033	38123.01282	29147.24922	28223.64464	33593.60505	29003.40536	42554.00725	37636.91161	30438.2588	29445.23816	40927.57227	33715.41942	41579.65453	33650.23433	33530.19246	31386.49926	28144.52605	33614.29134	33564.37872	37870.83511	24357.96484	35325.9398
