frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Medial-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
0	30	3.70287	16.22931	0.15985	1.26094	0.64755	3.97718	0.36732	32.6821	0.83489	9.23603	13.40577	8.71516	0.62599	3.56267	0.77549	8.45552	0.79885	6.89082	1.96677	9.81954	1.12274	9.45971	0.16901	5.08849	2.24833	1.85606	0.12205	5.23838
30	60	1083.83143	1120.37632	591.54217	898.15521	994.97288	899.51645	870.72996	482.75148	656.86651	792.4889	654.75831	828.43344	844.96351	654.96757	670.30878	748.10164	660.13435	700.47055	721.4289	463.70416	829.08818	613.32166	1016.72807	811.36001	855.58737	1626.43482	2471.75037	511.37857
60	90	6760.7122	7643.52554	8017.90851	7733.42228	6999.72269	6831.47238	8552.84995	6400.43305	7112.48859	6153.2943	5482.48301	8003.19608	7221.0484	7042.70358	7840.86754	6870.62127	7717.41248	6426.48106	7323.03088	5453.31356	8110.92599	7536.69727	9245.07617	7961.67754	8420.73168	9601.84827	12318.27143	5748.289
90	120	13165.9607	15780.6245	14288.89455	15437.44923	17292.4605	13397.27796	15041.6703	12635.01938	13906.21104	14045.76011	10524.41767	18910.06418	13719.59616	16766.69456	14756.47444	15616.25293	14116.07886	14710.77713	13779.96502	11975.61707	15308.15521	14122.16584	13619.7819	13102.08076	17457.02248	17974.41365	16485.8729	13292.8546
120	150	21160.514	20605.39805	24112.07069	24996.29477	22987.04524	24032.55099	24018.54926	22785.64938	24926.19717	21321.16202	20618.12651	28858.95036	24351.52518	27163.40708	26164.08352	25152.73331	25543.53384	24009.04751	24435.46373	20351.86507	20998.23783	21203.15195	23010.9082	21262.36659	22735.25009	21947.43603	25557.57304	20023.84717
150	180	24758.27865	24127.87825	29356.31966	27994.46421	30008.95037	27793.49346	25132.65606	26437.54947	29717.42209	24005.26892	26573.89625	32754.38534	30383.65597	29893.69553	31876.5484	28271.44681	30912.08142	27218.53225	29697.2769	24645.61879	25262.63945	26042.55877	26174.57227	24630.2455	27269.59257	25162.57956	25226.06818	22397.28178
180	240	22991.62735	22233.36104	25681.33388	27194.23615	29103.87994	26397.87396	25263.85709	27288.9438	29304.83686	25985.45104	24786.72911	29127.19152	26013.19676	27834.86665	28616.76749	26917.68924	28135.98335	27566.62811	27341.64177	26860.10887	27284.81069	28449.80907	24288.25716	25023.22546	27738.65441	23167.48777	24298.90613	25439.8916
240	300	20306.39931	22620.67622	25329.91576	25192.12728	25029.57016	24863.39218	23386.30516	26509.35381	27505.3537	24686.23621	25064.92505	24090.83317	24966.68051	26933.12994	27391.35604	25449.89468	27082.16301	26171.56804	26253.72391	25444.65698	24685.41653	24279.94427	23831.93424	23496.90965	24954.03154	22556.62449	21088.82505	25430.88352
300	360	20202.30247	19274.94865	25174.08228	25082.36299	23855.53126	25421.36045	21803.88197	25529.67864	24992.50347	23453.5787	22602.3312	24621.62612	25065.66494	26200.95323	26087.87752	25060.15669	25439.46693	25506.76749	24509.72873	25055.74135	24609.43357	22833.67839	20855.4694	21748.88426	21944.68605	18623.19026	21705.30753	23457.15971
360	480	18500.94179	18242.46241	21855.07859	22449.38471	21004.93842	23128.78636	19299.92574	24340.62791	22687.76747	21746.17502	19547.98212	20633.90303	20599.14642	23690.67525	22095.05432	22691.03552	21871.43673	23183.29976	21139.33046	24388.01105	23121.6158	22259.91102	20546.66406	21477.96671	21625.87992	17870.43632	21446.08061	22885.16486
480	600	18703.36145	16935.73652	19657.62464	21780.97904	18207.57246	22982.72709	19028.20232	22586.19601	21718.10376	19869.89334	19282.30691	19733.57312	19423.61992	21495.19261	20943.28785	20803.71253	20850.14609	21819.05395	20394.24046	21886.04446	20755.95662	20714.72721	18602.45573	19894.62644	20572.04449	16920.4768	18674.65877	21695.78198
600	900	15259.29917	14041.57682	17543.54441	17626.80669	15016.52429	18142.12088	16079.25965	18960.75285	18309.11959	16928.00061	16198.18111	15835.79702	16524.98635	17783.94103	17799.20629	17342.09693	17742.05561	17908.80648	17190.28115	19992.79335	18692.73762	18478.6998	18120.92578	17526.68228	18174.80735	14386.27515	17553.25308	17602.45224
900	1200	12487.75934	12846.49161	14706.81293	14343.75138	12374.16401	14785.01713	12887.51049	15665.97725	15136.9456	14247.39656	14250.87848	14058.26808	14393.60082	14664.27166	14930.16732	14343.53415	14764.3637	15145.21774	14421.0735	16660.459	15190.63376	16239.95334	16869.89616	16083.76236	14878.22572	12870.5304	13352.8924	14569.68321
1200	1500	10121.03243	11964.70799	13429.4715	12033.09985	10838.86117	12380.33075	11149.92295	13235.5479	12204.86029	12322.3347	11966.86605	12120.79628	12846.54463	12187.87601	12556.85757	12112.58269	12485.3408	12564.98399	12152.25853	14151.55941	13382.24531	14332.87509	13730.14844	14681.14462	13069.2251	11426.97737	11928.0675	12744.47288
1500	1800	9948.80205	10972.71909	12115.5835	10322.5607	9756.90057	10993.38115	10051.0805	11726.51139	11403.20225	11042.63227	12137.67086	9640.22802	12316.08426	10003.26225	11828.24069	10328.28942	11696.29397	10948.32322	11547.30477	12297.18792	11300.87282	11510.79355	13085.55664	11826.03677	11722.48365	10677.24111	10791.6034	11112.74187
1800	2100	9281.05911	10024.6545	10806.29481	9928.05629	8951.40462	10742.10988	9692.49926	11221.91331	10702.9699	9675.08758	10283.70684	9255.60297	9897.13848	9579.10284	9951.75314	9670.85127	10125.11261	10051.62118	9990.21325	11620.22824	10130.8515	10630.37326	11507.86491	11746.73068	10116.73414	8987.53479	10202.38651	9977.9361
2100	2400	8435.60893	7691.56508	9007.39399	9030.10513	7857.48045	9575.16124	9246.8222	10239.19735	10031.07447	8949.19401	9819.91296	8768.16313	9346.16696	9016.96564	9146.50349	8818.16869	9151.31622	9255.45445	9344.48254	9807.36663	9168.52005	9811.57413	9160.56934	8775.14067	8472.46175	7734.46819	8205.96755	9143.7623
2400	2700	7390.00337	8919.70387	8722.00261	7826.16699	7969.69248	7769.15904	7736.65384	9009.99419	8690.57701	8404.18057	8732.95838	7911.72126	8407.60608	7462.17959	8169.75339	7702.6226	8239.08932	8207.50414	8193.007	10004.77227	8602.51943	8699.94774	8704.67627	9243.5031	8728.67569	8114.32714	7682.79881	8258.13676
2700	3000	7089.6898	9638.08993	8127.62029	7358.53765	6900.58459	7479.99614	6896.97673	7925.23339	8145.17407	7733.87775	8514.86988	7992.3782	8224.33442	7338.97412	7920.59222	7733.51798	7873.59512	7592.75239	7823.57174	8058.70696	7153.08267	9010.93843	9496.38997	10017.5929	8642.61238	8034.14301	7627.00148	6237.43569
3000	3300	7077.51833	7136.13302	8798.89433	7004.86666	7146.56332	7316.47681	7213.10764	8176.87012	7935.83658	6691.64664	8315.52017	7267.85843	8162.84777	7230.20003	7928.12625	7175.54032	7933.70322	6986.47255	7763.50086	8094.43449	7403.00274	8738.8019	8562.95052	9123.71079	7965.25013	6698.90189	7109.27009	6628.13148
3300	3600	6661.07111	6858.85327	7173.08341	6763.41303	6517.11871	7200.05432	6507.48027	8215.13313	7140.87427	6562.54047	7718.02762	6961.36458	7419.80109	6466.74248	6825.13825	6674.75332	6922.40543	6845.65843	6985.30617	7012.93029	6056.12392	8323.81186	8199.257	8480.21121	6292.34228	5742.20905	5864.66769	5691.35693
3600	3900	6100.18547	6809.44545	6562.03175	6083.98098	5656.70129	6359.5492	6455.97676	6870.87496	6681.71641	6376.13314	7518.01108	6142.25929	7051.00773	5699.89395	6567.90215	5890.33862	6602.00193	6219.19909	6804.60466	6643.58018	5676.3699	7444.07655	8216.34245	8925.02225	6410.24924	6471.23923	5270.54403	6128.36388
3900	4200	4856.42324	8208.99811	6014.14373	5208.95294	5648.59809	5685.0212	4617.69436	7149.66611	5368.93076	5909.1304	6282.17603	6344.3679	6170.83433	5742.87795	5237.58953	6044.99894	5364.50536	5815.98173	5417.68838	6025.5019	5321.31993	8315.35968	6964.93864	8266.48178	7456.06578	6708.71506	6577.07641	4862.20532
4200	4500	4444.63467	6239.57751	7358.27804	4995.30311	5121.47706	4808.78353	5612.3883	5222.83084	6425.65242	4985.25295	6725.92865	6514.00911	7156.70219	5318.71556	6760.03	5432.13376	6731.72318	4860.51471	6561.82742	5291.80006	4586.33826	5771.26684	5128.01204	5673.865	5506.80905	5488.00315	5505.44364	3061.33598
4500	4800	4822.32035	6254.85026	6472.42576	5254.18654	4719.94046	5664.49856	5292.58206	5650.29458	6671.62918	5248.32005	7462.39625	5126.67608	7246.00912	5341.03345	6539.5255	5425.88344	6558.62817	5162.08514	6667.06664	6573.83632	5430.86637	5183.84293	5503.86051	5276.90456	5876.1505	5885.49848	6359.24473	5178.00707
