frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
0	30	93.23861	50.45507	82.87265	96.73073	88.67725	96.42687	223.6205	80.05181	130.78146	68.05633	139.44138	111.7172	64.91355	92.42952	95.91744	94.08732	76.99414	92.88305	122.20919	88.05223	63.19575	199.44888	152.2671	67.17144	38.3201	53.26074	50.43893
30	60	4791.77696	5322.39686	5939.52348	7248.70595	5553.75807	6113.5759	6636.16876	7594.08044	6589.87549	6681.94523	6378.87096	8561.74796	5320.16451	7797.00222	6134.5974	7313.03257	5696.4704	7055.53361	6316.59969	6366.51527	6483.59547	7188.31934	6847.26196	6072.17514	5809.62758	6393.26081	6409.70161
60	90	9934.7666	16372.9872	15071.72539	14223.91602	15825.33031	12233.9783	13620.19259	15421.28504	14445.45479	16398.23556	15814.90189	17348.70678	15322.3197	17911.88577	15625.96821	16165.91361	14876.68649	15458.76744	14720.09875	15063.57457	15732.05648	19513.6918	19436.2041	17336.56116	16202.63737	14460.24972	13341.9005
90	120	20827.95161	23297.852	25593.29398	23709.89453	26015.22552	23729.69944	21869.15467	27573.91374	23486.3088	29206.88278	25727.90637	25520.00608	25376.35576	27475.17117	24212.27337	26229.77474	24159.8146	27847.7375	24331.64288	28641.03749	28519.59272	27756.90859	24685.5293	24700.16399	24816.9034	24715.80692	28400.82227
120	150	23629.9987	37741.9822	32763.10141	27741.88194	33997.01366	27465.77214	25909.17051	30654.40816	30844.24705	36685.70104	34569.82098	33628.64612	32263.75991	31723.99084	31678.13975	31441.69702	31792.94444	34082.58521	31136.66819	36799.99129	37871.25847	43813.85391	42879.30469	41399.63553	39537.39153	34918.55134	32817.34136
150	180	20610.67925	30207.06662	31888.28469	26665.90516	32341.10514	25440.32856	26921.03357	33169.48907	29941.17434	35914.2437	32421.48853	31090.85106	34481.26866	30328.55298	32217.05819	28491.06877	31518.5136	33118.34269	31035.50488	40594.77598	37726.89684	40366.16328	35970.06836	38099.53355	36403.96995	35600.58343	32803.60352
180	240	22988.75586	32219.52713	32329.08906	28419.83724	38118.92209	27810.03602	27595.54345	32801.12198	29756.22084	36373.38193	31840.73376	31272.35069	34072.18005	29672.3725	32895.30038	28999.29321	32372.6373	33922.16417	30761.83609	37975.27896	36817.71707	36921.95469	33953.55664	38242.49512	37037.45267	37028.13839	32583.24826
240	300	19708.6582	31716.39714	29401.8425	24145.91406	29676.49649	23560.23676	23067.92445	29427.3916	25464.85961	34061.00545	29637.62714	30358.95522	30959.90003	29371.29457	27776.81122	27343.41772	27921.69654	31804.3577	27052.12646	38490.84612	36793.05861	39598.73906	35980.73633	38171.59305	35497.84235	35605.92132	31708.59006
300	360	20991.34223	26827.49479	29019.46766	23958.42947	28201.46745	24444.14779	23945.20383	29030.2241	26029.11009	31642.24787	28434.25751	26032.64692	29290.80056	25408.36909	27188.26919	24439.40853	27682.03906	30155.47584	26993.45466	34196.02586	34708.7387	33249.94453	28521.9502	33914.43691	33659.27183	33606.24749	31366.5549
360	480	18085.6403	23470.39062	25305.83336	21095.52496	25522.26139	21329.08681	21258.38919	25590.75284	22791.79372	27738.0694	25238.90039	23488.69705	25747.34795	22576.50326	24310.22643	21366.95898	24419.63375	26217.38253	23799.64521	31693.01571	29969.96231	28074.1957	25760.6543	29210.99724	28308.32402	29963.7793	27161.24327
480	600	16864.07878	20767.87999	23552.99375	19971.31749	21992.88871	19489.30425	19176.22347	22562.59408	20547.59502	23995.26621	22991.24921	22007.68895	24251.82928	20910.76482	22996.54054	20633.53898	22947.02828	23207.40508	21747.46109	28316.92116	26498.29813	23466.42148	21510.1709	24958.03481	24965.09225	27852.7966	24023.94293
600	900	15133.99761	17400.72873	18288.72594	16591.72092	17925.58208	16994.57617	15530.93849	19045.02381	16138.78966	19218.55109	17677.74182	17155.07646	19527.33746	17026.71136	18327.66127	16844.30269	18200.09831	18681.62676	17339.19873	22776.79975	21374.89368	18529.57188	17498.52246	20258.22489	20780.10677	23052.84375	19701.93424
900	1200	13576.20356	14607.70291	15875.5177	14632.50239	14042.32448	15084.81532	13943.68623	16169.10168	13759.32532	16389.86799	14975.24368	14419.40882	16180.21799	14454.76327	15289.62348	14487.02535	15392.28895	16062.32536	14878.9519	17977.92198	17652.76339	16277.35625	15356.17529	16649.22613	17153.72158	19018.03125	16759.39442
1200	1500	11934.31055	13713.15484	14043.11551	13182.92079	12922.60947	13152.36339	13195.68361	14075.91927	13298.09738	14094.76661	13777.08173	13630.44835	14199.94676	13149.68988	14099.85395	13317.76172	14122.0004	14010.776	13836.80448	16353.59375	15738.40665	16244.77598	14845.71289	15547.25694	15539.65723	17871.25084	14142.03895
1500	1800	13376.16623	13895.56738	14480.26395	13166.11686	11850.16428	12731.84451	12868.21744	12175.20991	13433.89796	13109.36467	13843.59711	13556.01295	14026.57013	12996.14689	14026.40598	13129.47896	14191.23466	12847.32958	14121.47773	14618.28282	14446.54652	14958.26699	14622.91504	14828.09326	14766.0026	15910.92174	13200.95399
1800	2100	12075.81684	13095.25857	13469.32297	11791.83811	10833.94426	11759.31239	11286.03943	10838.51951	11835.32203	11969.15557	12497.01083	12416.1258	12762.31666	11649.13409	12460.30812	11765.49292	12720.02062	11983.2418	12538.99206	12455.67245	12682.59575	14126.81445	14231.28809	13687.58655	13423.50563	14435.26925	11229.53092
2100	2400	10738.94748	13050.50553	12143.41641	11629.449	10751.16212	10957.85666	10959.08045	10091.98993	11081.23859	10985.82009	11152.21552	12698.43034	12037.7653	11415.26172	11980.00684	11671.4141	11880.98116	11232.2683	11488.98689	11697.95606	11942.89605	14660.86445	14321.11719	12660.14167	12396.90284	13120.13198	10792.54525
2400	2700	8923.75694	12136.14453	9331.56531	9909.15419	9015.51255	9396.35352	8668.62319	9284.01879	8073.21518	10464.61444	9178.88675	11364.51964	8802.832	10639.6902	8555.43423	10638.64998	8259.8121	10133.27846	8459.48194	10149.1129	10390.66929	13134.39141	13209.76807	11857.71999	11503.6546	11924.15485	9202.46495
2700	3000	8261.59587	11634.82216	10723.92797	9498.5848	8915.13342	8273.92611	8573.8119	7930.49907	9164.46639	9780.22538	10266.07828	10969.8971	10089.11896	10147.63294	9477.74224	10232.36947	9628.73183	9110.36641	9563.97883	9971.64854	10463.10523	12058.74766	11980.12451	11399.88424	11113.87372	11235.2433	8914.97673
3000	3300	7950.90554	10546.23145	11109.18781	9665.41043	8229.08223	7936.41314	8890.67324	8334.83324	9359.7835	10095.50221	10402.99155	11417.59968	10325.24418	10782.75481	10051.55728	10682.29622	9951.03624	9507.70939	9801.78483	10171.77464	10047.30976	9971.07109	10533.79688	10506.42897	10639.87187	11301.96624	8581.82275
3300	3600	10731.96517	11787.64442	8324.33529	9314.29633	8817.12055	9784.04123	7666.87234	7318.28448	7753.84356	9860.90105	8289.85655	10366.55357	8474.93736	8899.3925	8310.36513	9212.29747	8121.50043	9705.13857	8068.01368	9034.47976	9992.5797	11741.87383	12720.62109	11774.14226	11522.33068	10539.94782	8231.08078
3600	3900	7086.77143	8359.48519	9579.28371	8882.54953	9019.60115	6782.6945	9147.37646	5966.29241	8561.55947	7160.189	8250.61974	9547.73362	9351.38093	8930.42964	9477.41787	9244.43532	9180.22833	7060.63428	8807.5898	7800.32083	7665.95358	9127.47168	8645.42334	8608.3496	8504.88444	9523.28041	5992.81223
3900	4200	7632.61985	10054.14345	8224.16605	8129.57975	7777.86133	7297.45063	6859.13221	6460.86576	6041.63904	9029.8922	7139.10168	10513.21839	7207.84234	10165.89741	6770.16578	9853.02812	6507.21779	8785.0752	6502.39974	9512.24054	7952.87321	9646.24326	10314.98779	8578.63634	7999.58222	8476.53767	6817.60156
4200	4500	8638.06	9389.86279	9104.68555	8348.87967	5737.29916	8581.79883	6882.97174	8492.70631	7515.42432	8832.49602	7349.99892	9949.34245	7746.81932	10076.79847	7723.11197	9898.47634	8203.412	8950.24583	7835.21336	7496.38616	7091.00626	8005.71074	9992.17383	7196.71502	7123.41483	7062.30434	7715.22238
4500	4800	7576.19868	10592.40278	9075.55738	9987.87945	6405.72284	8391.92074	7642.95328	8688.76478	7010.23285	8650.86237	7583.06729	13683.00803	7312.43804	11963.04482	7724.00793	11006.20919	7091.69779	9062.57786	7062.46197	6884.03163	6876.95523	9786.25869	12054.4082	7783.03759	7488.22833	6566.21617	7214.11637
4800	5100	8723.92095	8377.32726	6593.21527	7358.95231	7758.41625	8969.41759	4518.61211	8576.25081	4928.30178	9392.06868	6467.48412	7951.06646	6896.87735	7650.00952	5755.58282	7074.68184	5690.71685	9496.70498	5495.28497	6875.50638	7331.31198	8559.95029	9201.26514	7964.90368	7255.43848	4468.35338	8414.90793
5100	5400	6962.81017	10285.62435	5882.80514	5797.35173	5049.1436	5930.56006	4374.24406	4718.78202	4295.46267	7182.89496	5372.29829	8018.87216	5352.63343	7605.08746	4700.12871	7147.29183	4731.05063	6762.74638	4550.40598	6598.89166	6664.96818	9151.87754	9732.11377	9593.22663	8871.98488	6213.73033	4690.68324
5400	5700	5066.43783	10060.77854	6171.11996	6444.72724	6068.16462	5052.46989	4359.51	6010.58676	3936.00845	8680.48363	5235.11439	11528.66602	4323.20216	12040.3606	4374.26309	10480.61084	4081.27345	8245.12341	3717.94906	5677.04112	6453.07763	8512.9417	9497.96997	8540.94099	7977.43923	5439.52567	4979.73834
