frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pc	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VPL
0	30	90.78267	270.37804	88.95384	78.00088	440.95388	146.45012	521.07389	255.02903	103.04467	101.69653	343.48118	131.73667	81.65769	235.41805	231.08367	193.94928	136.32742	131.57354	310.10833	94.26714	103.62421	56.18527	156.69113	64.05307	177.59594	75.87865	194.4378	362.33026	261.61359	433.35436	127.82247	88.17568	102.44281	176.83903	85.94777	80.6072	106.96788	202.73014	268.10132	295.09483	191.31918	111.52667	186.67863	109.79233	137.80025	149.31014
30	60	5528.99746	5770.60894	7036.33117	6222.76966	9463.55262	7010.98911	10272.02438	5864.75351	7312.93133	7374.90251	6462.16969	4828.16933	6385.98286	7473.50701	6891.10639	7581.29834	7557.35602	4438.36573	5708.25529	5512.32035	6136.4837	3564.78101	6562.39872	5736.69604	5194.01125	7134.89746	6270.66389	7657.85588	9382.35189	8536.32376	5404.46353	7575.72815	7708.39105	8182.98266	3773.31051	6788.16455	6106.18378	8181.23897	7450.9286	7100.10799	7832.34412	4412.67744	4199.62876	5160.249	5588.99281	5678.3031
60	90	16680.64064	17707.12134	21368.19428	16973.57635	26651.72739	15755.35658	25762.07559	15020.14652	21180.76183	20316.22792	13215.59793	16101.37549	15144.58259	21006.34163	15020.9766	19131.92242	19147.01173	14315.48603	19205.47038	15236.072	16066.62351	9870.70312	14928.57626	14838.0763	15650.05185	18896.42631	15734.52966	24716.77374	14240.5634	26872.43971	14278.12793	18334.37297	19107.5663	14738.08946	15217.49452	13418.45605	16886.64981	23226.18839	15619.06126	19192.00367	21566.78684	13170.67399	15462.21973	12820.94514	14402.59192	15423.61401
90	120	28682.66856	29480.32315	32885.42348	28945.93087	47341.92293	27019.5941	45214.17424	24552.19538	36393.89181	33545.40483	21365.38591	26328.35073	27023.72758	37021.13949	28282.01	32207.76979	32635.91774	25175.98708	32522.95736	26820.156	29389.68505	20100.74023	28200.61666	24207.21407	23302.38127	34662.52273	24565.78873	43429.77464	30305.69367	46764.93473	32969.30962	33919.54948	32198.9175	28143.90204	23162.67383	23359.52539	25602.98403	41767.08477	32632.94684	33898.24089	35009.16848	19383.51898	22985.42871	21816.96312	24926.26636	27328.37261
120	150	37252.44881	33923.43675	51136.24058	41231.98982	57961.67563	32452.05804	57053.50237	39220.10268	46024.46522	44132.8583	27417.36328	31873.48033	41232.33413	49787.84095	34104.42036	44781.73673	42685.30505	30100.07778	33525.38281	33656.53943	37398.78621	23507.60352	36194.30045	32662.35879	36743.95038	43662.29048	40822.04108	55034.88792	33040.63617	56168.32313	40428.56435	46043.09485	44077.866	32548.99146	34070.16556	34358.65234	42792.11647	50440.76565	34610.4555	45638.41877	43934.98936	30357.14791	37555.69922	31451.10275	35397.87352	36473.48853
150	180	37569.64018	36506.45468	47769.4352	38083.46145	64599.08534	32699.41087	62178.38693	35302.68157	45368.65133	44469.38227	27566.28173	37417.85742	35537.514	52206.85513	34087.58739	50501.03237	44165.58558	33007.80243	36089.61719	33061.38106	35752.23462	26870.24023	40459.23583	34124.17908	35549.47252	45644.7951	39468.40499	62807.10547	34573.35001	57067.0562	34335.24866	47532.91143	46353.88829	31210.73316	35262.89543	34686.41797	38305.80085	53444.69175	33951.92287	46522.83448	46109.34239	31860.37159	35875.67969	32545.83212	35404.63862	36130.91484
180	240	37523.15653	38117.84377	49789.45979	40631.30553	58044.11088	33003.70198	57053.14304	36715.86726	45749.00165	44700.02325	26407.27565	39777.12388	40726.2734	49496.16092	32818.52948	48829.50595	43705.63494	32543.92993	41456.56445	35387.05504	39465.88442	25099.54492	38669.44269	32659.96538	34748.33103	46593.24325	41771.11194	55870.72987	34514.22285	60937.75155	37508.85845	48204.35368	47182.23463	30750.16008	37233.83834	35018.67578	43504.25596	52211.05099	35774.78643	45492.11196	45814.84112	29038.6197	35033.3668	31067.90097	36133.54057	37216.59237
240	300	33834.29795	37249.2577	44649.6358	37764.26788	58822.23483	30488.6321	58035.90617	35218.47084	45191.88159	42719.01173	25089.43031	33597.75265	36708.68855	47479.47655	31906.30297	44558.13096	40223.80658	31056.53796	40198.86914	34235.74854	38174.89624	24711.91211	36716.09692	33242.17253	33106.92998	44851.83203	39287.78317	58040.2512	33787.05024	55794.88684	35531.89895	47534.89894	45978.02172	27263.73709	33827.88957	31034.2207	38373.74291	51350.73941	34400.28245	44708.63297	42904.6517	29047.16223	32582.71191	31407.18743	34846.23946	35122.77059
300	360	34540.96533	34683.8932	44722.946	36903.81976	51971.18525	29231.62685	50689.91232	34627.78153	42858.70595	40785.39346	23971.57759	33342.56766	37754.84795	46002.00533	30970.97221	45491.78396	40431.41774	31069.14654	36368.10677	34926.62745	36419.03641	24250.25	34677.2868	31910.77567	33616.16104	42849.54119	38489.32595	54060.77314	28533.50655	54738.50466	33859.7169	44378.52221	42391.47569	26310.54977	33430.41436	34576.375	38772.92397	47498.26184	30486.07704	44153.9608	40655.3982	28668.27838	33690.38945	31327.14919	34143.87187	35020.24054
360	480	32742.35712	31811.41861	39840.94635	35990.49476	42366.23843	25186.27427	44657.2217	30808.88742	39785.74932	36626.03621	21993.832	30722.72614	32807.55527	41265.09774	27972.38941	38892.02221	35467.87735	28715.05948	32487.22624	31800.257	34847.91694	24238.64062	32956.26088	31738.40186	31274.47514	38495.94975	35344.95964	44343.80078	26039.6247	48371.61097	28842.44932	41603.03808	38978.43637	24460.89551	30865.76938	33392.93359	34340.06538	43832.20546	29408.11052	40738.84042	36388.90351	27853.09292	31999.33125	30420.31991	32832.41638	32566.9691
480	600	27669.43597	29666.94138	33892.08387	31612.56788	34909.40925	23951.62648	37189.47806	27551.12486	34464.10895	32774.38806	21183.43528	30484.72349	32799.4766	36224.97205	24801.11442	35027.03685	30646.98397	26449.88516	29080.95378	28643.49604	30349.79444	21986.69531	29551.08037	26800.94877	29590.62636	31902.66548	33236.27392	36061.46875	24123.40567	39322.40066	26890.18174	37065.05061	34129.14026	23132.99474	31448.45898	30561.01953	33137.16033	39235.52726	25841.84737	34449.34157	31579.03868	25915.19857	30009.27637	28233.3895	30148.83088	30378.07683
600	900	24968.33666	24472.50786	27722.54883	27996.47221	27847.72957	18294.32427	30661.03761	24185.33137	28328.30464	26562.50781	17798.35412	26365.80022	27864.42003	28846.84683	20265.5907	29257.63054	24921.61751	23727.15687	24773.90983	25993.91155	27112.09048	20031.52344	25858.86566	24367.83549	25131.99002	26145.92756	28161.50467	29481.22025	19752.25453	32829.07695	23262.11575	31342.91548	28225.34144	19664.14846	26926.57497	27550.17578	27761.58693	30968.55174	22249.06136	30552.02334	26004.57284	22814.29496	24600.2502	24755.67106	26467.40598	26004.2659
900	1200	21670.1723	21450.70725	22152.99035	23829.35913	21691.39911	16533.85876	23872.99269	20445.15761	23392.59316	21627.62727	16934.9827	20841.70131	23182.63314	23564.86479	18481.84148	23801.76909	19730.93414	20802.76547	20849.99284	23055.4738	23383.99341	20187.62305	22779.32728	20880.58084	21910.78533	21148.79244	23518.33006	22050.73137	16660.45204	25419.87141	20398.00206	24812.41654	22311.29499	16974.68103	20959.14543	24415.80273	23032.66632	24561.23233	18921.56585	25342.2553	20633.80969	20865.01562	22087.6873	22904.3831	23226.41386	22781.26223
1200	1500	17913.71372	17232.87145	18336.93313	20525.93691	17457.62252	14872.2087	19225.62963	17591.39045	19685.92709	18180.3837	15332.96396	16935.54248	20460.77514	19656.00625	16172.77142	20439.34247	16540.97907	18435.62571	17775.10872	20615.05133	20330.18678	17475.13672	20077.8915	18567.72736	19195.77474	17281.14533	21009.78542	19704.43645	14850.77103	21026.75718	17320.63641	21645.442	19530.99761	15731.35597	18508.01007	21720.54297	20531.81779	20546.85541	17231.97188	20824.89069	17132.93505	19149.79585	19979.80254	20378.53947	20766.6731	20219.27931
1500	1800	16743.63969	17154.98177	15495.81514	17882.13395	15213.27419	14658.74609	17271.28399	15637.83869	16140.61588	15038.70986	14280.99907	15712.1868	16999.87938	17697.09461	15689.24117	18247.95441	14776.53285	18025.12277	18500.03841	18758.42367	18001.89617	17411.26953	18279.42372	17266.63201	17170.33157	14997.34535	18151.66114	15555.86839	14028.91313	16711.45924	14712.32602	18489.93399	16130.68084	14843.70644	16194.17255	18433.80859	17270.83919	16934.42785	15023.03837	18140.29963	14764.58432	18164.23218	17141.57119	19770.59911	19079.9314	18332.16702
1800	2100	15530.49038	15028.32055	14216.8121	16607.33294	14252.51228	13120.57185	16287.07161	13179.2147	15413.24447	14418.53266	12539.20242	14651.21973	17040.87316	15418.1504	13476.63354	16208.91826	13432.73861	16817.0628	15720.65316	16798.43967	16419.79268	16397.2168	16045.73411	14707.2815	14444.44259	13593.46049	16359.91806	15220.30446	12804.08325	15501.9726	12902.83589	16364.27161	14758.81493	13940.49665	15006.35314	15273.84863	15715.6267	15039.56719	13288.41398	16150.42397	12583.54228	15497.14695	15224.0709	16602.16217	16464.40718	16452.41788
2100	2400	13699.82389	12714.43758	12141.13781	13728.93174	13056.95793	11952.9055	12707.55587	11079.90625	12588.23146	11848.95466	11902.9525	13232.25656	14063.53239	12901.65819	11904.35928	14158.01977	11533.79898	14739.29279	14421.67578	15427.04713	14616.87153	14114.2002	14526.82053	13391.88812	12678.67308	12216.57599	14468.05174	13799.82903	13092.65833	13529.92654	11450.7906	13686.68364	12861.39304	13649.41946	13470.05649	12846.35938	14250.28043	13550.90528	12986.44585	14946.86945	11614.01791	14526.32236	13533.29521	15635.92572	15315.30541	15552.39461
2400	2700	11948.88017	11401.95468	10910.34872	12557.27572	10184.71398	9741.67423	11310.93947	11199.97862	11499.93394	11110.59426	10801.90266	12519.24798	13506.70616	11572.89162	10383.77899	11831.32256	10233.27936	12806.39997	12066.05518	13765.59167	13310.40113	15205.38477	13705.72587	11971.29902	11003.4397	10118.24325	12719.86358	11648.46672	11340.58682	13554.5533	11297.33938	11934.2903	11272.60833	12564.49031	10904.84405	12125.42285	12248.73378	12022.16612	11408.47143	12987.66583	10284.63904	13057.78491	11640.49443	14185.26552	13532.91619	13668.97317
2700	3000	11577.43531	11609.4535	9226.75224	10960.56456	8915.18359	10043.52157	9621.60435	9667.08322	10783.35518	9575.05473	9615.52803	9935.6347	10059.76855	10847.17569	9360.07536	11555.86256	9212.27473	13243.16542	12586.35514	12891.20485	11509.84234	13423.08887	12283.73096	10201.405	10819.02664	8442.40976	11647.95685	11551.68081	10360.74621	11895.56686	9224.65887	10769.29327	9777.4653	10902.73303	9615.27126	11747.57715	11213.51761	10273.86303	9752.11369	11254.90532	9011.82276	12516.1997	11040.86836	13825.67613	12778.96915	12366.02226
3000	3300	10364.22554	9478.89671	8825.02398	10522.76911	8545.15486	9969.41809	9138.10005	8065.93326	10062.29295	9521.84937	9365.40015	8791.58538	9550.54592	9540.59692	8250.75752	9915.33935	8129.12131	11105.60949	8221.52743	11402.46323	11221.04207	11467.62891	11067.32746	10003.52342	9898.24288	8629.34064	9834.71883	9442.89138	10008.66805	10243.43081	8229.2333	9982.91362	9244.99986	9548.28241	8808.32685	10355.34277	9472.30241	8711.35329	9098.53934	10124.60262	8145.05642	11105.93804	9956.66855	11783.28248	11990.11238	11124.13621
3300	3600	8745.7881	8429.8003	8005.03251	8627.07423	8716.66254	8117.9086	8813.72385	7584.37116	7262.5988	7475.63855	8929.70417	8344.96352	10611.42529	6890.21242	8330.63537	9246.58966	7042.62395	10080.4392	8912.58577	10155.76699	9779.04652	13484.48438	9662.56514	10269.37648	8940.56104	7865.19744	8893.09919	7429.85096	8808.11817	7917.23477	6875.60203	9276.09951	8082.80778	8180.5963	8304.45343	8974.58887	9374.66281	9042.685	8495.0606	9913.54432	8106.28351	11711.97645	9922.04014	10853.22708	10246.16514	10190.86612
