index	name	volume-mm3
4	Left-Lateral-Ventricle	6021.0
5	Left-Inf-Lat-Vent	148.0
7	Left-Cerebellum-White-Matter	15772.0
8	Left-Cerebellum-Cortex	45776.0
10	Left-Thalamus	8453.0
11	Left-Caudate	3617.0
12	Left-Putamen	5286.0
13	Left-Pallidum	1918.0
14	3rd-Ventricle	514.0
15	4th-Ventricle	1006.0
16	Brain-Stem	19995.0
17	Left-Hippocampus	4605.0
18	Left-Amygdala	1698.0
24	CSF	867.0
26	Left-Accumbens-area	672.0
28	Left-VentralDC	4551.0
30	Left-vessel	2.0
31	Left-choroid-plexus	432.0
43	Right-Lateral-Ventricle	4169.0
44	Right-Inf-Lat-Vent	173.0
46	Right-Cerebellum-White-Matter	14371.0
47	Right-Cerebellum-Cortex	45238.0
49	Right-Thalamus	8102.0
50	Right-Caudate	3487.0
51	Right-Putamen	5445.0
52	Right-Pallidum	2041.0
53	Right-Hippocampus	4737.0
54	Right-Amygdala	1844.0
58	Right-Accumbens-area	689.0
60	Right-VentralDC	4240.0
63	Right-choroid-plexus	407.0
85	Optic-Chiasm	71.0
251	CC_Posterior	1207.0
252	CC_Mid_Posterior	792.0
253	CC_Central	1000.0
254	CC_Mid_Anterior	761.0
255	CC_Anterior	952.0
1001	ctx-lh-bankssts	2768.0
1002	ctx-lh-caudalanteriorcingulate	1388.0
1003	ctx-lh-caudalmiddlefrontal	5478.0
1005	ctx-lh-cuneus	2955.0
1006	ctx-lh-entorhinal	1894.0
1007	ctx-lh-fusiform	9303.0
1008	ctx-lh-inferiorparietal	12954.0
1009	ctx-lh-inferiortemporal	10635.0
1010	ctx-lh-isthmuscingulate	2300.0
1011	ctx-lh-lateraloccipital	12046.0
1012	ctx-lh-lateralorbitofrontal	8434.0
1013	ctx-lh-lingual	6199.0
1014	ctx-lh-medialorbitofrontal	4689.0
1015	ctx-lh-middletemporal	11201.0
1016	ctx-lh-parahippocampal	1934.0
1017	ctx-lh-paracentral	3615.0
1018	ctx-lh-parsopercularis	5017.0
1019	ctx-lh-parsorbitalis	2544.0
1020	ctx-lh-parstriangularis	4219.0
1021	ctx-lh-pericalcarine	1753.0
1022	ctx-lh-postcentral	8956.0
1023	ctx-lh-posteriorcingulate	2266.0
1024	ctx-lh-precentral	13521.0
1025	ctx-lh-precuneus	9690.0
1026	ctx-lh-rostralanteriorcingulate	2736.0
1027	ctx-lh-rostralmiddlefrontal	13790.0
1028	ctx-lh-superiorfrontal	23207.0
1029	ctx-lh-superiorparietal	11464.0
