frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VM	Right-VPL
0	30	41.56849	84.39417	61.27626	23.45388	40.68625	13.30379	37.41891	56.81055	74.01991	75.67198	18.66952	46.20458	154.171	19.3421	21.1988	82.39545	27.28499	80.16902	59.46042	59.36462	55.09613	9.62147	85.54549	35.07288	64.27079	87.87561	40.83127	39.91226	24.33471	42.88886	48.83654	55.02007	79.41906	20.4557	80.02092	96.29029	56.25267	42.95285	60.38812	82.7513	44.929	42.72558	42.7234	36.35899	60.85056	46.97186
30	60	9676.91684	6485.5948	9118.01158	6879.30526	10356.82878	7971.26355	9604.56609	7779.69284	9105.25238	8799.58266	8595.65316	4751.79932	5203.30598	9621.51361	7711.47539	9848.25287	8425.52173	7129.06827	4945.32145	7797.62895	8402.49608	4597.21317	7023.57369	7989.04956	6812.78457	10334.0572	7420.85419	10997.0734	6983.66573	10669.75205	7528.16923	10288.25952	9553.19188	10311.30654	6443.55464	5975.47421	8506.20147	7238.74591	5744.9023	7182.08254	5881.22829	6711.5083	6843.8204	7496.01009	4396.53608	5438.97105
60	90	23309.98105	25028.16228	30854.16629	27450.53556	33544.03073	24362.50429	31668.66982	23206.44683	33634.20678	31194.51515	25829.63466	24795.5916	23022.74335	30129.35148	24002.52227	25769.475	23645.36649	19669.58904	24950.39062	25095.9002	27430.60207	19717.98884	24967.4613	25061.82679	23906.81798	31596.84654	23624.19358	28972.60208	21856.93254	28117.40322	21149.01855	33237.37325	30983.80804	25423.042	24109.21254	23242.82784	27420.71244	23751.68446	23719.4355	24075.02729	18797.24347	23144.10327	22223.78085	25160.26728	16106.56943	20375.33814
90	120	39480.4184	38304.91494	48361.149	44962.98632	48450.37135	37492.6801	46114.89531	39686.94922	54500.68928	51545.51575	40159.55907	34032.72148	39876.87668	51425.44873	40340.47445	46247.16733	40532.47743	31588.62009	33780.58691	37483.40506	42205.05722	25545.39314	39917.89524	38404.51905	37361.5456	49118.11049	38797.71227	43958.35651	30951.91216	44426.96245	34109.6527	54527.69538	50358.97498	39589.59443	33831.51776	41436.33177	46345.35247	32993.55448	37853.11887	37562.02081	32049.3668	33881.29492	35739.60581	40395.77315	29965.05156	32379.8697
120	150	54557.58804	49121.11138	64317.3298	58873.40945	64338.74245	48565.27017	61315.60803	50143.66515	70439.40202	62064.6322	52913.9491	48374.21172	45434.1023	65586.73135	51297.564	58015.22588	50434.58311	44509.87872	44319.1888	54773.84125	60296.95537	36533.49163	55698.7624	51904.99228	50428.13186	64943.50949	53035.87134	56370.9888	41506.99278	57630.57651	43446.45064	72016.11119	64747.14569	46177.42618	52749.30433	47448.1872	61940.29061	44205.5857	48703.09674	50153.14947	41983.48541	48960.57666	54192.2346	56591.12977	35281.58184	44575.90268
150	180	51078.08151	52569.24062	63434.4654	66824.26884	60223.19401	47485.08473	60168.39549	56173.09266	77043.09144	66865.33728	56635.44453	48730.89844	53200.09159	71123.9005	53087.28303	56498.97274	54176.51066	46412.186	45688.78776	55041.45899	62855.22789	41736.4442	58732.63308	52550.9007	52921.13682	72962.22712	60792.5395	62842.28411	43652.08667	65417.02822	50010.12713	76079.06271	68930.01973	49564.239	48770.40554	58398.25823	70442.10437	46731.11193	54245.86868	53917.75805	46193.09274	51232.04688	52877.16817	58223.74641	35785.87813	45157.33335
180	240	52851.48811	53832.74147	68296.9096	63590.9268	64772.08021	50521.12961	64241.8799	49866.48329	77195.12108	67365.06937	53249.14408	52949.20898	53359.88224	73166.67406	53598.39279	62827.94088	54326.85999	43764.92136	50105.45703	56203.32989	64619.38401	39470.04185	58120.43774	55537.64019	53342.65495	68262.56027	59268.7589	58451.07786	45562.97042	64424.80173	46340.68608	74714.91413	68640.83922	50369.85289	50216.57635	53172.40986	70499.50828	48290.55751	54800.49009	53485.54314	48121.76308	50130.97412	54118.82232	58652.65877	40008.50742	48480.994
240	300	57174.52937	55170.92583	68744.4654	62217.7425	59072.78438	50968.39321	60838.00025	52113.74262	73671.95713	65400.06645	51478.48277	54232.69922	52555.2796	66653.95469	52232.97629	60360.52726	50412.55655	49611.10084	52724.89844	57275.24542	62515.52833	40067.93973	56038.75591	51968.91129	51362.72035	65873.36105	58438.42425	56837.22188	40982.32419	60028.77513	42587.20348	70784.58435	65983.10125	46598.22258	46345.82209	54507.8383	65950.47611	44961.58549	50735.21044	50696.9298	45656.73492	47123.13916	53031.32456	58006.39949	37152.09219	47910.95714
300	360	48276.00365	53317.64163	61073.25614	63602.68223	55169.87214	44067.99062	56062.85376	47643.34245	69107.00311	61529.69313	49001.06546	47462.10117	48568.35072	66804.82194	48473.24384	57934.96068	50846.06012	45616.54263	50212.11003	54385.93645	59074.47773	37172.6356	53457.08114	52704.31255	51677.24549	60181.77511	58108.4781	50226.12865	40762.26238	56419.80486	45382.76136	68361.91787	61624.63466	50151.89614	45939.48402	53713.74733	63824.05944	46032.92722	50727.17628	48810.61933	48352.98122	48314.53662	53019.17565	55173.87771	36208.65547	46626.81547
360	480	47476.25139	50926.25576	56066.25781	57823.55481	47668.60182	43002.55768	48664.49283	44071.36155	63236.79455	55613.48446	46795.34153	45192.59648	47182.1649	60521.68594	47448.32098	53919.10031	46368.47574	45902.07101	46689.0332	53045.24639	56001.33039	35695.10156	51890.2744	44536.29775	49551.36949	53567.26283	55347.75439	44568.19766	39384.32989	49507.60125	42474.43679	61196.68422	55804.43868	47113.88579	48483.91797	49485.6893	58591.84738	43485.40156	48214.24826	45314.7419	43947.81954	49812.14453	50171.69979	52241.92523	36860.59297	45643.12505
