frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
0	30	94.07469	4.58186	2.24843	12.42782	0.95652	43.83781	1.56102	13.0727	5.16336	23.71095	7.0389	4.94327	1.5808	9.52809	2.31127	14.25719	3.02259	8.55869	3.59428	2.3691	9.97771	0.02302	0.26371	4.38855	4.12113	0.41928	32.43553
30	60	455.41678	1052.15199	500.78815	886.06423	245.36211	500.5868	793.34969	414.92139	950.85411	718.81949	1077.65222	2349.87716	756.45466	1361.92129	975.7454	1240.11819	940.63222	828.70214	970.76213	629.45124	907.27659	1448.64907	1011.13919	1296.58543	869.35609	791.26534	565.42126
60	90	5204.7938	5323.46521	4138.749	5321.90218	4871.96143	5239.99942	4532.68478	5191.36634	6540.70961	5460.91589	5243.74444	7121.72348	4383.37342	5525.63577	4679.59857	6073.91601	4808.35669	5523.76911	5035.6344	3742.1597	3558.84162	3017.81245	3108.2537	3839.23366	4036.47994	4626.70426	3997.82272
90	120	16218.8571	19416.72329	16301.66833	17832.35925	13281.21777	16120.37307	18412.56851	15304.05816	18943.51837	17174.0504	18394.86723	20783.18812	19306.76709	18817.10785	18954.4759	18241.13386	18390.30934	17543.10684	18897.07965	13480.02519	18019.13441	14458.98145	15172.44475	18232.40094	19042.15701	18734.83212	17842.04175
120	150	23000.60635	21253.07324	21094.959	23323.88853	23015.72461	23756.95953	25832.56593	22582.07915	28583.06217	21641.83564	24998.52088	21865.85206	24725.66409	21689.8608	26389.65914	21040.24814	25678.35627	22210.69948	25815.89046	20766.31882	21966.46999	22452.77852	21995.29994	23703.6555	23378.34134	18518.75425	23844.35508
150	180	23870.11636	19368.06885	24545.1851	27687.76703	26585.96094	26947.49225	27333.45206	26586.37578	31797.65684	24495.10145	26113.40807	23736.19513	25053.14401	27534.87333	27537.76928	26547.46414	27447.98993	26074.82747	27683.49798	20544.39043	22003.24451	18410.31836	17317.82896	19906.3305	19584.56524	23819.88893	25784.45283
180	240	28543.78223	23251.04492	24808.92354	26994.47372	25199.47266	28671.70347	26582.08529	25959.54826	30757.95429	24708.97694	28216.19236	24553.40436	24951.49042	25656.51417	26171.60247	24987.13222	26483.74149	26111.50107	27424.68117	22566.81769	25749.55964	18771.32734	18622.6236	23551.33279	23514.45875	25986.01809	27337.35967
240	300	25562.61938	17685.37246	21951.38595	26156.32184	23150.68945	27078.82728	27232.0821	26440.91179	31261.63327	22923.15942	26490.33527	23434.63666	25604.40863	25215.6627	26462.80486	24023.95769	26141.4502	25000.89375	26976.66253	21740.06556	25245.44286	19507.47383	19562.37165	22723.08735	23556.58104	22420.16992	30009.34277
300	360	24634.78022	20978.94014	24085.88755	24918.57805	24197.67773	25346.51929	27021.92722	24099.7295	31996.02204	21787.92806	27088.08615	22549.11117	26297.76859	22832.79404	28899.707	22865.68832	28418.13905	23275.16081	28507.33964	20706.60898	23387.00167	16905.73438	19168.96568	21473.13744	22493.32779	21742.0636	26590.18867
360	480	23951.21216	16921.10859	21427.78625	24283.56036	21506.16016	25598.18947	24308.191	23590.04278	27685.81531	21712.3428	23706.95305	20539.31957	23499.66125	22847.34616	24940.33144	22764.80848	24599.22596	23286.08094	24881.06913	20019.79994	19337.02319	15528.25879	15971.97042	16818.09062	18745.9469	20799.03983	22589.27705
480	600	22101.52422	16560.90146	18873.38009	21964.67552	20132.96875	22681.53437	21828.45292	20922.02433	23335.49683	19317.52908	19379.36609	19536.46115	19633.68539	21441.12629	21056.32549	20861.36509	20881.94854	20584.46417	20926.28507	17366.79232	18636.70374	17212.9998	17982.51562	18454.12844	19210.03854	19295.33984	20560.45762
