frame_start	frame_end	Left-Cerebral-White-Matter	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Cerebral-White-Matter	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	Optic-Chiasm	AirCavity	Skull	Vermis	Pons	CSF-ExtraCerebral	Head-ExtraCerebral	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula
0	30	18.864514031981837	33.51558864907857	22.912454217880875	0.5942665085933843	6.2602829788259555	27.98993278948256	16.596535735956707	22.035189179434788	27.814915681151696	26.38302368217673	1.1355733063005269	8.656556692446674	10.610574882858785	21.729050412563424	15.530521240050767	17.68637697840173	16.34993514073529	36.035470568708014	24.050587883512343	23.042008073862313	18.796525282628338	2.8264104582426346	3.8962727435753726	8.665210925117204	43.183830055527366	13.550259782822454	19.34531240176048	69.69162208051976	6.99281798486589	25.559073655940406	11.212690103264624	53.26346028826657	37.509971618652344	50.03741744291721	4.434509426826104	1.354074513913036	5.246057378255409	2.0079885122936783	0.5899051947197407	17.85200221004561	2.8496527453391645	16.886718095417628	38.71386720041657	33.901947256483055	14.594787934705781	1.951091623289027	3.7042047941341467	22.50480697079748	8.10590521569531	18.267617572468794	20.973209385868223	4.138776950028806	22.466382536599646	11.608509077356908	15.28927342915638	4.560038102697147	5.689129260146218	49.2307230541963	11.150129196460789	29.07728273879141	21.26130346000374	21.896533019728246	17.486875026360735	22.741843795591922	20.071166962578936	15.801130036897264	23.294678454202593	23.641888559637128	11.753189823666318	32.24186457472949	13.956088986929702	15.336413433637151	0.6251874333539696	61.6974911461848	56.78289245219663	15.363956355747428	51.5574826198764	16.684518220183033	27.466469304590397	2.485367423615913	4.67473005747396	21.77807715830917	7.30774157753067	8.765084453856502	30.46666080088384	14.039663423301425	40.80199573992074	30.591273763458197	13.701364473094873	2.439209230042875	3.5926610763841844	61.68583476016067	22.334703165012993	19.755706603487827	71.41662185411012	18.76823674611242	11.895373789842075	22.80654670845554	19.02749397518042	41.53724795885132	23.40372008780417	21.398426826996307	8.446721819445173	24.60870026005744	36.935091912010186	8.353196576576122	2.7352901923477546	31.087219475878133	26.596859566396677
30	60	2722.018053734359	1153.8216895798917	1918.12353515625	2850.408352897457	3479.6426887707225	4549.417850132698	3240.7264897290343	4351.066021718095	3158.3946968290625	2981.457335560034	3521.971492723487	3068.621500816454	3437.7681594313235	3568.686265956929	3655.5643254229235	5178.603235544892	3571.3211258936594	3873.204803466797	3217.5548998388335	2672.0033592841314	933.7334484510536	3056.5430415295305	2695.6523719341	3852.923854341443	4182.492197907392	3362.95243541828	3784.4614505661893	3178.301124764195	3513.5287503192794	3250.2563206793207	4479.509147240763	3159.5127940247835	2684.7757927389707	3247.5420686214343	4721.38501731179	494.8135882138272	669.7629331693704	2851.9972892503556	2951.0257573969943	3550.1721560587134	473.3553525499623	3778.7195412076458	4358.167391196473	3968.3873969021142	4579.67037769777	4052.4004997714255	3606.881223331419	3624.3871659555853	3134.580936480373	3837.332097011034	3626.300432823321	3848.1721175271837	4313.215311783188	4752.694334812181	3364.247134620172	3632.7516164457165	3588.876555288166	4339.089565934806	3602.727901852331	4078.8262391176722	4846.228153126741	3773.275659213192	4154.244714698925	4151.136404474343	4092.683256189833	4720.021798624363	3944.1122660787864	3938.5129419894547	3375.816091498067	3713.043601317496	4127.177034143698	3930.496918203943	2826.7717152054797	4650.361799549971	4742.509013682907	3762.724645535341	4518.61582873973	3670.803441297165	4137.143005711625	2980.228055676119	3333.091710973669	3571.7527573602893	2979.542888291887	4009.636261340062	3401.9797839032967	4206.727410132314	3933.3745145883686	4095.119223767897	3217.393662231531	3468.013428234208	3613.6192507867067	4410.623198942259	4021.150048717654	4129.130221656323	4757.4578702940835	3652.0789050769326	4324.260990696062	3800.0363587547226	4003.864422036845	4359.349193667059	3877.7228892681314	3994.984262009141	3107.0288875692913	3794.3567277154916	4110.172701495775	3582.0820627891967	2739.832112733737	4852.758798641718	4466.44767567071
60	90	9680.57793197522	4018.608845536812	10008.32308479735	10680.32555586027	13074.90656357199	15508.291853760149	12198.858440907114	16016.340360298967	10937.97499933139	10228.887589691378	10436.679203849004	9696.924243222396	12551.197680268693	11841.659006268204	10478.7413513659	15558.824849549888	11850.88106131643	14096.343453543526	12057.255836212462	9497.79319922362	3576.1730890662493	9728.856614716198	10471.605192283072	13733.142811467525	14675.858117993821	11220.158607126079	14590.075819502154	11656.51243841751	11914.252079684427	11808.478489550818	16479.131819082053	10859.191159603533	9996.22931985294	11592.533553881163	10093.830040838067	1693.059335983062	2111.5829999690995	13757.808291890373	10605.51141622598	11543.476813749518	1487.7742624411858	13075.985229985956	13206.58056218994	14735.404381841918	15028.905233298006	12895.08676069631	12256.481612136982	12830.889903101242	11820.956892592716	13298.779141366873	12703.892927828107	13560.09872534708	13970.314980498873	15517.44894281465	12387.949232973559	10436.065847277065	13139.67511902632	14366.017532949554	14026.414151230867	14097.083376883445	16964.543424513307	12903.811254022174	13643.453047579087	14048.367370768403	14022.900019285671	15627.463053891126	14417.365931946955	13856.056969524358	11655.589121220659	12576.029958115785	13990.917329912198	15142.301494072453	10955.533714234585	16353.07317035551	14416.680011406917	13135.351134174929	13659.471858675757	13441.081161952054	14836.636308350171	11196.999670460391	11866.637012655345	12778.935029612298	11252.068800290375	14002.177660798374	13219.385418002701	13713.592662428473	14333.98928992844	14800.516984148322	12008.121508566961	10897.528763053415	13466.005611994326	14141.090104607896	13495.811136642156	13658.948665999184	16840.897096241082	12740.043686906563	14288.81403720462	13507.139146297177	13831.06490745574	14392.803730855214	13970.246813651196	13750.026409665694	11582.406657491823	12579.084330827418	13539.582642928819	12729.186600347037	10691.278501534414	17407.877859267297	13677.104918591838
90	120	18550.328869338096	8137.375957074643	18571.365769749365	19747.849996594923	25296.316159539732	28501.62681111675	23205.69695438	29369.789521149407	22420.848033424158	20853.54772458629	19464.9970663838	18209.606055063425	22469.79898231908	21136.010155622236	20138.846874531904	25585.085279435676	21381.685165670056	19769.688284737724	22795.17408851676	18254.489999005025	6731.743878459812	19883.765499726676	19315.07156130907	26537.19753411698	27934.25041153804	22763.708049571964	28411.739739075005	20443.143749116232	21033.069577341445	18857.701877190982	28347.24784460963	21028.61583711954	18974.669232536766	20565.30550189937	15637.236988636363	2913.4954765120765	3761.0120911108183	25054.03398322779	20503.675010933068	21092.613208857205	2555.627798251871	25706.78253423455	25212.628251100134	27159.659643047467	29556.76424737293	22198.46014396104	23752.954132275372	24278.939922253747	23199.417032330148	25304.6110830927	24875.464809229295	24328.134506096394	26869.96353815221	25611.90864039179	23638.399406822744	19889.51295817647	24229.2480168304	28207.786124347855	25688.42268316561	26900.88083701494	32748.224729204903	24058.079928277646	27201.717300898024	26212.989910852826	27179.233855290608	28578.30088254735	27806.25298168926	26118.061643660993	22174.666071308384	24038.478172784435	26316.80752655653	27067.81724220795	19268.48746624777	30369.570143276174	26343.504727508785	24659.490807808023	25368.90366639931	26012.804764730477	28772.79425587668	20108.76682822145	22759.921617155735	24840.892742457327	21999.166074252556	26144.126090100326	25351.372452395863	25739.325072793898	26796.38461967589	27059.846450768597	23078.017080891357	19838.34603456978	25483.28926372417	26927.693871733685	25144.621546827864	25495.66644982104	31587.095332370503	24488.487634216206	27795.201713035345	25327.759664929126	26257.87360135264	28091.8929515078	27478.876059647402	25864.21181959069	22103.225487793854	23626.021778559658	25338.75313539973	24260.387096801234	19630.54389497753	31519.0019179149	25208.99600824043
120	150	26575.967548648114	11262.111774850518	29837.559927228744	29528.170899471083	37219.79787887414	40785.96369581587	33765.582304677955	43997.07592542294	32104.342552796516	29888.721776651153	29089.93490088452	26810.80410912637	32127.9470631629	28517.73143589607	28306.713861628876	37808.486523933214	30291.35503861725	25108.63054547991	31571.75891047903	26242.0989801636	9898.449507806952	30197.7253553207	29079.700814506716	37879.80256508475	40038.56313049407	32460.78048201733	42391.77608452354	33302.508405427296	30906.60170730396	29234.762132560387	39020.29802327737	28918.03375476826	22513.80158547794	30939.869412091455	17619.506875	3665.85203425355	5176.375657007856	36338.46586275927	30101.206486115003	29476.530173177733	3466.5377723115407	36339.82831109551	34173.95515596459	39169.94602765289	41879.47735009303	32896.71841148018	32825.01306691253	35287.90090132974	32725.06696381906	35187.56499597676	35659.65940471981	35532.51331772181	39503.246845752416	38135.58296394292	34436.16972764481	27302.362255446576	35156.02552232427	38641.26934852406	36122.892053758704	38405.011064588325	47235.883060353306	34689.74176802792	37371.64605619871	37032.02304398129	39012.958751270766	40841.07026441877	39765.53559815573	37384.59306756404	32416.517162103813	34678.6587550037	37949.453669062124	38293.41974462805	27598.72862685568	43587.153813881996	35870.60456266866	37357.15367258421	33938.01362335215	37207.49231309704	41768.32313802511	27824.804516300155	32929.177951561534	35333.86398554925	32152.60906246384	34569.50366339568	37170.66419170238	36044.79120928612	37459.40737619899	37621.68391518535	33616.38906345674	29018.027427721936	36054.79763396755	37976.94231000964	35245.9573066907	36816.03686945302	48569.81629882005	34900.05268485399	36504.56462815172	36117.61858907407	38319.356495125525	40368.1488869863	38778.15011607701	37250.0605891826	32614.427754166194	33294.84549723654	36669.33679001991	35229.339824470226	28171.999833766364	40195.8685876193	33747.37650156331
150	180	29786.68841236723	12461.666332062368	28305.022763324872	33654.67699346914	41105.174180639326	46200.59686190414	38962.457324481205	48145.57056713681	34676.561995003525	33381.73969184028	29593.901716280532	28423.293016972108	36150.388523611466	32352.61322789022	30695.221702214556	40526.06490174889	32507.933904096844	29172.541469029016	32247.416540891594	29226.775202720106	11024.172227937186	31782.20573296283	32749.295533060213	42271.562480264845	46052.653620976256	37931.15110031841	47254.38658507483	34893.60972609651	34473.127150742075	30384.807255525477	40481.08208181634	32861.80028670414	35479.02504595588	32552.081663023222	16297.20184659091	3602.2311052361715	5316.327337975744	41447.222174421804	32466.55520655284	31680.94205036387	3574.154553492553	40369.61932320927	38676.079289350506	45065.20568116143	46572.98909593306	31224.14677799916	36733.9602986802	40138.15477065199	36772.07939660735	37240.99879516869	40194.71813632401	40057.778157062115	43200.829111968946	41225.95414028776	38941.5469769416	29144.45454266682	40600.8833926093	44890.06480495984	40985.422434928376	42886.34695840821	51471.512529906264	39123.38222148662	39580.20149758664	41804.45711154398	42988.649386483696	43186.8917346028	43905.38216881432	41505.14496084238	35889.207189102766	38732.622812608126	42951.713577955896	40911.52701141198	30565.994436627316	47615.82512127708	39044.932376570934	41924.08143868699	37058.854846629234	42025.0237087168	45981.295080842836	31272.530368280608	38456.23678235216	40880.843653811564	36596.15435776275	37102.07194833652	41698.029753529285	38692.143892802145	42559.08286174444	39744.40263434653	37501.68901432109	31287.07872213376	40154.76126036816	41741.20544328041	39095.538929934955	39930.86802279194	53484.28578305935	38219.3312847666	40934.59473089178	39746.141700785425	42357.32712779256	42985.1464944825	42979.165259698515	41097.978365880364	36761.766421817105	37471.142170754734	40741.72447263045	40834.531462077524	30448.33221944507	46656.656575175635	37280.68468059825
180	240	30095.118642624297	11923.548386317818	29188.647361794097	32645.147979020356	41251.37353372867	46282.28069260738	38902.87061226866	49889.21987676791	36922.71290635698	35081.655758255765	28948.320485362787	28404.484508518202	33230.987792804015	30976.838244133563	29172.340902229065	42505.936781210345	31330.96664519049	35739.33238002232	29644.07988834162	29735.42181119263	10949.998305371342	29089.40171168914	32507.240141780203	43025.083497809144	46123.38445741103	39738.810984914395	47920.72466297268	35412.92377268871	33819.34404671368	31750.90339572128	37856.97488327602	31875.47908695702	30998.650505514706	30306.26053791571	14509.8071875	3436.7473571447135	5147.859837057983	38834.426563073604	33544.26463865669	31010.453943807966	3526.925218665566	40951.60508865871	38953.314405448255	43966.149372898406	46177.7671235411	32573.184639786075	36931.1212228113	40317.51410553933	37211.44929446209	37233.140054327974	39714.63213999403	38955.40972253866	42340.7633331179	40606.91995659913	39105.057934054756	29243.161081065304	38699.8108215685	42223.72081537356	40575.482135286504	41447.60090937833	50037.77016112513	39258.40067591292	41177.11934669915	41703.34276613805	43053.683132024315	44365.19596649812	43914.488469374024	41191.955643845926	36555.57613865034	38959.7461482621	42256.52328732338	41690.210098985604	30047.949794514334	47445.20083695284	38679.63635568007	42623.04778390767	36605.41257982169	41559.658076487816	46585.44971937049	29802.437143132716	36800.95369735902	40723.5008304685	36928.26514729254	37761.88810452889	42237.51463193355	38760.09362406188	42265.031400350184	40700.83241963457	37998.86262027641	30505.623342331808	39271.3431251819	41162.22762327646	39201.04213152809	41137.34372425544	51661.48454624173	38297.47004315053	41270.79999517594	40020.469672465246	42238.95225298803	43043.880839754565	43756.03565269362	41183.07204931034	36697.84048002212	37349.65060524515	40495.74672904653	38834.68697274008	29468.444803700037	45698.22609441278	37152.35867211895
240	300	28749.860442218684	10739.50055609247	26416.638096843275	31639.00372904815	38871.298336980435	43266.7348865571	36914.69392030792	46800.33392586916	35733.76141512283	32631.69343094341	26486.504809850932	27239.1531408245	31993.517394607687	31260.15864922848	26119.556505755223	39191.95878360961	28630.89995800017	31375.940359933036	26336.17704248757	28449.794828666287	10057.777978578575	25796.526660440963	31819.46177549781	40444.546599160945	43196.206992050975	36378.968664958586	44732.286158335206	35257.15600174182	31547.089399543696	30243.705176419036	39716.29422658779	31118.701808895883	29215.870174632353	25838.56969117331	14128.772652698864	3200.404248607034	4866.349837970962	38776.114990019276	31620.60146018112	28753.315986676815	3463.022236920556	38645.74493855337	36037.920517996514	41001.565745982574	42805.82163462555	31773.81487979761	35663.808632116365	37461.8338459605	34916.82557837355	34464.70932856156	37299.554087998076	36689.19765386142	39957.5462519827	38088.76834705722	37380.09139283817	28438.53914564934	37638.78490685722	40154.791339489704	37684.741148529545	39530.86402693191	46622.103522794314	36289.54554756518	39609.0509538371	38780.44853429596	40064.50148945028	41247.03099745683	40905.48092988327	38451.13485809261	34544.43023050212	36363.944027786456	39429.62355294396	38258.402815840425	28870.081947903593	42960.357231498194	37165.14416719946	40678.113107680365	35513.07692831729	38903.95984587189	43016.53536649778	28170.83101691101	36371.763144964585	38321.168696534216	35444.51279645142	35081.548064917566	39906.40056954133	36145.03018511402	39674.838063337396	37503.50787061931	36491.1679371091	29130.442611180617	36718.99407150393	37872.035791163966	36335.52991786859	38520.35274934579	46831.166030972134	34969.12153077802	38689.80549522047	37315.80958209606	39375.66908906947	40900.75647771594	40432.267176052526	38531.632457813714	34630.6430386395	35678.82804404822	38660.13014250807	35808.42861118562	29260.345912159388	40914.22902720705	34943.85635967587
300	360	27092.58362424246	10184.63215262219	21749.48818706377	29704.67049760875	36160.2438789537	40973.27070486429	33918.79217757452	42758.480508461216	34392.06952668773	30390.76651729647	23790.76550152658	25776.54388422468	29528.416472276695	31003.399975909626	24416.74832802436	35970.330877468674	28239.35774318699	25484.311070033484	22548.123578119023	27022.531416522022	9266.9556975995	23980.295104090743	29407.54301975157	37225.71357681612	40950.81729582997	33479.268860488584	43236.56519934509	34784.42522769051	28861.861916751168	29760.91759058058	36347.73495440601	29465.88225674	28601.896484375	22750.22667941872	12346.571381392045	2893.188974225912	4546.001401544358	35578.33013319108	29565.62879709795	26256.61861285996	3372.5079642524147	37302.51938728933	32522.15616924143	37852.66681334064	39266.183580535355	29581.109033203124	33222.71215355565	34601.07030165409	32662.074969628058	30827.562019565492	34288.4471687689	33819.84209002749	36951.471338739575	34982.46452251609	35207.08890865155	26961.346074348487	33587.3549790004	36873.47920788581	34064.48734966307	35102.05975907298	42276.428118445205	33035.43042098982	35859.43360662963	35516.38418831649	36576.10675706017	38013.21280613274	37113.44744266041	35462.364717460754	31701.227640518908	34333.10610968015	36443.550574843495	36536.94832399378	27376.162920470368	40436.34881790106	34494.53495326424	37793.639668500655	32457.90890975907	35583.84037214169	39055.66761684136	26686.889023718813	33911.17233690983	35374.52201028841	32847.79815364279	31967.00855821369	37166.859498274425	33351.88825619582	36712.574753777786	35011.94470692582	34123.518830229834	27539.038811917082	33849.94433480064	35514.2844982856	33430.17926771069	35127.09741957313	43610.70349817773	31924.714392864247	35458.62846095234	34041.16222279176	36264.272119822475	37958.00638555936	37454.533946404845	35577.455852323736	32493.297063680973	33286.42917053473	34937.090336149464	33014.18019212715	27345.452593276787	36439.749467706126	32725.77844279575
360	480	24837.202721475616	9263.75324908149	22121.059084509834	27175.627813983763	31878.21803350176	37273.822692468246	30437.527765344414	39310.82107095394	32260.667351269884	28177.44372068004	21879.882990975217	24179.41565253327	27497.29033410694	27411.699392169296	22199.18081151232	31868.364763443846	26862.680472172455	28080.33918108259	19989.964822455408	24723.4510653872	8324.115433791101	22561.02165520226	27029.75935618331	32959.222511218046	37145.934630507305	30370.627785486846	38410.8874745411	32220.78275642097	26892.160590469826	28144.26206803148	32622.38818517395	26557.67051844443	22747.464613970587	20468.00827659117	10514.237244318181	2690.5372765145	4241.094713138734	31206.051484489722	27612.62644885503	23079.92908371126	3310.6099496780894	32987.01625438905	29860.942049399597	32295.690954969527	34130.29474876311	26566.344769491927	30127.548279248622	30271.256604816273	29692.321311565614	27157.00949669581	29918.818584102493	30173.91979041113	32491.146409202145	31324.949469535364	31620.02328466073	23419.79830799932	29345.64355129901	32115.1402212732	29937.030626966374	31815.29200752754	35332.40626126606	29071.928925782926	31991.894099925354	31643.74093877219	31827.895551178462	34610.91425202408	32983.43479017289	31198.434655646233	27827.978233215417	31164.52478168129	31914.404572083673	30921.75149466896	25670.69833319442	34267.15999936541	31018.86556361397	33705.679927324716	29803.85270198359	31290.171507050076	33713.22334788829	25012.522044190457	30913.531972343764	31198.698679095378	30103.706213137164	28500.567844167104	32374.18530308803	29793.957330248766	32247.33122192829	31426.107055103956	30500.555588001334	25346.673360059216	29497.93753274156	30752.031373696394	29692.019999351905	30428.562512331428	36511.34695755144	28262.654209245226	30704.876328162107	29953.38632192524	31523.010224359365	33969.11008490297	33011.44318058375	31461.085875934103	28089.054335467827	29840.75150740056	30761.778420935847	29087.108986889754	25520.505958762515	31895.30693680408	29609.937926150225
