frame_start	frame_end	Left-Cerebral-White-Matter	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-choroid-plexus	Right-Cerebral-White-Matter	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-choroid-plexus	AirCavity	Skull	Vermis	Pons	CSF-ExtraCerebral	Head-ExtraCerebral	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula
0	30	323.8143310546875	244.78578186035156	311.21502685546875	411.14300537109375	414.5776062011719	499.68621826171875	265.2559814453125	311.6178283691406	343.1798400878906	502.6348571777344	270.116455078125	466.6216125488281	342.58465576171875	470.4685974121094	281.64263916015625	245.3865966796875	273.6229553222656	397.9923095703125	457.679931640625	444.593017578125	506.9446105957031	282.4907531738281	429.8315124511719	607.2216186523438	486.1514587402344	256.7171936035156	87.65702819824219	104.64412689208984	300.36474609375	235.7987823486328	454.78338623046875	55.67613983154297	513.4442749023438	638.6114501953125	419.41802978515625	410.07757568359375	354.0898742675781	444.5212707519531	332.359130859375	305.6387939453125	549.4457397460938	288.15411376953125	588.5801391601562	567.5875244140625	681.5223388671875	337.8505859375	394.0740661621094	345.8435974121094	583.9108276367188	388.0274963378906	432.7557067871094	521.892333984375	385.982421875	230.38514709472656	458.1791076660156	486.0335388183594	525.9160766601562	453.66302490234375	414.18157958984375	365.27203369140625	485.2013854980469	499.30828857421875	393.56414794921875	448.29205322265625	646.1663208007812	709.1232299804688	435.8591003417969	496.4416809082031	376.6517333984375	500.19744873046875	431.0830383300781	326.581787109375	282.5532531738281	327.99224853515625	389.4787292480469	342.8779602050781	514.316650390625	463.7330627441406	600.4701538085938	366.64764404296875	360.6771240234375	379.420166015625	546.6981811523438	439.5551452636719	473.6019592285156	545.0064697265625	497.4897155761719	328.9071044921875	364.6040954589844	459.023193359375	720.7962036132812	357.888916015625	429.825439453125	268.86383056640625	516.7886962890625	415.8585510253906	219.5779266357422	383.3046875	642.6173095703125	627.285888671875
30	60	5589.998046875	5435.73876953125	7649.98876953125	8087.97900390625	7894.7255859375	8968.048828125	5961.62744140625	5568.712890625	6732.01025390625	6493.98095703125	4904.5009765625	8048.3798828125	6702.583984375	5994.10888671875	5375.81982421875	6307.8857421875	7652.1943359375	8040.005859375	7370.19580078125	8152.17724609375	5794.13818359375	5958.98974609375	5795.06103515625	8403.0908203125	6631.44287109375	5276.27880859375	1801.2369384765625	2459.293701171875	8110.09814453125	5782.82177734375	7462.470703125	1590.4573974609375	7594.27978515625	8456.5947265625	8082.63720703125	9478.880859375	5784.86572265625	7748.40673828125	7114.95849609375	7128.5380859375	8419.59375	6856.7275390625	8529.146484375	9981.2275390625	8261.9716796875	6761.763671875	7147.64208984375	7568.42138671875	8760.0	9132.20703125	8563.421875	10319.5712890625	7355.50927734375	8264.2470703125	7370.9208984375	9527.46484375	8908.666015625	8416.306640625	7951.337890625	7284.17431640625	7485.7880859375	8367.7373046875	7737.4697265625	7100.2041015625	9247.1123046875	8447.669921875	6765.27490234375	8353.083984375	7691.630859375	9519.455078125	6325.26123046875	7075.244140625	6759.58642578125	6784.89697265625	8871.375	6931.02099609375	8670.314453125	9447.1298828125	7836.1953125	6646.68701171875	6675.0419921875	7389.119140625	8052.724609375	8883.72265625	8149.5224609375	11108.4169921875	7553.46875	8783.927734375	7148.6171875	8778.53125	8410.93359375	7677.26220703125	7878.72607421875	6918.65869140625	7778.8544921875	8082.99169921875	7476.79296875	6142.09375	8914.9833984375	8437.08203125
60	90	13605.4033203125	14832.4560546875	18871.248046875	20255.357421875	18836.55078125	20892.5859375	13894.5595703125	12326.05859375	15112.0732421875	15098.3427734375	12506.5869140625	19099.15625	15927.36328125	14396.4501953125	13260.515625	14607.33984375	18808.255859375	18622.267578125	19288.8671875	20812.716796875	15142.4501953125	14516.1591796875	13722.9580078125	19038.3125	15441.37109375	14019.4111328125	4116.20751953125	5713.57080078125	21253.20703125	14208.248046875	16638.662109375	3771.888671875	19338.1015625	20165.953125	19300.50390625	22458.7734375	13296.5927734375	18411.52734375	17755.421875	16918.111328125	20974.298828125	16571.787109375	20086.240234375	22080.927734375	19622.2578125	16346.3486328125	16930.62890625	18318.126953125	20307.349609375	20633.25	20025.8828125	24770.96484375	17947.48828125	19829.75	18448.400390625	22336.744140625	19715.90234375	20098.283203125	19357.8359375	17542.998046875	17536.4375	19744.544921875	18391.810546875	15162.67578125	21869.33984375	18704.58203125	17842.716796875	20496.73046875	19491.484375	23388.109375	14108.623046875	17143.099609375	17479.140625	17093.9765625	19831.3671875	16846.548828125	20321.439453125	21253.89453125	19668.96484375	16090.8720703125	14638.126953125	19205.654296875	19923.634765625	21713.244140625	20171.818359375	25438.232421875	18358.984375	20043.38671875	17777.6796875	21577.7265625	19735.24609375	19233.99609375	19362.0546875	17315.525390625	18155.84765625	18937.28515625	19629.259765625	14766.921875	19873.681640625	18993.310546875
90	120	22539.53125	24413.126953125	31066.1328125	32775.59375	30851.28515625	36170.765625	23464.91015625	21233.859375	26177.921875	24023.458984375	20273.037109375	31898.453125	25320.87109375	24274.734375	22012.98046875	24965.15234375	31307.359375	31505.3671875	31380.419921875	36479.0390625	25489.599609375	24066.005859375	22074.32421875	31064.955078125	24735.046875	21420.88671875	6595.33544921875	9152.5048828125	33602.69921875	24276.12109375	26391.82421875	6103.1484375	31360.66015625	32613.546875	33338.34375	35610.4921875	21125.314453125	30540.060546875	29569.849609375	27439.22265625	32061.33984375	28169.75	33104.36328125	36072.00390625	32610.92578125	27483.419921875	26767.615234375	31523.09375	32161.078125	33860.0859375	32373.494140625	41638.46875	29932.845703125	33192.55859375	31049.80859375	35879.15625	30767.958984375	33379.83203125	32117.51953125	28695.91015625	28326.09375	31815.78125	31590.078125	24612.49609375	32336.376953125	30214.87109375	28501.443359375	32451.59765625	32077.763671875	37871.20703125	24009.58984375	29050.873046875	28556.755859375	28057.03515625	31499.435546875	28135.6640625	32799.52734375	35678.39453125	31137.560546875	27107.43359375	26498.66015625	32103.486328125	32620.71484375	35821.0625	32211.59765625	40277.7890625	29772.21484375	33928.09375	29442.966796875	34256.82421875	29574.552734375	32509.822265625	32231.259765625	28024.568359375	29157.236328125	30460.447265625	33902.9296875	25232.75	36195.99609375	30223.04296875
120	150	27755.787109375	30142.46484375	39186.42578125	40346.91015625	39302.87109375	44646.97265625	32680.515625	24885.755859375	30356.439453125	27312.1953125	24220.490234375	36118.484375	32049.966796875	28791.173828125	27303.03515625	30449.548828125	38783.37109375	38551.55859375	39544.20703125	44475.06640625	31550.2421875	29337.28515625	28092.205078125	41344.765625	31034.220703125	23793.673828125	7999.71630859375	10959.9921875	42433.73828125	29656.15234375	31025.39453125	7405.7744140625	39048.0390625	39744.05078125	40043.15625	43708.2578125	27174.138671875	37827.01171875	36373.49609375	34692.953125	38720.65625	35202.48046875	40173.53125	44964.44921875	38188.9765625	34445.68359375	32343.52734375	38591.7421875	39875.80078125	43315.82421875	40747.75390625	51257.78515625	37954.3203125	40918.50390625	37727.9765625	44044.1328125	38092.79296875	41036.1640625	38805.81640625	35351.81640625	35052.6171875	39776.55859375	38028.171875	29185.5078125	40070.76171875	35953.7265625	38072.32421875	38319.7578125	39048.3203125	45836.8828125	26679.017578125	36016.765625	35823.75	35053.765625	39156.8125	34545.05078125	39709.59375	42459.3984375	38332.2734375	33386.30078125	32340.779296875	38557.22265625	39242.8671875	44274.62109375	39773.77734375	51029.77734375	37228.984375	42494.50390625	37268.1953125	42736.359375	37125.3359375	40559.42578125	39555.55078125	35244.375	35178.65234375	37880.41015625	40437.25	29180.3828125	40942.015625	36053.78515625
150	180	28458.791015625	31136.412109375	39998.9140625	41271.6875	39516.625	45741.890625	33352.93359375	25627.8828125	30552.83203125	29608.732421875	23450.537109375	40546.27734375	31935.744140625	25816.4609375	27958.509765625	31431.638671875	39807.23828125	40724.921875	39507.73046875	46507.2890625	33846.49609375	29565.57421875	28422.916015625	38963.80078125	30951.5546875	23880.900390625	7887.83837890625	10899.6396484375	42105.9375	30997.794921875	30688.947265625	7483.328125	39198.80859375	39892.2734375	41482.9765625	42692.29296875	26544.060546875	38801.63671875	37404.2734375	35463.92578125	39406.23828125	35695.6015625	40703.859375	44170.125	38681.890625	35171.52734375	34904.11328125	39867.453125	41547.921875	41590.53125	39808.2890625	49437.59765625	38794.85546875	41431.6640625	38557.46484375	45519.48046875	37779.78125	42194.00390625	40144.875	36715.19140625	35917.59375	39823.984375	40323.4765625	29437.5234375	38508.98828125	36733.55078125	39070.75390625	38272.10546875	39977.89453125	45201.81640625	26026.94140625	36448.234375	36821.24609375	36010.58203125	39588.1875	35966.4453125	40773.53125	42148.52734375	38655.00390625	34698.77734375	33245.43359375	39313.3046875	39142.75390625	44964.92578125	40669.921875	50106.26171875	37021.72265625	44238.3203125	38173.7421875	43401.6484375	37650.0	40425.76171875	39569.1171875	36457.89453125	35288.25390625	39028.06640625	42096.7265625	29976.34765625	41955.04296875	36735.25390625
180	240	27588.521484375	30122.90625	39082.0390625	39446.66796875	37993.70703125	44623.90625	31829.96875	24940.595703125	30646.99609375	29316.912109375	22327.2421875	39206.33984375	30485.896484375	25686.30859375	27142.330078125	30910.3984375	38891.78515625	39402.29296875	39255.0625	43961.86328125	32643.857421875	29140.2890625	29194.533203125	37929.171875	29740.642578125	22820.958984375	7503.146484375	10818.5712890625	39685.7734375	30482.255859375	29044.330078125	7613.91455078125	39678.74609375	39634.2265625	39606.2734375	40772.1796875	26651.369140625	37085.69140625	36416.828125	34223.9609375	36646.91015625	34292.83203125	39068.953125	41715.61328125	37450.140625	35025.37890625	33245.08203125	38133.31640625	38157.34765625	41575.40234375	39211.47265625	47031.4453125	37233.70703125	40405.47265625	37348.32421875	42805.3671875	36896.07421875	40167.21484375	38156.8515625	35419.56640625	34916.0234375	38418.58203125	37891.3359375	29736.119140625	37036.57421875	35094.73828125	36826.86328125	37351.3125	37277.83203125	42157.56640625	27084.287109375	36296.7578125	35720.23828125	34909.9140625	37186.01171875	34393.984375	39035.21484375	40808.69921875	37304.6171875	33856.56640625	32599.859375	37347.78515625	37804.3125	42621.80859375	38820.171875	46947.41015625	36080.12109375	40230.4609375	35585.91015625	41459.78515625	35371.84375	39464.15625	38414.41796875	35093.37890625	34128.91015625	37102.4453125	40098.6328125	28032.240234375	39459.44140625	34388.0703125
240	300	26088.962890625	28830.083984375	36122.95703125	38277.32421875	36285.15234375	42652.765625	30112.408203125	24037.984375	29004.720703125	28072.78515625	20642.484375	35208.515625	30227.55859375	24588.375	25738.888671875	29114.158203125	35978.02734375	37222.96875	36302.06640625	41394.2109375	31749.744140625	27127.625	27787.513671875	36714.546875	28656.66015625	21047.9375	7200.556640625	10531.4228515625	36058.0703125	28517.01171875	26489.5078125	7653.2041015625	35467.09375	36306.03125	36905.41796875	36917.10546875	26444.806640625	34897.4453125	33622.84375	32671.888671875	33330.8828125	32173.291015625	36052.890625	37025.78515625	35814.2890625	32911.36328125	30542.38671875	34281.921875	35337.046875	37323.359375	35907.515625	42240.3671875	34484.83984375	37514.1953125	34677.29296875	39240.1796875	33561.26171875	36824.3828125	35271.09765625	32773.11328125	32740.306640625	35204.7265625	36208.88671875	29546.326171875	34977.13671875	33523.36328125	35114.7421875	34272.69921875	34600.7421875	39120.6015625	26013.97265625	34110.578125	33307.76953125	32656.06640625	34175.78125	32198.958984375	36269.72265625	37752.609375	34754.671875	31421.171875	30794.1953125	33627.6328125	34831.7109375	39835.8984375	35483.4375	41090.69140625	33186.4453125	38248.27734375	33627.01953125	37099.390625	33383.53125	36582.05859375	35455.54296875	32510.3125	31782.4765625	34615.03515625	37399.890625	27439.546875	35431.8828125	32530.99609375
300	360	24488.47265625	27299.974609375	32915.13671875	36508.53515625	32493.603515625	38759.41796875	29873.880859375	22113.072265625	26376.59375	27188.345703125	19033.37890625	33515.76953125	28635.40234375	21476.568359375	24270.2578125	27538.64453125	32704.154296875	35477.390625	32695.34765625	38465.3359375	30598.890625	26477.548828125	26990.3828125	34665.31640625	28470.76953125	19130.431640625	6792.31396484375	10196.484375	33947.66796875	27503.001953125	24074.314453125	7618.74462890625	32757.927734375	32275.486328125	33239.94921875	32805.5390625	24769.298828125	32154.09375	31116.009765625	30566.0078125	30731.248046875	29194.0703125	32912.96875	34179.203125	32072.236328125	31144.685546875	28648.896484375	31604.115234375	31537.38671875	34278.32421875	32162.1796875	36176.46484375	31427.39453125	34998.85546875	31688.408203125	35473.07421875	32350.615234375	33554.87109375	32301.03515625	29918.564453125	30596.3671875	32309.82421875	32272.927734375	26059.390625	33019.84765625	31833.509765625	32644.341796875	30938.404296875	31794.451171875	35287.9609375	25373.45703125	32513.841796875	30322.40625	30343.462890625	29700.21875	29003.451171875	33181.96875	33870.0625	32126.70703125	29271.01171875	30324.345703125	30615.552734375	32232.291015625	35628.19140625	32601.234375	36952.26953125	30169.40625	33549.90625	30360.615234375	34025.2734375	31998.822265625	33175.8359375	32420.71484375	29593.626953125	29436.484375	31707.5078125	34558.86328125	26386.392578125	33109.765625	30497.853515625
360	480	22664.8828125	25151.1640625	29392.556640625	32510.380859375	29105.955078125	34690.0703125	29265.8515625	21179.400390625	24754.08203125	25380.57421875	17610.826171875	30843.6328125	27045.41796875	20072.591796875	22468.537109375	25702.990234375	29091.125	32254.2265625	29312.623046875	34184.72265625	28993.986328125	24029.6171875	24939.701171875	30719.322265625	26389.947265625	17732.056640625	6477.40283203125	10002.2294921875	29801.05078125	25576.935546875	21359.728515625	7724.43798828125	30148.1796875	30181.173828125	29463.5390625	29005.0234375	22112.9140625	29273.8671875	27472.703125	28013.609375	27356.80859375	26057.787109375	29605.5859375	30124.86328125	28894.482421875	27905.794921875	26324.19140625	27908.314453125	28405.138671875	30751.375	28686.759765625	31076.845703125	27837.32421875	30013.580078125	28056.10546875	30815.482421875	28788.244140625	29753.912109375	28491.134765625	26476.689453125	27530.26171875	28705.662109375	28751.353515625	26010.412109375	28708.5390625	28508.50390625	29713.447265625	29061.1015625	27287.6484375	30604.046875	22730.37890625	28903.736328125	26920.080078125	27608.484375	28317.15625	26042.765625	29278.400390625	29731.72265625	28650.263671875	26288.791015625	27265.02734375	27914.20703125	28163.181640625	31995.259765625	28393.240234375	31956.130859375	26734.0078125	30750.125	27220.064453125	29762.564453125	28594.853515625	29168.638671875	28588.99609375	26405.060546875	26463.8671875	27626.072265625	29450.126953125	24938.078125	28343.380859375	27123.41015625
