frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Medial-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
0	30	744.03679	156.78256	455.64925	296.8414	123.25022	359.8359	573.59215	142.32562	321.15157	231.45951	188.88449	226.12797	251.07637	129.68121	278.32053	183.63643	342.09248	196.76309	378.80269	116.20494	230.7857	107.7419	127.29381	122.67225	114.43928	203.15687	571.47172	168.71578
30	60	6393.02713	4430.95773	6053.8768	5314.47218	5565.79453	5321.52316	5483.53402	4339.68287	5255.55775	4601.02896	3553.11965	5386.40855	4940.70048	5240.97117	5233.3121	5350.03848	5255.90291	4674.05582	5043.4626	3285.52421	4971.57308	3944.47067	3567.75848	3617.23052	5134.00561	5001.44562	7353.39426	5070.88857
60	90	16026.34079	13550.01827	14713.43457	14970.07557	12566.96311	15049.93025	15505.0864	11863.79408	14557.18019	13261.66352	11024.96899	14767.19802	12364.36566	14669.34651	13933.9484	14491.00341	14099.68637	13679.34776	13815.05132	10853.10111	12020.53096	12727.98177	10279.14087	10740.97862	11807.70444	11416.99825	13725.17235	12253.81604
90	120	25298.27494	16523.36755	23334.48717	22494.97216	18223.6246	24960.27725	21392.83947	23684.08006	21286.28003	19263.26405	19251.83518	21466.02094	22747.78979	22453.64819	22795.98968	21632.23829	22642.18242	21904.79707	22208.55762	20265.15174	19651.81312	16903.52366	15104.79712	14161.7717	16401.75189	16188.53998	26549.15194	21430.0979
120	150	27209.58051	23394.04527	30596.64036	28615.11041	28128.63773	28370.11819	27825.11978	25136.16788	28663.32294	24216.14257	24804.80929	28460.8076	28323.58394	27210.70499	29290.19317	26096.3956	29202.27623	26324.4005	28393.26972	25020.51844	26493.53989	22990.66892	20830.44368	20186.98879	23014.93365	23197.67021	26830.45319	27220.32671
150	180	24151.00965	26919.53846	30689.59349	28136.82768	28161.9167	28665.49376	29646.25734	29073.29115	29837.02556	27201.35413	26015.01603	27209.82552	27785.04706	30476.32148	29131.26659	28977.06591	29069.54968	28630.19215	28825.06215	29283.47179	29161.40363	25793.10943	24793.71631	24988.69951	28795.64297	27905.16029	26208.80907	28521.8603
180	240	25683.06477	22926.93926	29278.93328	27022.5546	26708.329	28284.47048	31837.44707	27944.57953	31280.96158	25608.7703	24836.21252	25423.1268	25532.01313	27964.65871	28903.86959	27092.24207	29113.33176	27311.47315	28856.89594	29599.06814	27195.21565	27790.36228	23659.66585	22973.2045	23207.24468	23466.22227	27215.33951	26803.84756
240	300	26516.51466	22561.61735	28951.4583	28780.22398	26429.32138	30376.72874	28821.66243	29599.18889	29991.20271	27192.17138	26538.64699	26133.05967	26463.41677	30469.67118	29961.53184	29235.6857	29849.66772	30019.15882	28991.19434	29501.33979	28803.54047	27163.07888	23983.9637	23479.26599	25021.08272	24753.64557	28696.69982	30155.07007
300	360	25006.06307	21532.05614	28411.57322	25356.40032	26005.32122	27886.33017	25587.85068	27469.7544	28642.84489	25196.9415	26430.18809	22519.63316	27137.73549	24950.81044	29144.41669	24544.37439	28851.45973	26622.79489	28373.56486	28590.53932	27371.71749	27688.38632	23971.16243	23349.35388	24261.67463	22598.41175	24726.91231	27115.50308
360	480	23595.15937	21481.64696	26029.63788	25007.92854	23000.49213	26946.08124	25174.82425	27124.67132	27224.00813	24067.36398	22815.41281	23005.60869	24238.69947	26675.01338	26129.31658	25280.48461	25953.0506	26046.75968	25498.79796	27205.42931	25564.77645	26122.89468	25005.04525	24932.94922	24269.10965	22387.42324	22694.23794	25529.70186
480	600	22578.54929	21554.67562	23617.57696	22828.90479	21725.08708	24462.5671	22783.91195	24381.50924	23581.23222	23456.9854	21057.40815	21222.86307	22315.57355	23527.46618	23617.13456	23494.06464	23432.19765	24035.61557	23021.50934	24815.47547	23664.34889	21685.89383	22880.64404	22343.09288	22333.51568	21638.4863	23013.08499	23650.55791
600	900	19365.1584	17338.95724	21183.60317	20469.97816	18787.4734	21842.57631	20344.16916	21763.79967	21667.3964	19332.27913	19340.27441	19025.36811	20011.11767	20214.98913	21426.58084	19883.80415	21333.67519	20670.64857	20876.98819	23104.54563	21218.19663	20456.25115	20258.09863	19721.95378	19310.00402	18477.3064	21596.99104	21056.39402
900	1200	15976.59811	17251.66299	17772.58066	16520.33499	16097.48799	16890.58775	17445.80548	17949.42775	17578.82395	17144.3866	15945.71867	14901.37159	16535.42267	16178.11988	16933.45702	16333.00197	17026.94051	17245.04999	16916.05513	19472.07162	17386.91229	17597.57878	19489.30859	19121.9974	17738.69247	17544.63852	18778.05156	16906.18367
1200	1500	15004.64908	14887.46962	16422.58301	15404.63241	14064.93916	15827.23937	15652.9534	15883.77206	15658.888	15361.58684	14989.76233	14047.99879	15650.03954	14921.75381	15564.94577	15084.98655	15542.72343	15496.57494	15462.92793	17197.67256	15438.94952	15880.97994	17220.8654	17054.85941	15719.86758	15437.22488	16390.57331	15506.84094
1500	1800	12832.16474	14727.14615	15414.91657	13861.84689	13086.7914	14500.57183	14645.22278	14221.97548	15288.02447	13707.86916	14317.33716	13724.17301	14477.73001	13692.66261	14743.68523	13758.23649	14836.4842	13967.31946	14677.18183	14881.41886	14206.80214	15431.91832	16201.25708	16188.14457	15405.41571	14755.97114	13500.88295	14129.45476
1800	2100	12306.15208	13152.41983	13159.12062	12997.47367	11605.21114	13301.3728	12301.26829	12353.87311	12877.1662	12676.69639	13430.18733	13187.21468	13574.01495	13054.35908	12831.84527	13346.64307	12903.39269	12577.66466	13043.55131	13950.41947	11950.12684	13580.76573	14743.7216	14487.14717	12788.63845	12580.86934	12146.35001	11673.08953
2100	2400	10261.70717	11971.86525	12863.67776	10959.1062	10444.25296	11900.0793	11985.06224	11745.88685	11777.33725	10773.31157	13005.43726	11273.85533	13088.18777	10880.26454	12093.77036	10964.59077	12193.75582	11218.56845	12370.67539	12794.8901	10226.83387	11895.71422	13688.17277	13213.04814	11093.20959	11805.65305	10934.4769	9561.50157
2400	2700	9079.28682	10573.38971	11816.1134	10340.3316	10879.15135	9893.92837	11003.53433	10299.43227	10601.75484	10415.30661	10686.4382	10252.12392	11166.92388	9870.58	10637.23046	9968.36191	10812.59045	10068.78889	10744.32089	11823.79146	10130.50213	11442.77724	11973.03809	11818.41139	11060.05641	9906.53007	10205.90979	9607.66796
2700	3000	7716.98616	10335.05912	10338.91231	8610.62334	9412.49455	8503.35639	8920.09731	8375.75109	9074.04137	8730.54174	9290.81146	9435.9534	10468.49081	8417.13514	9295.5327	8743.54095	9184.12466	8456.40226	9275.61741	9845.78124	7808.64729	9969.46181	11577.0105	11339.20924	9021.62208	9527.95951	8820.78595	7002.61705
3000	3300	8769.4559	8392.0982	9842.22047	8216.99965	8433.67211	7431.02253	9024.33635	7693.79544	9272.1558	8041.59023	10121.54401	7826.00687	10275.34716	7448.04892	9052.3405	7623.75442	9153.96469	7563.6828	9339.52027	9195.41341	6996.49738	9096.67837	10510.13208	9892.87381	7751.49561	7771.55788	8130.07568	6493.03303
3300	3600	6005.5429	9397.56006	9259.31216	8450.9085	8252.68945	7172.89769	8706.60794	7511.87672	8673.10902	8358.49048	9054.54225	8953.57046	9093.70287	8741.67338	8680.52135	8741.78375	8704.41981	8027.35504	8658.94567	8896.8773	6819.7975	11871.69121	9365.80436	9280.62053	8089.16159	7870.98006	7628.78598	5804.34334
3600	3900	6159.23639	7552.19722	6470.16443	7076.21953	7870.40557	7250.24259	6983.50141	7334.15822	6768.44331	6986.72856	8203.30719	7440.26141	7710.90546	7125.91089	6309.71428	7492.19571	6444.17241	6893.14168	6863.94049	7439.5439	6577.49475	8020.64204	8654.9646	8720.5595	7057.53282	6784.92926	7830.39007	5622.54706
3900	4200	6537.33054	7715.21461	8777.03581	6365.29035	6567.27929	5627.62292	5822.22171	6283.50034	6626.26179	6475.46723	7955.80661	7185.89211	8251.06899	6180.56734	7828.04571	6130.21875	7808.33395	6178.26341	7384.60793	7540.76161	6304.46651	8300.71407	7985.80623	8134.88108	7479.29294	7932.79813	9153.82291	4793.37881
4200	4500	7389.58996	6575.87266	7896.52988	6369.38303	6385.97177	6075.64989	7467.45796	5541.03918	6925.21988	6806.15415	8598.13228	7176.5427	8157.2443	5492.56275	7575.8832	6253.92617	7571.78503	6110.12256	7596.41664	6411.49451	5289.25218	6750.15604	5086.28715	5095.40233	5129.62402	5005.28797	4705.89621	5518.01608
4500	4800	5381.51508	6577.14485	7813.68537	5803.73038	6993.56451	5069.84118	6664.81864	6151.31845	6621.66792	5863.71693	6944.03871	5273.97056	7893.46731	5197.39769	6835.40178	5302.66302	6791.03258	5549.88412	6837.38388	7450.25867	5181.23001	6944.36049	7316.54525	6565.95857	6268.0913	6530.87565	5005.50487	4582.78384
4800	5100	5071.48925	6109.58311	5448.93263	6085.15706	5618.8954	5719.09538	6526.97422	6349.40932	5504.05356	5438.31395	6918.50709	7365.16568	6165.19218	6318.85986	5354.51093	6203.56019	5561.43485	5834.71619	5956.70181	5338.71892	4523.14622	7371.09794	7827.3442	8986.88609	5951.83446	5808.11378	5289.35722	3957.80606
5100	5400	5074.38251	6125.07315	5347.5854	5367.44524	5350.50079	4609.98983	5474.38518	4876.24892	4832.16987	5238.80328	6815.03598	5735.9229	6126.04568	5304.49578	5337.58323	5264.01867	5530.00577	5184.0124	5719.91895	5004.15752	4088.09471	7075.50656	8118.16585	8515.07836	5409.12597	5479.32018	5060.77194	4064.40692
