frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Medial-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
0	30	134.06767	6.69088	89.05088	153.16183	33.3607	187.59392	85.73665	257.98899	62.47255	52.89114	23.24903	106.26031	47.74688	98.28072	70.01262	86.66675	70.29248	107.40617	52.11527	36.26875	35.92257	31.8633	9.34045	11.45962	19.21555	43.48815	63.26326	37.6958
30	60	4748.87721	4805.57668	3472.8591	4212.41206	2973.7225	5032.10049	4495.00462	3996.57437	3656.80229	3591.50477	2902.65438	4657.00935	3126.85903	4501.24517	3563.55547	4533.73022	3533.31831	4062.62946	3493.89862	3081.62557	4326.17715	2989.41526	3089.66947	3172.83853	4129.75587	4647.42011	5381.58229	4101.69768
60	90	14167.73877	11244.2659	14433.87934	12893.84951	11627.6885	13323.30037	12640.87598	10533.14299	10861.29474	12201.06596	10894.19148	16849.03823	13571.70968	13321.71935	13218.21015	13115.41771	12828.59154	13175.77883	12422.62118	10086.33468	12517.10579	10492.36599	8627.63935	8613.46645	11106.93655	11429.421	14388.03645	14177.13098
90	120	20413.4272	21818.50637	21752.10256	21713.2292	20541.72563	20815.93531	19787.17764	19526.17348	20667.17814	20909.9334	19349.44962	25145.88589	21626.68962	23891.7028	21959.06492	23779.9325	21806.81869	21838.97678	21271.21537	19145.66988	20898.38097	22788.53388	17690.5302	19231.00772	21088.10605	20012.12179	18914.16706	21513.54425
120	150	28342.37971	25710.60267	34338.10786	29779.24149	28492.20197	29029.5222	26251.34075	26922.23596	29545.13652	27946.05404	27676.76049	34764.75954	35081.81569	32022.40114	34068.18444	30417.28915	32883.25195	30004.10558	31661.01138	24146.75507	29828.05583	28015.50554	21944.5625	23477.35575	29368.54222	26612.31599	28948.29004	28024.30854
150	180	30549.70959	29714.28371	34507.03989	34587.4615	33455.8087	34085.65027	29200.97732	32303.96757	34423.19862	33919.03631	32178.60877	40554.95802	34783.88202	39636.05321	37106.26148	36018.68282	36277.93649	36429.83246	34692.96924	29041.00986	32091.51043	34461.48099	29482.17488	32281.31194	33919.93399	30638.51324	27330.72098	32730.53921
180	240	31696.76674	32292.90883	37403.22101	34900.2697	34754.00935	36835.06925	31963.73804	35812.25619	34870.26371	34320.91631	33989.15138	38457.42661	38626.07131	37302.17747	38922.59828	35752.03833	37790.23098	37161.19073	36818.1505	30965.64689	33128.82599	36621.60977	27735.95388	32006.13309	36049.41962	31299.19159	28425.22377	33749.45508
240	300	29808.461	30081.46959	35036.34633	35828.86019	31289.63266	34864.72991	31138.42114	34224.2435	34281.31433	32831.04605	30984.12446	37845.11899	33549.72242	39140.56922	35807.25032	36142.14369	34899.59532	35616.95199	33601.79624	33445.7744	33672.68829	34658.60096	30286.80258	32475.17969	34502.55546	29322.0411	31561.99854	31031.14193
300	360	27643.82829	30191.19291	31225.90098	32978.23528	31598.16837	34018.53884	27630.30999	34870.88734	32778.31098	31764.65067	31921.62287	34544.26391	32107.62207	34283.50722	33326.5773	33000.26268	32879.38144	34126.34213	32177.75816	32008.28025	32641.13896	37646.12835	29333.22461	33434.31724	37013.75195	29960.84902	28965.19085	30021.18179
360	480	25238.21363	26299.79525	29270.90981	28985.9383	29308.25983	28229.51993	26617.64026	28902.58865	30245.87178	29454.63182	26617.30935	30329.06931	27807.87537	31671.93054	30228.36421	29865.64638	29633.64509	30421.55667	28558.5652	30222.7065	31044.01728	29181.09044	26454.0918	27721.90513	30793.85769	25957.20575	27170.48361	28888.7004
480	600	22134.39155	23189.50024	24615.07886	26583.66007	24607.57406	26338.7516	23183.05043	26746.55975	26158.39771	25624.19152	23088.64339	25344.93536	24023.76365	28120.33351	25591.81189	26692.03952	25230.94037	26878.89062	24680.31028	28197.295	26907.32473	29102.32223	24790.82993	26024.67411	26964.6894	23130.53115	27739.68806	23238.75681
600	900	18887.70486	20534.85796	20523.31102	21942.75181	19888.65257	22706.91572	19148.22857	23240.48376	21831.22086	22039.86767	20947.91394	21472.58283	20520.03814	22277.97187	21432.13251	21916.82436	21284.71436	22806.35	20997.03813	23991.39559	23744.76758	23242.58307	21017.31791	21975.20517	23513.03622	21107.1043	23069.78516	21174.93567
900	1200	15232.88675	15874.07139	16127.32627	16870.83612	16168.81255	17068.28395	15691.3893	17831.48583	17028.73152	17143.73428	15965.9768	16023.20668	15832.71472	17065.93357	16270.25783	16717.8287	16283.12692	17360.64781	16230.52595	19769.26018	18868.83442	18809.16942	18889.32767	18359.80004	18787.77781	17028.35032	18087.19685	17406.7675
1200	1500	13296.07132	15005.28897	13824.62158	13920.10766	13754.21854	14642.74813	13165.26347	15186.83868	15028.22359	14602.24815	14103.84404	13947.67907	13819.22851	13813.22654	13961.7187	13853.35076	14082.15277	14616.53699	14039.93089	16456.10112	15630.12722	16173.58709	16254.88424	16459.29674	15779.92041	14286.56496	15639.38616	14715.92488
1500	1800	11649.38362	12079.65511	12879.21523	12293.19066	11254.01466	13036.66676	11498.85337	12759.1676	12462.67974	12458.64769	11303.30956	12315.75628	12783.92716	12179.73724	12055.21871	12299.09199	11997.04097	12626.36295	11984.7267	14176.85002	12286.42803	12820.28396	14417.48092	13947.62421	12228.70345	11783.24121	13094.61862	11624.243
1800	2100	10661.07207	11458.07103	11230.43355	10815.22075	10368.71964	12063.85239	9810.73503	12217.93564	11104.40109	11350.73147	11245.83942	10453.15304	12015.07731	10201.26919	10905.36342	10574.80754	10940.08171	11351.06552	11093.53416	12314.39355	11069.56096	13433.51208	13860.43157	12934.55343	11651.98751	11334.27582	10697.17798	10830.69794
2100	2400	8958.79798	11052.15822	10343.29557	9289.52056	8839.15859	9629.2609	8397.09986	9745.86004	9444.7879	9893.96441	9507.79798	9907.74665	10772.99664	9285.10441	9700.55422	9711.23175	9613.87351	9682.8776	9569.10283	11238.68437	9844.71265	11315.63536	11564.77509	12053.82278	10682.65327	9664.43334	8974.43719	9302.01631
2400	2700	7279.60493	10026.54238	9429.13174	8030.25799	8455.53535	7675.81104	7185.53952	8879.92755	8232.38652	9055.12919	9558.42148	9559.69422	10368.20897	8395.8364	8991.98409	8821.56157	8984.26806	8678.84179	8955.76296	10209.3013	8339.20443	9642.70243	11313.00684	10255.95196	8897.29844	8522.12774	9049.89825	7681.44101
2700	3000	8083.1134	8394.92938	9228.41714	7686.57705	7073.01785	7831.97208	7719.4923	8309.32742	8168.84247	7512.03464	8428.43717	7395.24754	10327.50023	6987.40344	8652.47379	7341.53772	8567.58438	7488.78567	8655.51485	8299.10807	6381.27992	7958.03604	9156.17559	8688.77681	6632.56898	7150.69662	7717.16296	6689.49187
3000	3300	7012.95983	9322.78727	8479.09884	6571.39344	6579.72953	6619.81686	6463.98577	7667.52481	6820.661	7463.20097	7437.85373	6931.0931	8973.6082	5824.354	7737.69663	6561.9508	7613.80383	6943.8352	7557.08663	7703.17754	6635.289	8801.49676	10165.28065	9960.04088	7885.01999	7873.77124	6522.52222	7168.24974
3300	3600	6146.53368	9392.64452	7497.33204	6091.32125	7051.37031	5894.74345	5885.46897	6948.20839	5969.55832	7241.33763	7346.24558	6922.04052	8666.73537	6098.9612	6902.44676	6632.17092	6696.11879	6728.6693	6934.61057	6973.57766	5622.97832	6412.21894	7812.04609	8545.72984	6766.77497	8075.00744	6288.54102	6241.52061
3600	3900	6470.14485	6674.19718	6976.56493	5937.71267	6308.11537	5961.62658	6003.73537	5701.78211	5701.24797	6261.10061	5778.15204	6983.52229	7667.69622	5765.08998	6080.27197	6131.45935	5996.554	6148.91043	6144.14012	7758.0228	5135.32178	5748.15714	6494.41369	6649.61972	5314.28243	5593.04738	6092.84163	5660.99715
3900	4200	3834.41611	5160.4334	6452.00835	5830.20073	6166.9253	4844.76215	6136.77792	6673.85676	5709.39348	5659.83846	5737.37305	6381.49177	7017.17747	6068.03845	6001.75852	5877.79574	5895.30014	5856.0993	6004.81217	8235.25373	6030.95499	6781.21722	7126.67766	6718.2609	5599.79782	5426.15737	6152.03149	6319.52989
