index	name	volume-mm3
203	parasubiculum	63.0
211	HATA	61.0
212	fimbria	48.0
215	hippocampal_fissure	145.0
226	HP_tail	640.0
233	presubiculum-head	113.0
234	presubiculum-body	136.0
235	subiculum-head	173.0
236	subiculum-body	265.0
237	CA1-head	611.0
238	CA1-body	133.0
239	CA3-head	159.0
240	CA3-body	103.0
241	CA4-head	167.0
242	CA4-body	133.0
243	GC-ML-DG-head	202.0
244	GC-ML-DG-body	144.0
245	molecular_layer_HP-head	329.0
246	molecular_layer_HP-body	244.0
7001	Lateral-nucleus	712.0
7003	Basal-nucleus	486.0
7005	Central-nucleus	44.0
7006	Medial-nucleus	10.0
7007	Cortical-nucleus	24.0
7008	Accessory-Basal-nucleus	272.0
7009	Corticoamygdaloid-transitio	182.0
7010	Anterior-amygdaloid-area-AAA	31.0
7015	Paralaminar-nucleus	50.0
