frame_start	frame_end	Left-Cerebral-White-Matter	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-choroid-plexus	Right-Cerebral-White-Matter	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-choroid-plexus	Optic-Chiasm	AirCavity	Skull	Vermis	Pons	CSF-ExtraCerebral	Head-ExtraCerebral	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula
0	30	27.460221278815588	16.462174331054232	4.6523024616763	17.16559030868469	27.628723597464035	10.84687909870516	19.11601742734559	32.394085029200205	16.963152615418373	19.330096499016037	52.746165077030184	43.298390434898415	20.264759236602917	64.3364513708311	28.606931352371017	23.864012176184346	10.343101896571481	5.084677259079708	31.327580153515854	56.588681032827836	68.73855328085259	35.053135295230426	45.69760535272279	17.698656765615645	11.848072620066475	37.85876130750001	8.504048766872625	29.337345902093112	33.18303627201236	63.73011809904715	38.741198205430386	48.846832058052954	347.4026960666853	27.06257928171751	15.074264292496085	12.355601874572317	27.614373666097524	36.25421141875175	12.439636819720679	7.361345513814832	30.134035840688167	23.631900538695703	25.723110957507664	122.77340527934673	33.04901445178892	24.571054705021446	20.54690832069909	45.83387072763653	26.58564294392194	34.69693533284851	25.96323438492209	38.68500257441487	22.583593631943884	12.18526988167596	39.61052472420866	80.09343930124778	146.13802280263323	18.027847285061927	9.778519391336154	21.346744827986253	45.47465461137672	22.68051977962863	40.23880826402765	102.86730254883504	31.007085494010376	36.27810767678816	28.173805148352173	41.52944975160492	34.73832457566499	2.7638469740149754	92.91663921784587	95.12279485734841	53.281686317703596	30.30509997133587	29.73486659587378	37.22978817527913	26.32449113228769	76.05809347208344	58.127167990111815	17.569105992734137	63.019353420546814	47.61553958046857	30.22316777100521	60.97797979923811	31.591360547228128	30.157369164236552	36.81965073704983	13.235449848492829	44.17244185374566	20.053324850357818	25.46288101945231	33.80587716400872	15.391258124353048	27.367856021230285	19.331712706843508	37.414099377997935	27.07617125063559	33.7645585221961	26.398068660921897	35.99953673242576	29.13637796295548	63.81448606823406	24.99979475307578	4.785180230169799	86.60549743343047	96.61026477782934	59.032269781607
30	60	3095.507837054578	2199.9237588442634	2607.4264600599136	2953.0196059761606	3710.3274217835465	3621.91436774134	3762.2508616257674	4505.013019640564	3279.079695854695	2862.1196482079663	2825.582208556115	3189.3300009909813	3841.0549135709352	3491.808832795516	3231.79779362311	5047.963600213579	3209.740080158312	2643.468285984749	3098.4791656633056	2106.872905526289	3965.5632937504697	2969.0614757224967	3683.6432854726936	3431.68030118594	3671.759471168144	4011.725308339466	3459.791314651717	3850.588791026881	3920.522303325627	5333.979479010495	3353.960193577468	3018.812121745336	4613.260904326694	618.9261768771673	512.242056541221	4737.352452654943	3446.1043500029423	3564.6926431454003	313.5792792242298	4116.517604137558	4783.277811464712	5079.3990910190305	4704.290700111136	3059.574629449569	3998.596619788716	4162.746733192885	3763.505426153216	4103.521701446305	4245.009911968847	5129.941586290575	4922.432344524815	5045.897245686036	4125.790837438468	3700.2631030535954	4424.116536567912	4867.538704225148	5264.56410862672	4800.1819301527885	4069.3119070970642	4693.771991265643	4435.660783391584	4711.90473945723	4466.750529344763	5011.054026653489	4594.737690258594	4682.3297131305135	4255.943329548	4858.403281364296	4268.499308565871	5541.623021261579	3487.1384154822226	5891.158900839444	4990.852981959995	4551.468706737062	4179.428392937114	4572.465682705966	4767.648691652954	2974.365746601208	4155.243188418361	4170.598041265056	3816.1436753380717	4063.4357514320504	4736.12643718529	4938.624492958997	5062.541081515716	5261.569920717021	4057.469987353035	4364.492067505332	4480.045833317645	5078.047364812078	4949.470306639948	4912.455134438005	5167.308617239982	4507.409954788597	4553.153216704779	4426.604071136751	4501.554453901562	5245.809089760097	4294.635194723824	4534.6239894573655	4359.523555450543	4644.915311658204	4429.125057563603	4863.512877224544	3171.2612483935104	5860.266881554929	4672.000262188374
60	90	11862.800451481366	8475.946779248867	10743.874099319046	12506.0214375653	15209.37688870129	14429.252501851377	15099.071317473827	17550.592669388505	12113.726226782743	11487.099410951461	10564.34580013237	11159.494367032437	14429.533415252141	12782.732590225884	12771.590350970055	17690.854360456946	12102.70634336052	10502.958545448324	11910.581358872489	8940.669751145937	14097.04971430852	11859.20028344859	15429.08447627848	14882.21937270243	15834.224139224698	15546.267199820351	13605.273853085646	14072.761109011171	12276.965288849915	17852.53256330819	11833.694228568604	11992.316131897993	8725.397490756202	2080.4478227632962	1756.5725252894208	16936.969383194577	12675.399884999186	12453.644478402552	1152.5917354989128	16033.808753895593	16766.65422422766	19052.1529361527	20092.744994749286	12095.0772743181	15422.823732502258	15843.231869903399	14071.279600793572	15914.482549708971	16491.428562563317	17474.295307350978	18449.036065919037	17502.133580324706	15102.0876401764	14395.830824722781	16222.728898564903	17965.621514423077	17444.6250245247	18490.29309377427	19126.7054281253	16358.191781935286	18184.5681102659	17626.90213312629	17045.7514913993	17737.295715927325	18038.338142655102	17631.246472033945	15994.99387811549	16054.794765361397	16175.134284527958	17185.27752019801	13277.124669990182	20610.89071438352	18333.833801444027	17859.31423740026	18063.880014096605	16957.899983768795	18970.101121252665	11450.541630100559	14758.187166608006	16196.241520036048	14857.885358282301	16437.42010274226	17098.82457962957	16981.59605054841	18251.483147224833	17827.023469444255	15375.117805950107	13742.33869934082	17177.64860021559	17611.993550147803	16703.78249229725	18347.546019802205	19818.597462827984	16491.382793333043	18611.294620970955	16412.899889072847	17392.744874361226	18974.85343697262	16793.249270624037	17891.675934247894	16121.42446651185	17227.25975092321	16391.035965291096	18402.392718608153	12339.15163922606	21513.558535690398	16640.329539442322
90	120	21898.78601300104	16328.448113115886	19788.981651512353	21436.137035340158	27219.139114682537	27724.17706523913	27509.92933303487	33511.787318511255	22634.198791264927	20829.39245444226	19873.442941497095	20656.764584958495	25548.188366653856	23428.904439962636	22103.353186381155	31854.83014486848	21074.639691394794	18694.506429255813	21874.62812627658	15793.282797982223	20402.11198073167	22188.858087920715	27889.00356192369	26989.78064783876	27481.34973184442	31269.469313704394	23553.37822702892	24621.81988095342	21092.447807716835	26582.4355966548	22618.936375805268	20774.38618800951	11768.207478530534	3616.8821991204704	3057.887191849472	30341.754393651463	24299.120618908517	21739.925584278528	2089.603023880927	29892.219079763756	29292.826895817132	33214.42271172372	36433.29481415291	20618.129089990518	27594.843768038416	29054.029590001603	26872.3852106877	29632.49731675859	30064.903331485828	32100.56677076795	34116.121623480576	31319.343995379535	28207.101902543844	25734.562020749327	29469.594133962633	31869.631332632212	32191.804569486405	31826.74006767597	33960.55071771551	29791.857130179935	30773.18751165022	31889.111718296233	31905.686023445418	29951.297869771497	32856.701421306214	31610.555440924494	28566.287478587587	29095.374963205573	30029.543784076006	34457.59229775968	24629.462219498597	38530.47202486003	30590.432957800847	30929.635947096507	31168.0111091455	31092.85682338298	34886.577248400594	20473.02324490934	26941.962995674123	30027.46157309147	26692.09658962755	30284.981031269315	32205.6794084458	31014.457384061112	33863.215522941835	31121.781701212603	28140.559090321374	23815.533061756807	29022.91980999122	30464.231802364866	32110.937796389935	31743.24048274928	35966.757785694615	29167.554834704624	31656.40517265347	29085.152264767807	31305.372630773505	30612.359391821607	31045.04173568335	31657.083785498897	29402.738338822466	29507.320467026886	29611.734105397427	31529.66183659218	22426.367728207806	37289.96717310122	28331.14013950336
120	150	30428.684733474987	22214.779475384377	26818.618215200062	31133.78834502891	39023.96124762225	38883.48205317283	38908.68129378542	45454.088303557866	32212.697979119763	29051.802115202507	28177.6612152201	28055.9815480153	33237.25118687511	33508.517208729616	27334.05182094185	39038.73841824978	31012.904857419966	25385.44272368809	30614.30452386546	20489.430974549367	33029.66412823017	31904.72209076592	39706.60815874234	38979.57743249556	41255.44997979369	43199.24943064816	33311.47127448694	34316.165475692505	32420.959960494616	40086.10584063437	31621.330042982878	28882.184880591554	15423.69251699666	4779.257450385276	4132.633976024463	43058.6246325008	34171.02183408136	29385.40540174674	2806.0420763814814	40904.69978532794	42312.78871521028	47430.54652720694	50741.31521188875	31401.098815706286	38844.411772530315	40213.79386158165	37834.73190451486	40094.649186060116	42453.437021133315	43863.99512652813	46557.67114779007	42689.48676196924	39254.53141327386	36203.74353830645	38883.96908545594	45233.90075071728	43676.205592221726	45633.397442415386	49312.544637090985	41812.9490186142	42799.54544819079	43678.95054512593	43997.29845293851	39901.312331356676	45795.66294262748	43358.20333056944	40897.09372175859	39222.288377684345	41558.685622390825	46523.49818510616	34219.03094761827	50915.67377677702	42595.804901142015	43241.39155947946	42443.08494938291	43902.112476325754	48075.518959153545	28984.56637985642	39504.082959207684	42320.32353980163	38783.11846586925	40838.10957216342	45284.65260245385	43585.12326227196	46068.53544409928	43649.95989531867	39646.89653571803	33759.32047137092	39358.06350372659	44034.77351731419	44055.292789899846	44715.731317217374	50201.70466221829	39585.083696394424	44369.845222373595	41194.53871041479	43787.03890433981	41703.74355414193	44144.888261564294	43898.893033478904	41034.34939560594	40358.785540551646	41039.422819542524	44716.56223949241	30870.980635194202	48173.6590345385	39766.144258079825
150	180	34306.87347662891	24177.242911253597	28539.353687183277	35482.94906710434	44063.006115751305	43483.10162963212	45803.961339932306	52417.40600645267	37337.969570557216	31610.376880281176	30981.168557283014	31291.741357751795	35996.49925137697	36292.69860988451	28510.245048716435	43139.204667125676	35330.358080362596	26412.05486254422	34364.04616443154	23380.538125232284	28815.237506573016	35721.24985722806	44759.65785632516	43787.02236707567	44749.79817632313	48399.00726915614	38266.236829524256	35957.543522480366	32132.96363954436	47423.46728296008	35276.191642885395	30405.04965771321	14518.062224177003	5046.914841611007	4451.09433610594	47457.98123139881	37494.08628529937	31616.484289950564	3057.44457425875	47998.42981064338	46614.19699427326	53227.14041719004	55841.405066234365	35450.7748046875	44879.439179486544	45433.55014311112	43768.42586373136	43619.270664902004	47869.25792540577	48501.68711936947	51376.2147350789	47274.602813875565	44329.548773113595	40511.19976016465	44243.82017749944	47859.26438042804	49343.96518377667	50558.9233995616	55424.61982156525	45399.41358685122	49150.056492598684	48082.45108813429	49786.57059905803	43943.543953156375	51245.447615360856	48678.00437586465	45624.3208390348	43430.04170620695	46648.51560483524	51629.37136208108	35490.37793746224	54126.8815135863	45584.86692700241	47735.004852528444	46132.84324558216	48743.871655116505	51916.94628393619	32208.852183161554	44470.967437004736	47414.90431390807	43185.20747636383	42591.10717401241	50752.52350448658	46730.8473730902	50938.97917522211	47768.66592032464	44963.16302602569	37616.819277595074	43544.791299099765	49307.68361697635	47596.03357776188	47671.03713977045	55941.10331867596	44407.34725922014	49548.95286551008	45109.5403528923	48657.700832553484	46319.426896022465	49152.26188932106	48773.85077842282	46616.50974643418	45115.40731390379	46120.98547786869	50479.790706016494	34130.40083052288	52605.06911879459	42481.23699420356
180	240	34955.64419463872	23650.68077646435	28057.45383762669	35993.99311469853	44686.236032349654	45664.80117425259	46562.14183967648	52998.509038839424	38007.98446982674	32912.392098569835	31572.817637821845	32114.812684480134	36702.7214358493	37542.8478294837	27432.99791478897	46602.73215138826	34011.45233649499	26482.435953556687	35060.51701281411	22353.21105209366	32188.605431189902	36336.33247930051	45270.36452535212	45240.45511806621	45616.95627910074	50135.12332508608	40214.44603909165	36737.194755864824	34677.86591996173	44070.1433921711	35170.053187514124	30231.18343207828	14142.44960639313	5027.5253375654565	4467.946967754218	48539.920744851996	37379.01923748213	31463.48977417073	3139.472558559839	47615.20648065702	44591.4627650742	53226.98945018103	55975.31311219108	35392.061958656974	44012.7905727508	46638.55537285759	44655.52247987455	44582.6563632062	47876.312926931416	48944.566361414996	51334.36201363937	47369.28681503969	45122.01457640923	41044.73599630377	44679.03707021899	48746.867670207816	49573.88463285971	51240.996925329055	54563.069615862994	45420.8097697175	48910.85140419408	48408.08658109346	50494.01651722251	44138.78642191534	51633.230834326685	48846.62350029901	46545.21645143626	44293.5125555486	46548.119353783724	51241.45375923709	37638.32830492963	54491.30492712391	45840.03425336972	47224.80779771194	45156.1923258364	49035.24173553719	53386.473859395504	32601.646309105126	43728.100366051774	48771.72835355279	43586.38558777814	44749.09859700118	51274.186177227144	47288.2198901931	50396.10355950615	48334.832671599215	45177.431942552656	37864.67491867963	44162.79257446726	49020.424402449324	47955.440268112645	48632.13848819962	56622.06045545453	44582.27852662517	48223.686321290224	45331.41721535536	49364.91810544246	44772.67368082228	49655.1454322643	49607.99021541426	46548.075069821214	45559.08794690282	47232.26950492454	52665.503184739435	35266.0177603376	51991.155790167955	44242.90688182786
240	300	34258.529084864655	22450.04152410048	27683.193029455237	35567.07512068351	43720.05484231782	43831.24220952773	45522.65867000551	52125.645057502086	37611.82436863743	32096.167894388596	28565.079812084718	31509.316943041675	34861.91483911863	37818.050662364134	26086.455752152226	46010.669282542716	33829.83675712518	25395.54113012761	34346.032873253906	21765.168188839507	28599.42438683143	36501.85966425936	44351.02761934583	44854.49891835409	45046.50990907615	48874.53109514106	39609.334968954056	35378.94490237643	33463.26361872874	45481.67470952024	34535.068213508705	27584.06846878919	12557.044653506679	4993.168467362121	4432.274792361398	46163.09744660956	37945.68856028861	29928.55901479747	3199.9396734579395	45936.18428879964	44662.248253426325	50733.08224945046	52440.48111802573	36303.26921400831	43872.04100409381	45181.47455543037	44146.18268106847	42892.9750822335	45954.01223755098	47542.472108889284	49672.90565345804	45865.36249119997	44025.79569159461	41627.97387894825	42794.74029223238	46021.19496791641	46277.191141457	47457.55746134627	51855.22868978425	43265.28716199286	45578.64116022478	46649.13192332211	48357.742959865165	41790.24556652951	49370.78905853979	46950.76847050479	44416.490995297565	42458.697054194345	44959.38614923821	48150.39009484284	37473.56812724357	51746.2179303341	44421.217162736946	45288.708723224176	44054.918348059466	47631.11572687098	50354.07030942421	31490.971144805084	43243.99373050106	46690.707667564086	42630.97594055313	43354.334455957716	48785.45728410312	45573.47123734057	48644.4113973413	46412.70189594478	43800.418130511884	36949.56683439367	41742.46566190013	45687.585078547294	45849.90168186893	46136.48473279791	53271.7606702362	42628.0682023488	47170.80187886918	43248.188164086874	47700.55725902696	43386.665784668876	47614.073855974704	47236.79664624381	44600.08123357933	44623.95942653531	45122.92931885023	49266.131679087375	34850.327134421146	49244.44041691439	42928.873324779015
300	360	32718.542003598115	20923.286147291383	25513.607233820734	34718.63191995064	41212.42701063347	43316.14531463284	42813.09886453085	48602.12814060364	37622.4982801182	29642.801433050456	29460.751053130192	30298.264146562335	34777.18521352001	35092.19254755435	24981.017495571232	43728.199851056655	34272.41306550892	22208.01891662104	32863.18172767221	20038.83550990306	28703.74755859375	34716.58011850802	41759.79394835272	42692.844648296756	42218.620391774435	47140.57327384293	39203.5639101854	34015.6272621247	35528.02010788691	44671.791566130996	34023.05510161195	24247.60953667172	12135.599900107347	4781.957814831273	4270.037627101654	43394.19942286036	36124.88665709053	28144.34042662365	3206.273316924223	43842.26183774913	42509.82262405229	48225.72982973437	48404.63813561916	34747.76961761651	41653.67133308198	42297.835583634216	41250.88756510978	40958.88944428474	42505.64418073862	44316.17492471455	45531.820065938075	42687.26989473909	41726.47946988954	38832.18033308132	39892.97674483842	44531.03984665788	43882.32017309644	45602.94341813481	46840.55457687524	40872.51433460953	43856.86321957237	43150.93127004827	45120.606470053695	40017.63878841258	46425.34737928297	44280.18938405642	41469.77389016037	40586.99429549109	42055.061324238995	45731.016654415595	34766.484759294144	47936.17291527203	41788.49770771831	42291.93705163864	40942.75009801484	44406.84017518939	46848.5913570374	30030.802011025917	40914.89611340098	43778.590402434595	39516.26196088199	39311.94491253992	45117.876819745405	42653.801148835635	45124.63386840734	43384.00758050485	41995.61156651827	35849.811189090506	38448.63888649821	43057.25454370777	42170.02131026708	42950.425967964926	50034.437838594335	39474.14770010781	43240.28766600404	40877.104631870534	45358.644952499366	40404.27735920769	44743.239150989735	43877.78697698844	41620.09132461392	41642.78016111898	42094.219290045316	47209.76365414412	34318.09237558868	43357.31772536415	41021.263754299434
360	480	30112.82773603019	19189.463405577873	22152.514067778717	31987.49848259945	37426.4195251455	40624.26442658684	38300.839302581866	43865.818492272934	35838.96500740261	28572.10338435436	25925.80888120328	28176.174706444726	30460.427715365644	34013.28167798913	22431.641310196264	39801.67813483588	32011.724175792704	20752.869380159198	30148.424995156478	18288.66800068911	27743.4289456881	32438.033630100806	37833.93624268018	40506.760702341395	38718.6449328676	42410.220533404354	35926.752622871965	30827.251190429506	32490.140235703657	38851.878710059034	31965.193196908906	22218.268536723976	11942.68665762166	4392.048272900914	4050.4175618497193	38926.98260436776	33207.996672931295	25119.905866773774	3172.522750122726	39291.57476519873	35804.86810078085	42077.56026142493	42867.661467163016	30143.967137260657	37810.37994549241	37931.3275031955	37553.011557069694	35435.03051606765	37692.198901068885	38968.561246838195	39785.98843621302	38330.73514057214	37980.262659225016	36014.714330057126	35503.29775513353	38211.403839368795	37935.807832562314	40195.234362226125	41139.20635068348	35846.220782678196	38330.642452713815	38212.28319569972	40031.483673009796	37112.628690543424	41207.859439477135	39058.32294520123	36824.08400814884	36106.23400733033	37264.87261908805	40331.73135830818	32932.50810377497	39988.77944331183	37742.12460961778	39421.90195123716	36726.20238949026	38917.03312672176	40914.531558091374	27873.327578982793	37784.32496183833	39270.5962840042	36824.20282195155	35077.315043005765	39726.13605838109	38368.23376691183	39011.037922694115	38816.48120612989	38049.330997144294	32426.939789715936	33802.4422373098	38458.118483952705	37393.27293753252	38228.849432212926	42925.59134626237	35650.00802488419	38770.03367924266	36143.576436954536	39762.371764725984	36340.54593844565	39560.071683256254	39004.02676561687	36953.09593775365	37362.426238586355	37734.47874405904	40749.85513868279	31623.014674313847	38413.542801538344	36647.9132984032
