pet	frame_start	frame_end	frame_dur	frame_mid	TAC	weights
sub-10_ses-baseline	0	30	30	15	0.04994886350042058	0.496619327994136
sub-10_ses-baseline	30	60	30	45	4.987416436556223	0.6907601653837198
sub-10_ses-baseline	60	90	30	75	15.850269280902468	0.856518261678716
sub-10_ses-baseline	90	120	30	105	27.45495717557619	0.9729259539020072
sub-10_ses-baseline	120	150	30	135	36.783701605149474	1.04649522476989
sub-10_ses-baseline	150	180	30	165	38.69505236837396	1.056200169750323
sub-10_ses-baseline	180	240	60	210	38.18621946355551	1.2812634277443486
sub-10_ses-baseline	240	300	60	270	35.5747555900268	1.2400879158889113
sub-10_ses-baseline	300	360	60	330	32.26127818428574	1.1913021057859692
sub-10_ses-baseline	360	480	120	420	27.94234365126684	1.3941561087613776
sub-10_ses-baseline	480	600	120	540	23.44287779589426	1.2887598642071951
sub-10_ses-baseline	600	900	300	750	18.101492568234743	1.540947207107228
sub-10_ses-baseline	900	1200	300	1050	14.968670836187853	1.3653590136711435
sub-10_ses-baseline	1200	1500	300	1350	13.873325453969214	1.262338977160672
sub-10_ses-baseline	1500	1800	300	1650	13.012521135777858	1.1754051039885554
sub-10_ses-baseline	1800	2100	300	1950	12.355389870141696	1.1018926495864148
sub-10_ses-baseline	2100	2400	300	2250	11.57670722126666	1.0323800995105583
sub-10_ses-baseline	2400	2700	300	2550	11.037469829013029	0.9749045917117065
sub-10_ses-baseline	2700	3000	300	2850	10.59594761788484	0.9248984241299244
sub-10_ses-baseline	3000	3300	300	3150	10.13782742558512	0.8792099844357948
sub-10_ses-baseline	3300	3600	300	3450	9.710525720692228	0.8383657135053969
sub-10_ses-baseline	3600	3900	300	3750	9.290448730208151	0.8014573111565922
sub-10_ses-baseline	3900	4200	300	4050	8.868573763481788	0.7679661652756851
sub-10_ses-baseline	4200	4500	300	4350	8.620318091685943	0.7402982004475923
sub-10_ses-baseline	4500	4800	300	4650	8.399405305163578	0.71553405871678
sub-10_ses-baseline	4800	5100	300	4950	8.087966217061066	0.6917936392850611
sub-10_ses-baseline	5100	5400	300	5250	7.929336302696546	0.6721603344442996
