index	name	volume-mm3
203	parasubiculum	121.0
211	HATA	126.0
212	fimbria	138.0
215	hippocampal_fissure	238.0
226	HP_tail	1244.0
233	presubiculum-head	225.0
234	presubiculum-body	280.0
235	subiculum-head	345.0
236	subiculum-body	502.0
237	CA1-head	1154.0
238	CA1-body	246.0
239	CA3-head	272.0
240	CA3-body	209.0
241	CA4-head	306.0
242	CA4-body	249.0
243	GC-ML-DG-head	363.0
244	GC-ML-DG-body	278.0
245	molecular_layer_HP-head	627.0
246	molecular_layer_HP-body	447.0
7001	Lateral-nucleus	1389.0
7003	Basal-nucleus	930.0
7005	Central-nucleus	93.0
7006	Medial-nucleus	23.0
7007	Cortical-nucleus	45.0
7008	Accessory-Basal-nucleus	528.0
7009	Corticoamygdaloid-transitio	369.0
7010	Anterior-amygdaloid-area-AAA	59.0
7015	Paralaminar-nucleus	89.0
