frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pc	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VM	Right-VPL
0	30	4.02391	1.35273	0.4668	0.44431	1.21567	2.6804	2.00192	0.17596	0.762	0.76091	5.96873	0.03595	0.91989	0.16801	0.36074	0.51471	0.15876	3.55231	0.61342	6.2481	8.06395	1.34117	0.80962	0.22595	0.39388	0.58178	2.12479	2.16587	5.41168	0.27392	0.69397	1.69035	0.18732	0.03117	0.46687	0.4694	2.58944	1.44193	1.9877	1.84153	0.2103	0.15278	0.27879	4.88524	1.15944	1.72219
30	60	1020.49843	1584.59635	652.22159	669.4722	850.38104	1292.79498	721.38692	634.65407	1042.31325	996.56318	878.87086	1227.6254	412.92418	1113.90866	792.91252	848.77867	967.44032	984.18915	1716.8383	1079.52502	846.67777	890.53735	842.55984	935.14009	1314.00872	1379.3014	820.8436	528.80528	1297.74355	1243.74744	1487.28876	1300.44635	768.03955	487.1569	1224.63391	1463.50942	1532.11172	940.49971	924.68583	1212.18555	958.61798	706.21528	1004.77146	1067.83827	781.88623	1169.48512
60	90	10212.8504	9286.45933	7612.73264	9147.56599	9744.04956	6450.5029	7789.14231	7968.93311	9875.19707	8951.03179	8050.82442	7043.25182	8165.42465	10877.81687	7657.94949	8949.21005	8080.68621	8260.26722	8153.96219	8272.14669	8695.6505	9194.50796	9693.32157	9899.59312	9998.94883	8968.61783	7670.20173	7255.18739	6754.56898	7288.24959	9620.09829	9349.40927	9245.40111	8819.49581	10304.69531	8065.82517	9176.06586	7909.31859	7439.13372	7652.78133	6780.01136	9367.65068	8211.52338	7834.18942	7012.3667	8088.38132
90	120	18184.01198	16646.25099	18215.58931	19828.60295	17857.64822	15312.4932	18622.72727	15696.96449	22245.74294	21335.12228	15136.7855	13156.04714	15894.92731	22070.49584	16627.61241	20870.97582	18705.8885	16008.13065	14262.71137	19595.41523	18994.77333	17680.0939	17029.84582	18854.45913	18800.36523	21406.39413	15225.80762	13580.73428	17094.01036	16583.74331	24385.36911	22569.45696	16904.67642	16305.57446	25337.98047	20808.61957	21582.98533	16268.19577	15084.26383	16903.90281	13791.38157	17437.09453	16811.61565	18964.80437	9892.06152	16138.99365
120	150	31937.40713	30680.73196	28079.09162	34060.57804	33706.2117	24830.17925	31242.16024	27604.9774	37952.10773	34210.59593	29610.23056	23795.89205	27693.98928	36065.69337	27538.46781	28960.66405	27872.22144	26219.61779	31045.99566	29757.26548	31405.98835	30048.9099	28682.15811	30509.74723	27990.05723	31028.56777	25170.51678	21393.57233	29155.43862	26166.30559	36743.81566	32547.41129	29839.22754	25923.89844	39100.65234	26027.73474	34183.30888	26050.52645	30651.47253	28309.3039	23455.05713	28630.28457	29878.76548	30359.91612	19862.14648	28084.94617
150	180	34226.11256	33608.25514	31078.06854	39324.3256	35447.19119	30085.80761	38783.63797	28709.30525	44287.26861	39118.52056	34113.76056	23136.71715	28670.93536	46012.44153	32075.00272	36768.14099	33936.24955	28375.7314	31905.02778	36900.90081	40338.59324	37173.78339	36250.8582	35537.46289	35543.875	42917.82531	33162.54004	27446.17592	35490.8219	30417.02599	44769.79214	39183.23682	34297.11969	27391.5306	47566.90625	31950.8706	40602.59645	32128.40404	32699.68155	31762.37087	27791.75134	34632.45918	32979.15067	37379.41353	19090.98047	32182.42608
180	240	34092.68815	32988.90743	30625.56197	39643.59906	32571.06217	29159.24415	35575.88024	32317.81961	44590.7362	39077.93207	34879.68677	27640.22745	31279.28604	43827.69616	31234.05218	39910.84356	33087.22822	30566.32011	31822.35178	36187.83024	38709.85455	37319.02378	34626.42927	34822.66052	36242.38379	42153.32238	30407.534	27562.10217	34852.51575	30475.76322	46235.79286	42068.57635	33504.56238	28965.76937	40654.09766	34352.15506	43891.8949	31742.14371	33780.53844	33304.12458	27311.89387	31828.81074	31919.46498	37148.75932	22071.49805	33672.94442
240	300	31935.42503	33520.76712	30006.00231	39164.8229	29055.50043	28999.7408	32990.51794	28403.66713	42917.30245	36712.60675	34501.358	27736.65785	30203.72428	42536.48862	30773.65018	35329.47758	30131.28469	28957.17216	34360.93403	35202.86452	39164.64445	36909.58835	30181.31404	33808.61675	33369.23848	42388.76801	27463.56135	25787.99791	33604.77005	30051.48573	44008.43871	38681.81412	32859.81348	30778.4974	40031.44141	35264.46332	41775.5224	31098.10177	35752.01247	32104.67827	27746.64035	34318.93672	31705.79497	36357.2782	22805.47852	32668.21301
300	360	29995.32745	30627.09389	26682.68288	36171.28573	29343.81727	28245.95193	30669.69823	29941.72531	40376.7753	33857.61793	31688.04743	26972.10494	30065.89711	41281.24206	29672.44839	32724.38455	28323.60082	28831.33627	30693.79384	34530.50243	36678.87715	35044.47705	29113.71386	33329.68821	30472.10664	38590.74737	26001.27095	26706.97215	27677.39474	27757.52088	42287.5459	36654.53142	30290.20837	28965.30094	42296.5625	30693.5871	39354.91177	31519.00966	32608.3334	30116.65591	26264.14458	34026.09453	33966.53953	35665.03846	22918.11328	31624.86841
360	480	26955.89482	29611.48877	23575.87873	35041.21534	24238.16189	26004.86312	22828.23343	25231.22838	34130.06234	29753.95447	28531.71944	24164.87251	28887.22877	34285.4291	27131.20088	28671.74998	24728.39663	26711.05265	29444.21311	31038.47607	32915.20223	32170.29201	26669.93489	30339.08103	26379.75273	35388.51267	22757.42037	23829.74869	26068.30861	25741.3771	36005.83477	31783.74718	27743.4631	24074.3348	36452.18359	30389.74997	34847.29983	27537.63196	28320.0384	25522.55106	26005.409	29105.72715	29202.23578	31478.61541	19700.35938	29600.42721
