frame_start	frame_end	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter
0	30	18.81465	6.00422	15.29345	28.8405	12.27967	19.19772	32.32479	17.78229	16.01695	53.54688	38.8002	24.61052	59.02648	32.76522	16.11734	9.23195	6.19235	54.69697	82.68688	34.93462	46.92974	17.21795	15.00089	31.81607	8.26975	30.88817	32.78671	62.66427	32.63187	21.56986	74.21066	172.59724	44.67531	56.77667	31.75841	8.77166	19.65634	6.68605	48.60042	22.63343	23.45441	97.31707	34.0974	24.18304	20.77985	29.11473	23.60421	37.58514	27.91266	47.02174	22.64681	17.32847	54.52915	80.02734	108.89966	19.26104	7.34689	21.50603	40.44074	20.04708	38.42365	79.2973	26.90682	37.18093	20.62786	35.58262	36.94508	9.85088	82.4381	64.66269	53.19176	32.42293	26.84936	42.47426	19.75059	41.05876	62.26921	19.192	66.26199	47.67385	35.41651	55.05731	24.25415	30.21413	34.81728	10.17949	40.41018	26.82306	18.73781	31.90999	18.99343	20.76674	23.58288	37.42502	27.90218	35.03828	26.97879	33.22111	26.40071	60.34785	24.07621	6.65651	99.51045	93.64498	59.77264	7.70923	17.2587	16.33887	24.7755	35.06866	24.39099	19.88107	34.13013	49.9417	25.12806	39.07128	24.7662	25.40838	19.22528	22.18579	42.75525	59.95472	63.89919	11.69689	8.69215	20.70933	36.00347	26.0545	25.3734	38.06752	36.95453	26.08013	22.17658	22.13694	42.90298	5.83991	53.84289	29.33326	44.27338	33.49012	28.67568	37.17409	30.06711	33.35676	49.76637	22.0977	53.18445	39.64336	20.0835	44.87788	25.26959	40.07196	39.407	7.41997	28.34051	38.65853	25.79218	45.59343	15.7845	24.48587	16.13181	42.62038	14.24892	41.73209	22.90549	41.6	25.2905	37.3351	21.62964	6.57841	62.767	76.64687	39.45571	21.2758	26.64798
30	60	2300.61101	2908.88859	3013.51042	3582.68739	3706.25354	3560.68354	4318.57166	3090.87044	2846.31416	2964.35448	3328.31028	3910.84027	3614.37639	3201.02029	4422.29919	3169.61812	2669.65435	2143.14933	3914.74345	3034.50401	3519.40175	3488.09097	3575.51457	3957.50358	3082.63105	3767.5396	3881.1593	4677.70429	3403.94962	4178.90608	2737.02187	4623.72582	2795.62849	1857.36576	3326.03509	2363.26376	2442.14262	4003.22835	5102.90991	4569.67863	4368.06254	3073.14583	3882.39737	3916.16571	3866.54924	4507.50857	3922.73455	4703.21283	4645.26868	5031.17284	3982.26467	3763.42588	4368.00229	4786.82155	5343.45506	4658.9988	3735.57706	4362.59711	4530.31366	4577.50569	4560.31987	4987.44632	4492.99543	4630.08848	4031.40163	4797.34509	4312.58727	5039.77916	3888.64666	5501.83098	4647.29903	4731.52378	3979.92681	4069.92439	4247.37511	2986.08733	4172.0542	3846.95406	3780.94758	4258.83358	4312.93327	4456.79712	4877.30692	4909.29033	3806.8079	4411.78135	4328.37874	4813.10576	4884.31736	4549.22809	4691.60034	4251.06397	4378.14241	4272.30965	4530.18961	4593.47942	4123.74082	4263.7718	4189.97659	4566.52806	4151.64245	4589.64812	3450.77739	5185.62381	4700.88261	3167.50355	2727.68291	3388.72128	3715.64376	3070.57167	3182.73474	3364.84645	3158.1323	2778.42996	3607.55103	3495.71193	4418.36191	4062.95464	2977.314	3569.80536	3519.81116	3185.37677	4302.65459	3146.13467	3421.45654	3964.87992	3074.41298	3287.91443	3173.56558	2622.36227	3316.91582	3556.45753	3346.9834	3484.97136	3154.95075	4295.3434	3277.75967	4032.7476	3263.3416	2761.45292	2454.72261	3489.86205	3695.00718	2795.23884	3423.17338	3661.38238	3095.26171	2752.67614	3929.19352	2946.07442	3895.85445	3480.01472	3099.85973	3673.37362	3158.70347	3552.74928	4342.88759	3717.20445	4241.19809	3862.37568	2439.39633	3495.62427	3254.38452	2243.62379	3407.61071	3200.64076	3691.74403	3773.67605	3175.13404	4399.39871	2749.27164	3562.53757	3244.59551	1938.88498	1888.77513
60	90	8412.51213	11702.36914	12832.19646	14692.81825	14781.39157	14192.8586	16891.70423	11203.69101	11552.37058	11029.02159	11907.86093	14442.69167	12712.11486	12858.32552	15717.15454	12386.80799	10585.81495	8753.00696	13843.94016	12035.98707	14879.59401	14880.33761	15218.10793	15196.52301	13106.9102	13705.28394	12176.92265	16637.11817	12002.67571	15378.60498	11087.16617	8657.97233	9250.84069	9268.1158	10886.94818	9632.4631	7948.07498	15316.28671	17905.25618	17950.52263	19070.03217	11438.46773	15378.38616	14680.9307	14018.18795	16794.40892	15348.90765	16004.42157	18250.88868	17489.32144	14763.95775	14803.51723	16246.63625	17482.75218	18741.34497	18515.83607	18293.25144	16044.23991	18402.34232	17053.05821	17568.12287	17271.62197	17586.23256	17235.72335	15444.34539	16063.1523	16167.09765	18879.87805	13483.45581	18937.60391	17294.0936	17383.16659	17633.62614	15821.22009	17524.06997	11620.55106	14980.13429	14866.68883	14457.57225	16593.19006	15797.33461	15853.12443	17709.3786	17079.12423	14487.95831	14146.19388	16084.09349	17168.70641	17452.06413	17232.20731	18747.99748	15867.73117	17416.73968	15584.4944	17835.64897	16946.02592	16144.02245	17094.40986	15205.99417	16719.24726	15506.77918	16783.60082	12934.12588	20429.55169	16456.25852	11856.40088	10487.89358	13154.47963	15696.35118	11998.12119	12934.974	12721.34699	11122.36131	11323.94027	13620.56708	11932.29751	15718.17758	14979.44455	11264.67753	14250.62824	12248.03804	12706.33391	16156.72449	13445.96836	14686.31822	14534.76404	11242.85814	12823.43355	12900.8572	9764.72444	13042.52599	13414.13187	12971.10595	12334.68614	11967.29476	19051.48453	11913.44129	13689.59046	12188.201	10849.87838	10036.37336	12827.96231	15295.51572	11619.31736	11699.87752	13561.08825	12166.81531	10051.46796	14721.26337	11263.25304	13816.91416	12675.92191	12269.29582	13118.19477	11807.64064	13256.23881	15225.21364	14383.49959	15412.75991	14647.19548	9584.36693	12874.75367	12708.30653	9679.74276	13392.37352	13178.54464	13540.18537	14868.45527	11689.37532	15342.93694	11589.76299	15765.86507	11775.41219	7534.33271	7443.81643
90	120	15993.73517	20853.08525	22128.14629	26379.24157	28157.87227	25805.00813	32387.00807	21166.90562	21883.72857	20660.43551	22290.58023	25650.46128	23571.63179	22368.31511	29561.72205	21629.97023	19420.30619	15807.17233	21084.82052	22499.44625	27023.35959	26988.1682	26647.68089	30257.52364	23089.46895	23985.53017	20630.64983	25650.38996	23132.4428	25596.41973	19261.54961	15544.79199	16452.38701	15700.14464	21507.32987	15789.30901	13579.56333	28633.50433	30668.07632	31391.6622	34536.37347	19913.91872	27876.69546	27210.83279	26609.20268	30942.78639	27576.16659	30171.80088	32191.19035	30636.06585	27466.01254	25826.54411	29709.46128	31055.4571	32341.85255	31815.18936	32292.54394	28860.56542	31395.83793	30515.88686	32760.23943	28915.72078	31927.7545	30753.82936	27179.77868	29020.90101	29383.29022	33555.77976	24839.86462	36371.78466	29188.46606	30243.98875	30444.02633	28682.00644	31836.63697	21292.80806	27458.70368	27833.81697	25673.57314	30482.49582	28802.60597	28572.71481	32172.40902	30124.45854	26456.06122	24772.36835	27398.1408	30215.68098	31197.85343	29920.24521	33152.12812	28460.45182	29996.98415	27221.86331	31927.80651	27575.69202	29634.01746	30023.03847	27505.65127	28573.98934	27638.71386	30876.607	23165.4274	35972.22266	28059.57639	22175.88259	19452.15723	24196.61932	29132.61518	21457.23033	23937.57425	23513.36389	21877.28335	20616.59352	25996.05621	22560.65819	30266.51252	26857.98965	21577.59816	25159.11657	22952.2753	22255.00663	27751.98807	22823.61594	28134.39092	25743.05572	19014.39789	23096.96292	24797.44305	17967.88933	23904.60553	24030.33051	23953.07048	22992.86878	22561.49881	34467.86986	22870.48886	25957.24414	22626.16449	19713.79932	18889.36004	23563.64958	29380.2205	21040.75307	22559.44023	25871.97133	22434.52082	20177.42028	27999.93723	21263.27123	27211.69258	23775.20283	22928.93086	22804.52343	21122.16533	24295.86044	27786.37775	26113.08326	28976.86072	26617.43347	17752.76513	23218.92991	23864.87469	17821.52305	24501.54049	23649.22557	24300.35181	25923.58539	21371.08258	30212.0819	21666.53533	28834.79373	21773.24603	14134.27228	13722.66955
120	150	21883.12882	28133.34703	32062.67077	37760.27677	39283.2573	36635.53251	43643.33433	30582.31945	29692.7356	29765.63507	30815.86455	33513.22211	33333.15674	27244.33539	36666.38838	31717.81158	26456.51705	20796.5207	33934.50595	32312.62151	38614.62802	38925.70434	39843.44657	41607.37916	32663.24409	33625.21464	31636.52225	38619.50757	32156.55151	38670.90547	25943.22502	21119.65849	22330.91713	20591.84732	25093.21253	21524.92293	16836.00787	39767.72224	43950.65748	44862.36031	48320.8237	29971.71598	39014.59038	37497.98459	37573.76135	42210.15206	38727.70969	40658.92077	44008.85293	41888.11378	38158.26033	36404.01566	40002.76226	43584.8686	45778.91687	45058.2344	46753.06719	40586.07413	43543.82618	42037.78284	44991.97198	38310.61395	44234.85012	42152.93286	38907.94323	39060.38463	40771.41017	46174.68978	34389.9888	48952.69095	40792.25297	42288.19674	42105.85212	41330.44951	44418.23672	30068.50081	40456.33162	38901.7907	37302.68746	40751.2158	41098.47117	40499.58305	43944.10586	41507.56256	37296.3163	35131.89194	37701.96432	42648.51531	43107.629	41931.80383	47197.19104	38134.82635	42261.05299	38528.29217	44036.8366	36109.19858	41886.66777	41495.14345	38803.03573	39385.66696	38584.24841	42816.28484	31344.14116	46793.35973	39091.51999	31133.24155	25724.57104	33839.80564	42614.0228	31295.14117	33731.48135	32132.56813	31557.56267	28579.94562	36591.13823	29591.69845	41284.07958	36257.92157	29697.77637	34474.17485	31388.79837	31922.43171	39371.91861	31720.99927	38873.95972	36367.48564	27752.43869	32290.72211	33949.02563	24697.02359	33168.75279	33039.8252	33579.77233	31731.30389	31849.14802	44871.74707	32578.31591	35428.42305	31869.55709	27742.86132	25587.43321	33677.9227	39894.29134	30714.81148	32705.30324	35885.38366	32006.76264	27335.32854	39137.94417	29991.28012	37679.41544	31866.35986	32610.91787	34148.47476	29438.95656	33439.80017	38898.22823	36299.05373	39234.8174	36139.64276	24362.69501	32396.18038	33255.01156	23136.74293	34668.28383	32641.35096	34609.14816	36030.21248	29653.55969	41128.11154	29227.52879	39035.86394	30637.25861	19442.63788	19392.6476
150	180	23848.94465	30904.78683	36213.56237	42905.84271	43627.65876	43396.38085	50629.49039	35328.05526	32482.28598	32207.82037	34111.72277	36504.44821	36544.98232	28986.81635	40488.40288	35908.36346	26787.87214	23451.24814	29264.04383	36077.55548	43619.09153	43554.93278	42950.19681	47442.16885	36658.04959	35440.60638	32678.89227	45885.85343	36113.9618	44988.56719	28426.80305	20492.28608	23014.8067	20853.7829	27608.20393	20563.38891	20062.46012	45629.3595	48290.75815	50110.5999	52034.23952	32486.101	44659.04838	42786.08515	43112.64744	45852.85958	43705.33304	45528.77577	48233.4618	46728.19412	43607.66709	40736.96398	44861.53819	46643.5839	51049.71633	51265.24782	52359.12274	44701.15714	49694.80939	46395.0809	50459.35107	41346.26351	49443.93575	47281.78407	43421.39929	43418.88901	45530.85729	51099.32481	35254.63249	52038.1797	44094.64695	46777.31418	46212.3665	45049.4271	49155.71612	32830.90047	45189.37892	43608.18099	41521.12872	43856.05354	45853.70443	43776.70897	48627.6608	46024.84684	42470.7353	39182.20101	41876.52039	48423.61389	46874.58582	46173.44694	51865.83356	43447.35966	47751.22524	42305.14608	48949.55431	40773.35699	46709.44533	46307.17059	43434.46668	43692.59851	43488.18902	48581.55033	34861.08803	52150.18484	41873.74856	35474.92004	30894.334	37348.26832	47059.20004	35130.39084	38881.06943	36874.7325	36491.3598	30504.79747	41398.47259	33607.27251	45492.08877	41180.08425	33959.32078	38914.77197	36205.27274	33708.05766	42778.37899	37241.31861	44999.31021	39543.79148	30091.06756	36215.92789	38681.5807	27405.63481	36389.28582	37513.95296	37224.35957	35602.14644	35920.34372	52114.50344	33950.00663	38247.87899	35818.85467	30715.02259	29524.87276	37007.65927	45083.72912	32487.71078	36242.11421	40909.08507	36596.24291	30616.43635	43617.47418	32733.43024	41315.83095	36292.40704	37219.40128	35119.2851	32953.24072	37944.4991	42553.35533	40636.04035	43354.32615	41693.45243	27924.48043	35848.75602	36732.16591	26662.26113	38236.42665	36485.05529	39156.22933	40273.72179	34260.62263	46625.39253	35321.31711	44848.75788	34737.73345	21698.83077	21545.32577
180	240	23112.86758	30227.53673	36836.36416	43721.52823	45597.46479	43848.90585	51562.58387	35807.91312	34147.92931	32707.6494	34555.19882	37087.46717	37596.31585	27769.63489	43268.57356	35015.70724	26153.05958	22738.94834	32249.51358	36981.46904	44291.80773	44936.0128	44212.82403	49343.18051	38975.19492	36216.89985	34507.34135	43099.0346	35912.27745	44578.61367	27599.03348	21414.24293	23391.66057	21265.66986	26031.38745	21340.33333	20399.85947	46043.37472	46978.02782	50959.66012	52533.76492	33550.34383	44080.32886	43711.75505	43960.02736	47058.49712	43314.35319	45836.92323	47991.15688	46872.38395	44318.14747	41212.9136	45275.12427	47895.35771	52682.55291	51380.18631	51850.79809	44445.50164	49479.3116	46378.605	51386.71908	41481.75291	49958.85983	47468.69543	44169.64253	44169.72909	45901.98347	52922.27253	37289.71963	52461.93607	44375.12186	46526.76046	45443.00969	45314.24726	50082.13941	34193.60603	44493.07662	44679.30918	41807.83989	45097.22534	46249.2719	45151.82404	47934.61684	46379.79425	42567.64041	39867.96113	42343.8169	47830.94401	48870.71175	46509.02523	52920.26725	43666.01435	46486.0572	42590.32056	49470.62745	39841.51572	47517.46535	47036.56113	43705.41529	44019.7476	44224.09346	50796.66617	35891.5977	50121.47502	43515.0117	36589.80716	27960.18777	37813.83629	46139.90791	37125.07134	38706.26896	38118.31307	36893.40858	31667.39792	41704.96987	34343.00304	45945.85538	41920.99243	35401.69689	39574.74504	36919.61724	35671.51969	45002.61793	37959.29719	44199.39857	40662.06831	32018.48255	35938.30425	39453.37164	28041.9896	36503.67479	38014.46741	38946.04858	36412.7833	36181.6472	52768.82284	35293.97363	39378.65094	36298.82189	32714.21511	27936.54452	37207.73441	45688.55438	35450.63633	36924.3414	41698.41193	37825.36932	29930.34113	44413.20793	33531.12538	42150.92699	36386.82525	37824.8218	37973.13298	33167.82977	38186.25514	44240.61371	40353.03127	44552.63802	41711.75367	27464.32896	36374.87574	37689.54674	26351.14215	38820.63795	37114.33498	40150.61878	40776.19359	35291.61807	49433.99827	34506.15972	41294.82571	35902.90888	22508.50385	22139.14759
240	300	22343.85469	29222.86323	36356.39765	42645.18689	43693.28484	43005.72166	50782.64849	35579.42709	33290.91193	30078.38972	34352.48921	35486.20607	37982.75436	26458.34067	43562.62911	34705.0674	25499.10876	22237.08537	28726.47228	37089.57197	43383.68822	44627.71272	43673.4683	48295.50198	38390.10221	35254.28334	32645.63194	45202.52015	35250.66845	44206.86367	25516.77248	19570.17468	21320.28444	19347.49549	24602.15337	22354.09971	20290.26195	44500.91375	46293.76645	48065.81823	49756.73057	33597.65514	43864.43762	42305.07598	43340.15065	44894.10778	41727.66996	45103.93031	46456.73677	44819.99048	43492.65543	41551.92697	43068.77521	45857.70617	47774.70059	47791.90453	49220.35829	42918.94302	46350.40655	44665.98793	49416.65526	39624.50018	47851.66955	45691.40598	42093.86071	42515.66479	44482.90269	48344.81354	36747.42567	49795.33987	42937.03228	44301.86147	44197.09762	44240.41895	47768.22317	33131.20778	44066.79098	42848.56176	40871.68735	44037.52602	43689.98683	43505.4404	46129.26094	45019.96508	41412.26869	38310.41579	40638.09695	45053.08659	47423.01529	44373.54742	49532.66439	42218.25158	45229.23447	41108.2783	47677.38939	38951.34039	45618.0818	45005.15419	41815.28122	43312.86591	42610.20661	47518.62905	35378.80388	47705.01735	42474.82603	35660.52631	29191.03499	36672.46423	45044.44202	37130.95249	39124.19404	37308.0681	36915.15211	31303.77552	40039.74253	34022.58681	44582.24909	39991.45971	34992.85964	39488.48701	36049.71182	35501.34712	42203.03846	36001.7701	42182.29627	39179.69868	29239.20509	35139.39913	38006.75398	27201.55432	35737.30592	37029.57217	37472.10098	35595.54759	35595.78345	48809.03341	37636.6857	38132.60835	35943.61494	30353.83999	27930.22492	36310.9672	44300.56533	34669.14629	37163.26607	40689.88258	37601.36463	30353.93702	43079.92274	33202.8535	41041.83761	35891.92165	36528.2292	39023.35432	33313.10861	36062.87484	44286.64162	39092.53988	42863.08665	40627.16844	26284.80714	35715.13731	36352.03167	27534.42078	37812.00857	36128.82011	38622.82417	40185.02872	34318.88848	46113.10632	35596.07455	40021.38177	35078.18408	22448.16124	21909.07032
300	360	20975.94178	27593.87548	35415.57144	40207.55319	42993.24878	40238.9966	47351.94995	35905.14874	30765.28042	30420.99566	32980.93784	35242.8983	35295.72243	25510.04386	40480.95739	35098.65148	22725.4162	20707.18305	28589.92282	35424.70033	40723.92234	42214.69855	41220.0649	46500.83773	38336.89493	33593.64656	34876.94362	44293.96476	34899.35464	40319.25352	22652.98741	16876.53899	22682.28579	18721.43785	24174.36614	20661.14772	19755.26482	42944.28885	43934.71245	45778.59685	45858.56699	32321.22408	41671.58276	39762.55411	40770.65517	42477.0466	38450.71469	42263.63468	42647.71287	41890.16487	41193.09964	39121.88462	39990.8446	43875.90588	46179.66993	45597.18631	44321.44472	40060.4404	44483.69857	41617.63297	45595.26504	38214.04731	45286.48048	43195.94395	39258.50003	40523.48	41511.75366	46855.08117	35062.34246	45907.58391	40639.59856	41892.87929	40678.10315	41318.00335	44155.84206	32453.75637	41757.18438	40141.25082	37840.77953	40172.54838	40361.17559	41529.84505	42926.84082	42237.52373	39658.98551	37321.09413	37970.73169	42395.14173	43202.34103	41449.3131	46323.81474	38450.98726	41580.16173	38592.93791	45108.93263	36189.57162	42900.3931	41912.85733	38966.87966	40305.67956	39730.23897	46314.3875	35326.10489	42364.02233	40154.38178	34464.20741	27998.47304	34999.29063	41394.73955	35023.19242	37551.25189	35676.49414	36184.14182	30583.01822	37659.02348	33159.07635	41512.79787	38021.32749	34099.16786	37231.5481	32955.23834	33835.71085	40597.20423	34722.3925	39004.28482	36958.89773	29243.48127	33319.20427	36289.86187	26957.40756	34238.59603	35147.92542	35494.58204	34028.07125	33662.773	48980.99651	35191.07338	35280.90474	34096.92007	29337.36589	27298.6565	34769.79339	41561.90773	34202.60634	35421.12674	38577.4428	35742.6227	29029.56012	40405.83665	32297.32523	39101.48564	34137.42423	35649.65972	36000.51195	30848.71546	34478.21653	40064.10922	36524.03886	40555.65972	37351.4646	25644.51176	33694.21458	35332.11474	25873.74269	35946.32136	34328.94152	36501.85642	37866.57584	32309.23723	45668.06206	34177.30446	37153.8719	34230.32782	21964.31567	21997.69102
360	480	19190.10843	24003.48747	32588.60627	36507.19673	40249.33083	36270.92051	43169.9282	34214.08366	29477.76878	26916.19583	30548.68416	31189.74759	33722.24033	22856.26551	38009.86777	33000.38569	20322.3025	18980.53223	28062.4863	33165.35529	36959.82712	40034.28907	37761.27446	41977.99359	35038.41799	30463.35856	32293.31951	39300.03627	32725.97315	34965.53398	20411.31008	16079.54596	20962.80987	18035.60747	22091.79378	18813.16859	18909.59399	38257.83037	37110.81709	40335.54267	40563.94741	28897.4194	37841.52838	35674.86997	37043.83105	36690.80927	34275.20955	38060.32783	37344.54359	38231.91896	37623.49164	35897.42952	35278.16343	38234.1424	41150.93209	40697.9945	39201.38651	35293.74018	38977.41057	36993.35966	40501.71987	35218.94207	40129.26481	38101.34328	34837.97466	36160.33374	36924.79706	41785.29459	33385.35404	38515.69165	37030.47014	38813.65141	36701.30794	36648.80993	38621.92249	29315.18023	38447.38627	36058.10546	35235.07109	35872.23172	35800.52028	37778.19092	37206.36947	37976.13911	36039.38539	33669.90119	33303.25951	37846.41366	39227.0305	37217.45763	40271.76582	35061.12381	37518.62483	34212.73849	39562.10872	32926.83962	38182.54395	37424.09408	34608.03821	36102.02983	35711.14604	39824.98153	32471.45741	37369.14863	36299.09392	31444.64432	25300.57823	31853.3564	37473.72506	32700.47226	34320.89639	32103.14381	33393.34109	27743.18263	33756.59826	30930.31321	36654.94845	34557.76133	31680.17223	34922.41084	30439.02018	30803.31433	38042.24693	32159.41647	34511.34007	33408.69885	26424.01606	30360.43468	32558.70143	25824.52061	31144.64126	32029.0265	31758.06427	31273.97845	30953.42553	42779.85159	34091.42754	31429.98205	32061.02874	27855.71749	25601.73674	31179.30925	36869.32514	30608.74079	33503.05308	34808.63422	33702.92337	26914.78499	35845.44694	29852.96793	34438.39398	31430.46944	32959.54198	32622.81044	27577.09523	32039.35447	36548.06446	34015.2241	36024.38983	34274.00368	24409.15003	30171.00659	31724.44746	24656.74067	32510.23326	31171.95983	32854.56748	34416.23785	29636.30215	40111.02048	33165.89148	33054.784	31408.09493	21237.77888	21044.99793
