index	name	volume-mm3
8103	Left-AV	139.0
8104	Left-CeM	68.0
8105	Left-CL	26.0
8106	Left-CM	256.0
8108	Left-LD	54.0
8109	Left-LGN	324.0
8110	Left-LP	165.0
8111	Left-L-Sg	18.0
8112	Left-MDl	271.0
8113	Left-MDm	855.0
8115	Left-MGN	84.0
8116	Left-MV(Re)	13.0
8118	Left-Pf	47.0
8120	Left-PuA	202.0
8121	Left-PuI	265.0
8122	Left-PuL	163.0
8123	Left-PuM	1160.0
8126	Left-VA	369.0
8127	Left-VAmc	5.0
8128	Left-VLa	543.0
8129	Left-VLp	861.0
8133	Left-VPL	903.0
8203	Right-AV	155.0
8204	Right-CeM	78.0
8205	Right-CL	33.0
8206	Right-CM	245.0
8208	Right-LD	48.0
8209	Right-LGN	257.0
8210	Right-LP	177.0
8211	Right-L-Sg	9.0
8212	Right-MDl	274.0
8213	Right-MDm	857.0
8215	Right-MGN	102.0
8216	Right-MV(Re)	11.0
8217	Right-Pc	2.0
8218	Right-Pf	50.0
8220	Right-PuA	180.0
8221	Right-PuI	217.0
8222	Right-PuL	149.0
8223	Right-PuM	1119.0
8226	Right-VA	426.0
8227	Right-VAmc	9.0
8228	Right-VLa	592.0
8229	Right-VLp	849.0
8233	Right-VPL	867.0
