frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Medial-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
0	30	33.69182	6.92769	3.43894	64.3094	1.85741	47.00346	4.30733	78.10274	2.37827	87.99688	2.89351	2.41893	2.31219	28.474	2.27115	39.31426	2.31531	90.19041	2.62659	46.36709	49.67047	2.37181	2.18757	3.29897	6.5644	13.38892	10.45163	111.14878
30	60	3488.09501	2670.34945	3572.97697	4178.00975	2808.3949	4408.25225	4328.33106	3382.25474	3471.51742	2593.75614	2809.38882	4075.13173	3304.75781	3632.62373	3621.08347	3331.31117	3655.62693	3153.36603	3613.34647	3159.32816	3766.15218	2470.929	2486.24936	2254.17062	2852.36154	2897.80137	5873.55407	3074.65078
60	90	12935.32487	7366.19229	13755.2331	14869.71568	12513.16917	14554.95396	13774.46385	12531.05966	12039.985	11713.85471	11886.29091	13407.56464	13867.72866	15406.44471	13804.68849	14402.10837	13430.10401	13556.13726	13337.56534	11737.96746	12607.52447	11287.82347	8811.1964	9566.64006	10597.86912	9886.35932	21570.09483	10204.7671
90	120	24894.68126	16745.57638	24507.55814	26804.16124	23585.26622	26758.56391	25601.45287	22690.60341	23987.93226	23314.36588	26807.12011	25917.56962	26279.42262	28687.62232	25703.05007	26945.39794	25711.89385	25655.89784	26204.51561	21258.71606	22351.35296	19858.59342	16704.01487	18286.78911	19804.13701	19696.69521	27894.04038	21469.13915
120	150	31334.64373	25824.36246	35258.44488	35029.34326	32537.12763	33849.57379	35766.76866	30973.77009	34803.26245	31734.48645	37188.30331	32465.88954	35702.511	38009.66424	37031.81644	36141.35445	36922.44581	34382.98087	37002.68775	31337.37395	32732.34833	28153.66634	23260.79297	25120.97985	28027.98623	28750.59829	38589.95091	31146.51356
150	180	28509.12486	26704.70261	40679.69305	40240.86543	33060.71144	35658.6277	37590.28347	36578.106	39815.24178	37000.07017	38124.96175	34962.53882	37181.24015	42178.27349	40893.16549	40706.19959	41184.49163	40026.03409	39936.54386	34921.56287	35585.35828	32505.65108	30301.26823	28846.01028	32270.79857	28449.60842	33721.46073	32096.49844
180	240	33670.31002	26553.79917	39175.44206	39220.804	34420.12411	39077.55316	36642.79199	35945.98379	38803.79712	36253.98796	36519.27369	33441.95628	36361.57732	39769.72507	39829.64655	38058.15763	39810.96444	38818.46183	38833.94632	37361.30763	37188.128	34980.41223	29675.41319	30988.46546	32770.97527	28361.53369	34513.90952	38084.57528
240	300	29892.88655	26003.89213	36227.85831	38753.96081	29561.62143	38159.67162	35512.55212	36855.81735	36144.49734	34814.24125	33995.37612	33611.28884	32969.06745	40229.47875	36720.50443	38693.76515	36732.62664	38524.75283	36078.65847	37627.07186	34281.69309	31663.23014	28245.46962	29466.41252	31147.56764	28385.21544	33476.98981	33894.88823
300	360	28370.49175	26013.26542	35060.94848	36437.83332	28247.10475	35616.46245	34669.24942	35418.2027	36168.76607	32550.53602	33324.56347	31039.67511	32255.01881	36822.20429	35968.01643	35160.59131	36114.40623	35464.56202	35326.53962	35675.24764	34336.13421	31376.8276	28940.77604	29480.74733	30726.58868	27227.97101	28689.32084	35566.03633
360	480	25449.67232	24997.46193	31017.62804	32264.70616	25023.44128	31813.38373	30312.37252	32888.49225	31478.00731	29909.97093	29636.56157	27784.60952	28018.54233	33544.69868	31193.45393	32209.29324	31335.8377	32065.36482	30825.67891	33337.4306	31966.33703	30230.27917	27907.19379	28361.38343	30498.5392	27342.68854	30211.07359	31654.80123
480	600	20503.10209	24277.03896	27615.95514	27547.33784	21691.35664	26572.96352	26987.45534	28801.74902	28352.61582	26643.16827	25640.70829	24077.58283	24968.91203	28275.53993	27521.06227	27450.44385	27812.59235	28083.28522	27320.15249	29687.41776	28979.75874	26670.07471	23596.94531	24305.76583	26947.21877	25184.99605	26090.15134	29063.89665
600	900	19662.44982	20095.80736	23842.13553	23876.48258	18005.23248	24334.41946	22058.63531	24572.28689	23550.61362	23282.95773	21960.5723	20165.77129	21595.79388	23767.46648	23231.93975	23462.35536	23396.31228	24119.52091	22837.70597	27628.96356	24768.11237	22899.64844	20837.22808	22741.11606	23379.53589	20907.50687	22999.05828	24585.25711
900	1200	15338.76137	18113.1653	20688.12743	19605.37319	16061.58187	19156.15143	18409.11459	21308.49201	19207.07493	19084.29041	18293.31245	18131.49715	18561.84132	20379.36527	19234.11706	19877.51912	19386.76789	19954.22758	18917.04665	23051.81307	19205.36537	20878.57772	20871.71094	21402.28567	20197.57648	18484.3641	18677.82425	18609.40232
1200	1500	13270.58239	16060.88908	18446.66645	16684.92496	14464.43933	16749.16663	16400.96043	17521.25717	17313.63307	16152.25622	16492.14365	16251.17958	16809.74818	17195.71235	16990.91037	17006.72789	17233.19652	16945.9515	16962.03536	19294.54923	16996.97868	18170.83008	17890.49273	18865.56584	17398.36985	16482.52697	17747.51766	16573.21071
1500	1800	12209.45061	16126.68282	15931.11003	14537.63551	12934.28442	13947.6882	13889.34235	15819.81733	15145.02459	15041.2782	15084.2076	14103.9376	15517.61763	14082.54957	15152.55645	14380.3108	15228.48214	14853.55786	15003.39976	17525.15534	15319.0955	18671.98869	18426.0714	19122.4595	16509.2127	14942.87823	13004.31152	14824.95608
1800	2100	10582.04672	13485.87075	14685.6184	13393.47537	11150.0053	12229.19615	12308.59595	14068.70267	13768.59238	13217.65971	14053.59778	12792.2325	14353.28034	13124.40279	13995.94498	13529.97006	14051.14977	13052.53614	13712.73826	14518.77134	12813.05083	14734.80577	14669.73676	15595.54276	13838.43933	13341.54374	13320.73628	11449.95932
2100	2400	9469.95181	12576.63463	13737.80619	11792.83167	10189.37427	11280.2889	10799.13789	12694.58312	12916.87536	11897.38815	13433.611	12264.59399	13365.7673	12044.73411	13251.44222	12085.81185	13182.9374	12077.85311	12715.57068	13879.9702	11385.33019	13713.48962	13967.96007	14619.89345	12543.79877	11567.44296	10385.85497	10647.26279
2400	2700	8123.11738	11965.22027	12458.43503	10396.82614	10001.58779	9610.79344	10132.78639	11339.69375	11176.32848	10860.98023	11540.88707	11170.77569	12056.27911	11155.92339	11149.40576	11214.00358	11240.57706	10717.34108	11041.45852	11943.56765	10500.19591	13047.0614	14166.07183	13852.9062	11882.11932	10721.10848	10923.44415	8867.39323
