frame_start	frame_end	parasubiculum	fimbria	hippocampal_fissure	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
0	30	0.03843	2.78671	1.50494	0.28383	8.49084	0.33174	3.88584	0.71184	0.21628	0.27759	0.6086	0.41812	2.08475	0.5033	1.14207	0.51073	1.60297	1.06236	0.59971	0.37272	0.46986	0.6995	0.49713	0.79761	0.39121
30	60	778.43802	734.61836	720.95002	719.33213	559.02844	715.50742	461.24827	703.43346	632.67145	849.32774	661.45309	737.34161	604.9789	679.11159	675.23867	708.81562	578.27321	758.92526	742.07621	785.15112	498.92181	704.61695	734.65435	713.34725	846.7313
60	90	6925.02259	6198.2646	6745.07603	6555.1719	5460.80649	7016.68691	5971.10489	7254.5888	7204.57725	6485.41959	7187.57154	5761.35628	6940.13195	5750.44926	6986.31063	7173.95995	6576.73822	6103.73741	6643.62671	4784.0459	4552.94092	5841.64343	6037.38542	5339.75107	7744.08991
90	120	8605.32688	11032.25078	9719.4561	10769.75401	8282.36336	10779.45531	9435.38119	9957.63042	10202.32563	11321.61768	11020.92587	11296.63631	10245.47277	11355.57188	9905.69278	10634.01052	9427.31088	9225.59253	8268.84559	11073.48633	9336.89014	8666.27	7380.91207	7819.85996	7222.2959
120	150	13324.07688	14809.55933	12857.6283	13052.61529	11537.84271	13095.40666	13735.11969	13775.79559	15605.72632	11257.28802	15899.37228	10839.48392	14896.31453	11354.75977	13766.57629	13505.95753	13858.32031	13887.24508	12242.71023	16062.30176	12061.89258	12166.51235	11315.72595	10785.33535	11216.46917
150	180	19747.51989	16783.10527	17107.61156	16863.35487	14647.54082	17018.23516	17119.80124	16202.63992	21562.11729	13839.90802	19175.63417	13333.66767	19049.35126	13493.78511	18691.39401	16262.23511	18344.25908	16314.60858	15400.83838	12878.98926	11685.9707	13418.79963	14638.81546	14493.87168	18524.42327
180	240	17991.29368	22653.3083	21073.68666	19345.80015	19252.37194	20525.0319	22303.02939	18560.18607	23305.75195	20048.05872	22939.72886	19689.59818	23442.60885	19796.97673	22284.82273	19926.97036	22013.66313	19711.99731	17222.50446	17480.11133	14235.07275	15823.09067	15558.01244	17396.94648	17829.75028
240	300	20391.25781	23288.06279	23898.05952	20341.67302	21551.02083	21598.51788	24278.83271	19776.1971	28175.33076	21703.1311	27113.73871	20253.06043	26368.79184	19409.79526	26164.13442	20966.05423	25849.53379	23155.7731	21167.05343	18782.66211	15504.8374	18440.27021	18646.81613	22391.11328	22264.60686
300	360	18387.85618	25054.14893	23399.53627	19217.33312	21120.23841	21290.22487	24367.29524	19559.21595	28673.67871	19593.68494	29614.78312	18920.35457	27553.96687	18763.48353	26579.07112	20566.76409	26028.65903	21438.56718	19988.1975	19463.17578	16213.53955	18379.41572	18352.89646	17503.78008	21081.14342
360	480	20763.7413	25284.81279	25244.89807	20854.65217	23057.82038	22667.73507	25324.80955	20710.3444	28684.6666	22659.14575	28378.85487	21475.91121	27636.36952	20825.69412	27537.34651	21903.39011	26918.42637	23030.22448	21152.91185	21182.59961	17922.42383	19226.25825	19004.12422	21854.28789	22223.2168
480	600	20792.05984	22326.9583	21193.52097	19000.87468	21169.97611	20637.25356	23242.2227	19439.22159	23936.93076	18052.9054	23239.30834	17795.06231	23467.42052	17553.19077	23015.05124	19732.21137	23080.89331	22759.29576	21333.41787	19081.53906	16568.91064	18910.36504	19793.10254	22145.54102	22686.87333
600	900	20169.35192	19202.85029	19599.09249	18765.25092	18348.707	19793.16372	20387.83394	18377.35931	22210.0833	17048.71118	20837.21306	17192.612	20901.86291	17149.5453	20673.80664	18836.50662	20696.2146	20399.47493	19500.65977	18402.77734	15244.68652	17346.93491	17728.22444	18688.81602	21064.33482
900	1200	15737.91717	16171.9145	15494.39555	14794.74951	14830.93057	15414.91504	16379.42308	14596.50188	17578.04453	14101.8515	16914.28584	13829.30961	16751.02246	13603.48713	16352.22036	14702.3838	16415.77078	17093.71765	17304.23581	15180.14941	14146.31641	15778.7666	16433.20106	18280.00898	18049.93638
1200	1500	13554.69158	14193.02627	13336.60091	12783.79366	12847.29945	13285.24264	14015.23031	13135.62234	14669.49082	13315.28125	14368.37126	12889.62128	14064.03204	12745.12517	14024.25954	13136.16696	13994.29524	15308.6141	14217.16495	14127.98242	12777.36279	13095.70125	13192.52397	16048.2416	14422.36789
1500	1800	12835.15945	13169.96089	11831.5978	11917.96148	11086.52549	11843.89935	12716.33626	12108.03796	12825.68813	12739.35718	12849.52233	12207.19614	12722.61595	12261.37419	12292.90562	11981.4968	12229.34702	13617.74303	13388.53199	13269.18945	12271.7085	12804.69329	13350.00413	15421.51133	13120.33747
1800	2100	10460.36506	12661.82695	10686.48079	10206.47007	10240.8193	10383.76656	11925.64362	10612.99656	11728.79629	11372.88257	12221.31776	11061.42612	11826.71116	10878.84158	11445.15194	10430.9748	11378.14988	12706.55711	12004.91407	14110.47559	12861.99121	12350.17834	11667.15148	12689.94277	10984.54618
2100	2400	10907.83594	10536.78662	9335.71094	9777.12141	9009.68114	9665.1651	9925.58221	10466.29435	10309.58105	9248.07074	10500.79785	9084.35029	10148.68262	9416.66041	9676.14694	9976.48107	9781.96331	11882.87189	11140.85071	11770.41113	11897.50244	11560.89258	11697.76032	12350.85449	10464.80776
