frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
0	30	0.00833	0.27341	0.48047	0.18799	0.0	0.07406	2.92832	0.08567	1.08034	0.3048	0.03826	0.11537	0.16092	0.10353	0.57121	0.12441	0.2053	0.14974	0.40974	0.99182	0.2857	0.26908	0.16002	0.1953	0.1354	0.14998	0.14564
30	60	629.31114	515.71037	551.84304	689.41918	444.04956	810.70759	914.91844	810.79156	798.8759	470.24148	553.20527	770.97714	563.66874	592.68461	670.84642	614.30038	688.64746	602.44175	668.30848	459.83613	578.43353	576.48093	528.76948	638.44246	618.81713	712.17863	470.74041
60	90	7028.41146	7426.91873	5308.59294	6246.86878	4311.99805	6537.70794	5883.18867	5360.8558	5978.32309	6223.98236	6187.68443	7902.66878	6469.37046	6016.48605	6179.74091	6158.0577	5938.76934	6176.90199	6070.83525	5068.3304	6463.64454	5480.90243	5327.78163	6506.30675	6529.66826	5324.66251	6806.45056
90	120	10142.79031	9813.08359	10870.81886	9774.32433	11122.40527	10258.39322	9376.3046	9533.4685	10108.2905	9987.3378	9845.62005	10492.02184	10129.95711	10178.97341	9626.52394	10228.74434	9721.98067	10146.58981	9608.54159	7832.33586	8300.19106	8361.42651	8122.51709	9070.73232	8421.1528	7250.4809	7724.39768
120	150	15281.61612	10951.33677	13243.92059	14547.41518	12229.6709	14732.46875	13926.49825	13092.55941	16821.176	13198.34621	14882.21604	14096.89025	14248.4252	13895.71151	14846.35897	13970.68541	14560.14233	13876.94442	14883.27415	13245.88845	12779.23979	10112.75423	9459.42898	10881.88066	11428.69219	12719.63892	15173.89551
150	180	16245.0269	14201.69199	16080.78889	16766.38441	14069.85742	16009.05305	15479.45419	16464.04385	18052.18341	15474.36045	17771.20463	17579.38746	17234.67642	16819.73392	17695.51205	16379.41918	17237.91097	16390.77026	17482.10984	14624.94925	15012.06463	11952.76937	13062.58398	13513.71336	14134.03369	14056.66214	18968.09784
180	240	20099.76409	14159.13057	20255.16987	19661.78697	20623.68164	20136.60445	18950.85167	19326.62847	22201.61762	18865.99781	20205.70948	20318.34083	21001.13086	19433.49655	20368.37958	19218.7198	19967.15471	19729.16029	20290.93551	18695.91362	19437.50829	14446.20801	13201.01042	16111.08136	15842.01714	16737.68	22858.9613
240	300	21151.63469	16784.69502	21702.96441	23941.04609	22619.41016	22918.80516	24048.54598	22450.93934	27057.82239	20340.38636	25953.63325	21935.80526	23968.31897	22653.35363	25375.80234	21943.20644	24969.01322	22120.5502	25608.39464	19881.95259	19746.24186	16144.42822	16082.46322	17616.53242	18159.7688	20557.45089	21884.88238
300	360	21488.53251	18742.71357	22540.46853	24313.67349	20858.375	23148.62852	23622.6085	22208.35524	27347.56308	20439.96583	25436.90757	23120.02749	26816.52775	22751.04848	26174.66343	22575.19349	25487.91645	21983.54918	26044.00973	22651.26241	22686.15497	19238.27214	16999.56717	19844.2211	19932.63861	21006.38546	22974.13882
360	480	24838.27175	18063.77451	24986.81073	25509.51946	23351.25	25554.20782	25411.38387	24200.58222	27897.56501	21571.85532	24762.29272	22486.72419	26659.88436	23202.93828	27055.45405	22865.63764	26623.91129	23301.51524	26183.34891	21389.30166	21807.55221	19746.63574	18499.56532	19420.38945	19456.7744	18743.9142	24747.28798
