frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
0	30	6e-05	0.27341	0.0	0.00362	0.0	0.00053	0.00068	0.0093	0.00323	0.19321	0.00266	0.07418	3e-05	0.00379	0.00089	0.01941	0.00113	0.02761	0.0018	0.96969	0.18064	0.24835	0.07149	0.02582	0.00752	0.00919	0.0597
30	60	588.30125	515.71037	513.76485	685.00487	444.04956	842.7361	1102.22896	840.3625	928.50079	406.31156	537.31203	751.07857	528.52749	546.81775	695.66607	596.34065	691.56989	566.45457	699.08977	365.991	523.68543	534.74689	537.29739	616.19893	577.86457	711.92458	339.1436
60	90	7056.8434	7426.91873	5123.24468	6177.11976	4311.99805	6531.58655	6105.49507	4846.97718	5981.09436	5941.44013	5984.30587	8262.60509	6211.26694	6097.38085	5893.21675	6271.00944	5710.45906	5839.58885	5897.87697	4743.451	6403.42992	5620.27373	5549.16469	6729.72299	6703.70765	5321.38239	6478.27678
90	120	10565.59275	9813.08359	10837.18722	9782.00589	11122.40527	10079.15336	9952.06315	9146.78294	10366.6396	9995.48212	9774.27894	10281.33084	9809.76521	9824.59249	9393.29685	9916.49093	9681.94086	9981.69126	9670.50081	7395.17406	8310.67796	7819.01455	7775.55336	9206.68604	8788.91467	7126.70285	7900.1333
120	150	15819.9394	10951.33677	12917.74585	14783.98534	12229.6709	15321.28336	15183.68538	13091.67578	18006.00119	13040.03763	14737.51398	14818.05907	13655.11609	14864.75928	14827.53514	14695.58047	14733.09903	14002.45243	15233.68572	13044.65014	12958.74049	8922.84473	8715.86795	10450.07168	11468.62975	13140.13969	16558.99473
150	180	15281.84133	14201.69199	15934.47297	16718.61261	14069.85742	15709.60705	15917.30333	16292.05345	18410.15157	15274.70158	17013.0221	18529.09652	16537.14473	17925.072	17185.36974	17179.05271	16921.1262	16434.2548	17187.35796	14094.78526	14881.99693	11767.52539	13455.90206	13545.61713	13955.57549	13961.61659	19123.38394
180	240	20679.59346	14159.13057	19755.5577	19464.12102	20623.68164	20413.79359	18792.1568	18954.71017	22162.68274	18949.83654	19585.70099	20386.98391	20304.4472	19352.29359	19209.97435	19058.47993	19462.02194	19662.23947	19701.9688	18377.09729	20178.55737	13839.42734	12905.56403	16207.88495	15942.42284	16594.3612	24619.18516
240	300	21360.73833	16784.69502	21372.73558	23947.06421	22619.41016	23822.12983	25363.03289	22715.48393	28124.75593	20495.05966	25509.29375	21994.8971	22837.93375	23414.42221	25001.63239	22645.23605	24708.53809	22511.12595	25525.95391	18854.72675	19270.89681	15616.78145	16247.49916	17339.64577	17987.58035	20158.82863	21751.97881
300	360	22341.21851	18742.71357	22016.78512	24441.6527	20858.375	24526.60835	24939.64539	22493.29225	28491.77305	20681.42467	24789.55334	24015.60655	25810.90472	23965.65875	25654.92589	23631.45047	25250.10069	22462.85956	26049.25783	23031.76949	23588.78045	19193.29141	17224.14648	20336.59265	20491.13331	21767.82142	23636.68721
360	480	25958.76763	18063.77451	24924.72697	25546.56646	23351.25	27201.47475	26650.10149	24676.2934	28885.31934	21808.03978	23977.81795	22442.93459	26042.12933	23750.53223	26836.55837	23430.92319	26424.82925	23774.5128	25932.04038	20874.42971	22026.56791	19459.44297	18664.46289	19485.64363	19616.80224	18067.74601	25630.71289
