frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pc	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VM	Right-VPL
0	30	9.30222	9.68088	56.36253	10.37309	52.40629	43.69331	79.90747	80.5192	54.0817	53.87244	106.25864	42.8346	19.61929	50.00893	85.97777	40.39192	65.16206	13.15359	13.10906	18.79892	42.67023	30.56351	35.54124	15.85426	7.7483	295.66889	66.93533	262.56278	22.72893	299.20043	236.33799	106.22547	99.21954	80.82557	58.43963	3.95934	51.94632	91.81021	73.41184	165.52575	83.13689	9.50134	11.25334	18.25911	61.3975	17.32209	59.78857
30	60	5865.75692	4364.34546	6502.09858	4807.05696	5704.48594	6442.23505	7168.45957	6423.14258	6941.51974	6239.8777	6387.58371	3756.02485	4549.5438	5858.73461	5917.52173	6363.44579	5916.38792	4181.64944	4219.41729	5330.98274	5844.40992	3789.06143	5128.11356	4966.99618	4288.77797	8421.65788	6084.98131	6354.97552	5260.63763	7068.9708	4853.1082	7429.0413	6652.22079	6431.43419	3116.28101	5080.16455	6747.39377	6685.18305	4876.03985	5939.25875	5281.44357	4196.77136	3985.1055	4678.70441	5317.91896	3358.99634	5363.02164
60	90	16059.30349	12989.14052	21627.05716	16426.42063	17823.36471	14375.89643	20269.08834	16985.57678	22194.27972	21685.30939	17323.1207	12678.25312	15191.45811	21313.80723	17802.99983	16572.02508	17977.53125	10624.51617	12339.23945	13855.11674	16766.00301	13061.55625	14999.3786	18447.91837	14137.69797	22195.55176	15817.17333	17865.29615	16328.7861	20507.06714	13769.73398	21036.31364	21137.80687	16215.93885	12740.53867	19452.96484	13748.94202	22483.84512	14817.80909	18605.13698	16584.30942	14177.79075	13194.4661	15433.98598	16422.53635	11165.87467	17070.63538
90	120	31415.84565	25454.96215	41860.37904	29520.99691	37146.9707	27408.16646	36976.18594	27312.1521	39359.84198	37605.00855	29367.2244	25110.8957	26256.08772	40307.26399	28209.26653	33532.0956	30941.96728	24691.77523	24452.66406	30254.53351	30349.01678	25051.30781	30011.71065	29987.93312	25030.92125	37492.861	33102.56348	34014.61931	27512.94332	38056.56917	25535.06602	37989.46223	35224.36264	27608.46281	22795.85664	32990.17969	25634.60957	38761.60676	29228.95243	31783.53787	31748.76585	25818.2675	24697.12751	29086.05249	32118.84115	24284.40104	30763.41197
120	150	44968.25265	36151.85668	57802.44948	51039.49083	52288.33382	41589.87815	60227.51544	41170.97412	56313.76522	53108.05533	43338.71083	33192.51875	41545.60442	60424.04635	40605.16307	48852.3947	46317.34937	29946.16537	33369.98281	38453.8575	46902.95616	35331.1125	45629.18622	49163.20625	37534.45983	53777.69922	52146.06194	43462.82405	44051.42383	51194.53164	39223.45391	60640.0466	54906.16467	44838.39088	32316.96836	46967.73438	42576.74766	61453.45698	45022.77991	51253.58729	47160.2732	37262.12058	33862.79408	44195.15666	48580.68353	34879.8151	51782.93431
150	180	48576.90347	41994.50048	63233.34922	54773.47279	56199.91309	45963.78574	64574.05769	42031.57764	65739.06886	60829.42103	47846.58098	34732.82988	45179.9601	67248.55812	46193.76996	48247.89339	51790.84968	39546.6187	39282.05703	44542.6457	49674.4289	43391.12422	50047.72679	44202.28595	40384.58042	57754.07943	63554.54735	50368.55469	47488.68837	58671.02754	39718.91016	65426.70314	58843.63942	44578.27683	36421.2082	51604.0	52336.89111	67608.74555	47111.76212	53161.65212	50872.97194	39113.2743	40025.70592	48132.85157	54325.46813	32732.91732	52509.25696
180	240	51508.48143	44994.92087	65258.81797	57743.12182	53548.04248	46206.8556	66805.84996	46127.23242	69373.62525	63075.70968	51975.27724	41374.27461	47202.64987	68537.81779	49186.17515	55807.34859	53365.47046	40074.85663	40746.83906	48048.46896	54913.80591	37668.33828	52028.00395	44990.64191	46951.99892	59123.0599	59929.96794	48152.76189	42039.26572	58968.86615	43490.52305	66168.94609	61107.08775	48638.40435	39979.29141	57362.99609	48656.85791	64482.11426	48683.01539	54751.96642	49479.63188	41223.89682	45241.17522	49878.52427	56475.54072	41249.16016	55942.49629
240	300	46412.47166	41518.84752	58257.4474	58660.82701	47040.77262	45370.34372	59708.22356	45035.15576	64866.15742	58376.46118	51396.93597	35145.10898	50830.5105	68205.04172	48701.37217	53824.2545	51465.30065	38370.32109	37186.73984	45934.88063	52974.03003	42108.17266	53192.84429	42548.61663	44296.91214	53094.50781	56998.80748	42626.71926	43064.72656	54342.04375	44440.74219	64664.25319	57544.44613	49151.8162	37223.91094	58777.85938	45325.52461	65737.24501	48358.51693	55558.40681	49791.62298	40982.56183	42684.64397	50432.39928	54476.48556	33969.98177	54477.67642
300	360	43589.69323	43310.63883	56804.21198	54581.67554	47061.59212	43661.58575	55755.54775	42539.8418	63245.19769	55351.08934	46758.15435	38743.64414	47205.54374	62636.34121	46625.15119	51414.48599	49769.08441	39098.87742	40360.71406	47062.67037	52660.07471	35866.84688	49576.47767	45171.33475	44658.02921	53423.6569	59751.26551	40983.64258	40481.92164	48970.86481	42148.86523	61256.92336	54588.76909	46189.51527	37514.89687	56299.66016	46684.98525	61322.35643	44469.57373	55868.52855	45167.85995	43036.61159	42075.93527	49974.4298	55029.61427	38102.13672	55466.4003
360	480	42882.36297	41285.23327	52668.35573	51277.38068	42625.14103	39582.13142	48772.17951	38419.94434	56573.18522	50412.1973	44729.35352	36113.25625	42308.66786	57890.91529	42884.9346	47820.08101	44883.81705	38484.08333	38686.37969	44310.37696	47917.80662	36058.81797	46229.07091	38705.74913	39704.3806	47937.08659	51608.0952	37168.75849	39940.24082	43708.96538	41920.53867	54987.67807	49092.76789	42791.91118	35972.87656	48853.75391	43953.28994	55000.20903	44569.81295	49172.92591	41861.65046	38908.13118	39804.06473	45349.12416	48534.21389	34593.79688	48906.56993
