frame_start	frame_end	Left-Cerebral-White-Matter	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-choroid-plexus	Right-Cerebral-White-Matter	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-choroid-plexus	AirCavity	Skull	Vermis	Pons	CSF-ExtraCerebral	Head-ExtraCerebral	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula
0	30	47.67821502685547	0.5994253158569336	44.15625	29.6355037689209	22.584978103637695	92.49152374267578	68.41913604736328	28.481595993041992	16.822887420654297	173.28555297851562	75.27898406982422	370.55413818359375	111.61054992675781	330.5214538574219	45.250404357910156	4.937142372131348	51.40518569946289	79.57675170898438	14.767213821411133	27.892547607421875	26.187868118286133	18.655994415283203	225.28024291992188	161.81170654296875	98.80403137207031	108.50741577148438	23.984407424926758	90.28459167480469	124.42436218261719	71.68864440917969	44.50591278076172	42.750587463378906	2.122880458831787	19.324291229248047	159.6702880859375	68.3065185546875	350.2106018066406	74.88408660888672	43.474388122558594	64.70861053466797	125.56400299072266	-30.82363510131836	90.33494567871094	23.654935836791992	103.46208190917969	-27.17695426940918	187.71405029296875	-15.949606895446777	75.92668151855469	-20.677536010742188	3.0484466552734375	63.19752502441406	31.15846061706543	59.05868911743164	16.739723205566406	79.73206329345703	27.437602996826172	38.00635528564453	57.42970657348633	-40.02254104614258	32.24165725708008	4.453550815582275	1.5564872026443481	25.37178611755371	203.30340576171875	182.8405303955078	224.64511108398438	22.857786178588867	30.177692413330078	-14.860836029052734	204.39527893066406	88.63285064697266	70.72516632080078	41.27688980102539	127.6343002319336	30.685300827026367	163.43812561035156	70.08284759521484	112.73116302490234	63.595882415771484	-25.677427291870117	90.65758514404297	164.14356994628906	-11.319225311279297	31.18442153930664	149.1712188720703	77.07128143310547	-39.12941360473633	28.73698616027832	60.473670959472656	245.9013214111328	19.892215728759766	51.0833854675293	17.149799346923828	104.57221221923828	120.08592224121094	-9.914628982543945	-33.99375534057617	87.02953338623047	101.24727630615234
30	60	1886.762939453125	3074.3271484375	5471.0185546875	6739.55517578125	8745.2109375	7878.97705078125	3815.8095703125	3247.712890625	5338.4853515625	4609.3837890625	1595.55126953125	11317.279296875	5598.9609375	18121.162109375	1819.6817626953125	3415.767333984375	5614.228515625	6742.56787109375	6879.61767578125	7525.4931640625	4492.2255859375	6063.81884765625	3257.502197265625	3879.316650390625	5851.59130859375	12385.3994140625	226.15928649902344	1416.5753173828125	6939.47119140625	4293.37451171875	5081.2236328125	1054.6689453125	6900.71728515625	4991.68505859375	10266.8505859375	11183.4169921875	6589.54736328125	6921.53662109375	7899.7470703125	5605.54541015625	7124.09375	7923.052734375	8818.0869140625	7099.697265625	10201.9619140625	6897.564453125	4732.57470703125	5178.51220703125	9903.5283203125	7034.80615234375	9636.01953125	14647.146484375	7991.8232421875	8890.33203125	8357.79296875	8545.8359375	7707.4443359375	9939.810546875	8910.447265625	5180.37255859375	5897.96826171875	9067.7763671875	8544.859375	3925.250244140625	11191.2958984375	8842.5087890625	7805.33740234375	10304.0859375	7880.005859375	9071.01953125	8384.861328125	5676.18017578125	7469.4736328125	5757.23583984375	7537.95751953125	8805.3994140625	8258.86328125	9793.3349609375	9005.90625	6207.16162109375	4697.54541015625	8829.30859375	8428.87109375	7030.4140625	7892.76513671875	11928.5400390625	8306.6171875	8853.5517578125	7181.568359375	7772.40673828125	12452.66015625	7560.66015625	8161.49853515625	6078.8359375	7133.7099609375	7735.14404296875	8867.771484375	3752.9404296875	16851.611328125	7225.3681640625
60	90	6065.85205078125	10469.412109375	18304.177734375	19989.06640625	23398.9140625	25958.455078125	12765.1064453125	11608.1943359375	16641.015625	15871.091796875	6245.37548828125	20572.33203125	12464.0771484375	46569.12109375	5846.23974609375	10831.90234375	18224.091796875	21247.056640625	21138.4609375	27004.677734375	10071.95703125	17894.8671875	10923.0107421875	19235.068359375	15413.3125	32062.287109375	543.4934692382812	4147.48779296875	20564.873046875	12756.9658203125	11811.427734375	3527.5419921875	24557.07421875	11238.0322265625	32821.3984375	29964.7890625	16006.810546875	21228.4921875	25846.943359375	19617.779296875	23751.630859375	25721.6015625	25954.208984375	24369.37890625	27795.966796875	22827.568359375	12724.853515625	22129.798828125	30198.59765625	20778.732421875	29595.0546875	40708.47265625	27834.625	24209.8671875	27712.47265625	27921.548828125	22751.142578125	31796.4765625	27584.67578125	23037.677734375	20211.79296875	28725.44921875	32275.8671875	11440.6376953125	29442.537109375	23542.283203125	26589.92578125	30226.009765625	27547.404296875	30899.337890625	20640.205078125	18797.478515625	26859.296875	19569.6796875	24272.546875	31246.744140625	25330.396484375	26845.8359375	27191.681640625	21349.29296875	13577.5166015625	26635.06640625	24922.57421875	23492.482421875	26552.12890625	42533.953125	27712.53515625	26463.142578125	26159.61328125	27193.40234375	31673.490234375	27650.98046875	28801.267578125	24105.158203125	21192.05859375	27693.447265625	25075.3359375	9865.89453125	36997.39453125	19621.6796875
90	120	12110.1337890625	19661.568359375	33750.26953125	37640.640625	48529.7421875	46207.29296875	24805.015625	21882.158203125	29730.9296875	27224.9609375	9603.291015625	52755.15234375	26843.255859375	64558.5625	11121.7431640625	17705.39453125	34369.41015625	39002.1484375	43727.875	48653.60546875	21495.845703125	32531.16015625	25794.009765625	34144.82421875	25628.904296875	68265.359375	1270.837158203125	6931.47607421875	35684.265625	24620.453125	18480.361328125	6007.94921875	49051.046875	25979.87109375	59331.28125	57417.96875	29359.16015625	38048.18359375	47750.65625	37121.89453125	39642.34375	50693.08203125	48274.55078125	46153.14453125	48863.3046875	41611.9609375	24784.9765625	40897.3515625	52784.4609375	35951.41015625	54751.4296875	79684.1015625	53872.3671875	40216.26953125	50071.7578125	51932.25	38588.71875	57583.0234375	50416.6640625	45208.2890625	38645.1796875	52056.55859375	59174.43359375	21792.359375	64756.8984375	37034.46875	46147.203125	47199.4453125	54116.8515625	60561.1015625	35824.47265625	34591.53125	52882.73828125	39131.5234375	42851.40234375	58186.69140625	45118.48046875	50524.77734375	52197.0	39713.54296875	20504.935546875	55047.8359375	48707.76953125	42050.6484375	53521.63671875	79009.03125	53478.29296875	55047.0859375	50745.3515625	53178.75390625	53103.7109375	52102.140625	52726.84765625	48498.94140625	40624.92578125	52015.5078125	46533.15625	21137.2265625	79645.90625	36290.79296875
120	150	17876.05078125	28430.216796875	49700.078125	54239.578125	72544.7109375	76287.5625	32674.4609375	30108.68359375	44329.70703125	35429.5	13254.1318359375	52472.84765625	37786.5390625	115455.03125	15928.3330078125	25184.94140625	51124.30078125	60729.76171875	65439.5703125	75801.6484375	30675.40234375	45536.8203125	31815.54296875	40794.265625	40183.6171875	102004.1875	1895.022216796875	9760.5498046875	55484.26171875	38474.8359375	23406.9609375	10066.6845703125	72582.3828125	35350.30078125	87048.65625	89122.5859375	39543.08203125	57375.87890625	71131.5234375	52308.48828125	57696.75	75721.9921875	66557.15625	69715.5	66292.4921875	60663.47265625	36049.390625	61518.35546875	79302.3671875	51983.11328125	78358.1796875	115062.390625	78999.0546875	64182.234375	74664.4609375	75695.234375	58035.78125	86887.578125	74404.125	69643.7734375	59479.0703125	75918.0234375	86595.15625	30510.189453125	85539.640625	55803.7109375	64406.765625	76547.828125	77165.3203125	89708.859375	48333.0546875	54262.8515625	78185.2421875	60006.734375	66516.1640625	85404.953125	65059.1640625	74633.875	75330.2890625	62235.33203125	35442.95703125	79411.3046875	72988.2265625	66565.171875	78156.765625	115104.8359375	78410.21875	77555.9921875	76906.5625	79249.1953125	75951.2265625	80457.46875	78428.375	76285.734375	61351.18359375	74710.4765625	65557.8515625	30906.033203125	103417.15625	48449.20703125
150	180	19553.41796875	30603.544921875	56807.296875	61427.3515625	78592.75	83074.9375	42746.0625	36103.15625	51179.0859375	39205.98828125	12234.9052734375	85863.0859375	41403.2890625	102439.578125	17629.919921875	27266.626953125	57455.890625	65617.1875	70434.578125	84590.6328125	32001.919921875	51689.36328125	37190.51953125	38129.8046875	41639.84375	100127.140625	1654.689208984375	9977.853515625	70539.3984375	45070.55859375	19093.97265625	11628.7353515625	83444.6171875	46319.61328125	99790.90625	97346.515625	45259.0859375	64743.71875	81426.8046875	60159.87109375	64687.60546875	87977.046875	75780.4453125	78497.7578125	74267.3359375	70356.6875	41223.39453125	78137.5703125	86782.9140625	67523.484375	88889.3515625	122870.546875	90798.328125	72418.3828125	86065.015625	87078.59375	64892.80078125	97922.2890625	87174.453125	85305.5	66508.4765625	88063.5859375	96966.921875	40619.33203125	97566.546875	59799.046875	77587.296875	73809.5703125	92447.3984375	101077.65625	46399.5390625	57806.41796875	90867.734375	69948.6796875	69865.6171875	99395.453125	72751.0625	83997.75	86979.0390625	72172.09375	37880.328125	92766.9296875	78571.8203125	74249.6796875	90912.2734375	126435.03125	91366.7109375	89491.65625	87173.0234375	89746.96875	84512.953125	90827.7734375	88956.328125	89350.625	67551.296875	84927.1875	73622.0703125	39170.26171875	115951.4609375	54361.19921875
180	240	19844.791015625	32353.10546875	57730.48828125	65207.9453125	82639.875	86342.375	41537.15625	35883.30859375	50023.86328125	39662.4296875	10698.884765625	75527.9296875	40365.8671875	103905.7421875	18572.96875	29563.9609375	57814.0234375	67090.703125	72294.3046875	86275.25	37771.92578125	50222.19921875	38698.671875	53867.72265625	41340.75	98839.953125	1641.3409423828125	9922.71484375	65426.34375	44609.61328125	16248.185546875	12174.2841796875	81859.03125	52702.14453125	99739.90625	100940.0859375	53070.57421875	66200.5078125	83021.1015625	63137.51171875	70026.90625	88288.8515625	79478.2109375	78787.984375	77312.609375	72632.0234375	45365.53515625	81129.7890625	84937.546875	66531.765625	90357.21875	126265.9921875	89153.09375	75786.140625	88573.1171875	87264.265625	68971.8203125	98872.828125	88076.1875	88574.6171875	67584.6171875	88295.1484375	98961.71875	43407.74609375	91805.2265625	59970.96484375	76890.5390625	82617.0234375	90617.8203125	101939.796875	50600.80859375	64365.66796875	91939.0703125	71425.3671875	68183.3515625	100864.53125	75361.1015625	83874.5546875	84706.1328125	75014.640625	36287.48828125	90745.5859375	81202.109375	77167.3046875	89645.640625	123436.40625	91217.921875	86047.296875	90033.03125	90870.0078125	76757.390625	93662.0234375	90200.9375	90885.84375	68567.1796875	85140.21875	78464.453125	41965.19140625	111718.4453125	53821.37109375
240	300	20560.412109375	32077.748046875	55541.44140625	63197.01171875	82312.03125	78793.3125	43630.98828125	35950.5390625	48915.13671875	39509.10546875	8502.7783203125	63955.16015625	41147.73046875	88108.9765625	19143.669921875	29852.01953125	56125.66796875	65645.6484375	73194.2265625	80318.0234375	36889.59375	48797.73046875	38945.33984375	45716.13671875	42294.1640625	79053.578125	1598.2181396484375	9991.4072265625	61711.796875	43128.625	12914.9375	12449.56640625	77022.6953125	53419.16796875	93733.9609375	92246.6796875	52895.30859375	64508.3125	77469.9140625	59528.03125	60220.19921875	81895.5859375	74196.09375	72122.4375	73523.59375	70769.375	45902.3828125	75800.0546875	82287.7734375	67088.09375	82069.765625	112792.6171875	86538.4921875	72939.6171875	83029.3984375	83337.859375	67446.1484375	93433.2734375	83963.921875	84696.1484375	66093.7578125	82170.2578125	97962.7734375	44615.703125	86283.2109375	57855.80859375	71621.9296875	77638.2421875	86886.828125	96925.890625	48222.1796875	58857.984375	88215.2265625	67819.4375	63984.62109375	95297.1796875	72891.2578125	80849.7265625	81172.765625	73154.3671875	41875.359375	88105.15625	74440.265625	72799.578125	86015.5546875	108552.796875	86474.9765625	80132.3671875	85308.0625	83597.90625	71257.1484375	89816.578125	84970.5703125	89356.7578125	66338.9140625	82552.1640625	75580.140625	40873.95703125	103865.6953125	54913.78125
300	360	20782.6640625	31003.083984375	51642.953125	60772.25	74907.1171875	75229.6796875	43913.3828125	34621.3359375	45342.49609375	41623.63671875	7266.529296875	70477.3671875	41506.84375	80740.078125	19377.001953125	27691.25	53011.0	64306.13671875	66963.46875	75386.0703125	37714.94921875	44898.921875	39718.35546875	44013.12890625	40089.984375	70018.1015625	1524.7684326171875	9888.4501953125	57387.02734375	41543.9921875	10473.3935546875	12610.0087890625	70280.8203125	48313.765625	83857.2265625	84421.5703125	51547.49609375	60375.19921875	73007.3515625	57125.94140625	58851.1796875	75487.2421875	69908.421875	66451.0546875	70848.421875	65745.8828125	42460.71875	73233.6171875	73452.421875	57139.82421875	76299.7421875	94770.0703125	76666.5390625	69048.890625	76894.7578125	77738.9296875	62477.56640625	86295.96875	78313.0546875	78575.796875	62836.25	77282.9609375	92979.8671875	46144.91015625	76122.96875	55808.21875	69085.7109375	71266.125	81044.890625	89421.453125	46875.79296875	57672.48046875	82232.265625	66015.65625	57130.28515625	86942.65625	66187.9609375	74382.171875	75777.5078125	67508.171875	40019.73828125	81036.5	70746.71875	64903.15625	78728.234375	97415.96875	79447.53125	70842.109375	78213.6796875	77734.2890625	67737.84375	82019.265625	77600.3828125	82718.3359375	63172.87890625	74135.5625	70151.34375	44066.96875	88093.6015625	53456.98828125
360	480	21095.556640625	31507.18359375	46447.79296875	56175.953125	67295.9375	68112.1171875	38030.96875	33569.79296875	42530.6640625	42460.69921875	4628.3330078125	55955.0859375	38677.5859375	63492.50390625	19728.470703125	27547.529296875	47283.5859375	57893.5546875	59906.11328125	65518.14453125	39977.3515625	41333.1796875	39809.86328125	34915.3125	39695.55078125	57629.62890625	1537.4703369140625	9707.798828125	51922.90625	39215.43359375	7619.1220703125	12677.365234375	63310.09765625	47163.125	71760.0546875	69628.9375	47885.62890625	53435.07421875	63002.8125	51715.80859375	49806.34765625	64952.90625	60365.765625	60443.875	61142.828125	58372.92578125	40468.6796875	67032.1796875	63921.51953125	50441.51953125	65598.21875	76672.0078125	67101.796875	57190.93359375	66728.2578125	65893.015625	56033.59765625	74190.8671875	67875.78125	68541.796875	56647.80859375	65923.546875	80407.875	45737.828125	62013.2421875	51575.01171875	60525.37890625	64212.24609375	68467.78125	77724.8828125	44683.35546875	52434.91015625	71274.921875	59565.8359375	53403.390625	76328.1875	57934.5703125	62727.59375	65659.3046875	61030.78125	34483.97265625	68177.140625	59109.52734375	59551.8515625	68273.2109375	79728.1484375	68195.1953125	64316.7890625	68749.5078125	67041.2734375	60146.41015625	71254.7265625	68175.78125	72703.8125	56500.1640625	67340.859375	64626.2109375	41353.02734375	71627.9375	48911.17578125
