frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VM	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VM	Right-VPL
0	30	19.0208	14.54986	4.29056	23.4937	3.99687	36.64785	3.9638	141.51346	25.13118	15.31591	287.57802	3.0713	29.93391	4.6113	93.62168	2.79925	7.61759	28.61057	6.94653	7.2602	9.68109	18.33616	5.36292	7.61646	15.04625	49.61714	4.97502	23.44202	74.5261	43.04544	9.77379	35.59917	14.72713	25.12335	24.05718	8.14512	4.36659	28.70168	4.32615	12.70453	16.96414	28.20774	21.77254	39.0933	9.75621	2.63892
30	60	2936.78815	1898.03801	2256.47704	2406.77303	2011.86971	1580.37741	2959.64712	2699.68052	2728.52148	2627.45841	2317.33514	1937.92654	1742.56198	2437.89914	2148.41311	1928.68934	2080.07995	1552.24426	1448.24722	1857.48388	2407.19228	1244.32513	2120.77602	2825.1113	2347.13997	2540.35428	2273.27887	2265.28037	1726.78587	2702.37313	1958.27266	3109.64187	2702.32326	1929.03678	1966.49573	2075.04941	3157.94552	2293.76662	3017.11244	2404.18142	1812.14192	1817.09661	2038.01648	2331.02062	1634.11096	2404.15256
60	90	7089.93251	7131.06553	5460.12104	8328.66075	4588.65541	5453.35651	7774.66763	8692.48935	9152.16192	8953.5205	8644.97278	5710.36754	5916.79989	8443.03834	8089.93722	8041.7285	7516.3462	6555.46997	5658.86823	6763.54063	7524.44531	8464.59611	7234.74574	6972.95226	7832.82081	7775.71519	7568.8674	7251.6877	6699.15423	9847.48073	7582.46079	9975.73684	9252.87215	7710.97012	5887.94883	6856.56957	9610.26752	8041.70566	9579.35523	8443.0768	5931.07982	6289.37114	7232.83806	8115.71652	5590.00146	7882.13209
90	120	13255.42137	14215.93638	14005.54297	15736.31788	13461.1129	11028.193	16426.73994	14322.808	17273.51635	16712.3998	13366.69756	12388.13326	11513.49358	15603.28931	14942.4594	14951.71304	13317.67269	11789.21628	11132.29602	12669.75	14612.43117	10627.52588	12618.98643	10852.36096	11562.60106	12140.78418	15643.07405	10604.37678	12690.29753	13996.02885	11388.52969	18587.61917	16895.22063	10501.79104	10383.69687	11012.70467	15441.08963	13235.1872	15632.28135	14124.55827	9388.39924	10911.40742	13398.98235	15144.42378	12443.75586	14187.15624
120	150	15635.13907	16183.64395	17554.00344	19662.49936	14889.06558	15877.74326	21375.20412	19494.90442	24153.13467	21303.45577	20999.41192	13977.31685	16035.64094	23419.90557	19560.39676	21421.13944	20352.57014	14505.25841	15026.81458	18231.91572	19804.59209	12854.31999	17465.36686	16773.63161	17010.08556	18723.0375	23575.73417	16478.33071	17138.52771	18088.13504	17403.58799	22459.23048	21148.59079	17724.46116	14569.71133	19079.02048	21498.04159	18240.36938	20698.23163	17837.19757	15232.91028	15554.03301	18755.89014	21059.53405	11426.93262	19956.41083
150	180	17868.38353	19438.07102	17698.95528	25616.3152	15183.18111	17959.2836	21953.47785	18697.10972	25997.22068	23703.15316	18890.6173	17539.01287	17792.11378	29431.73367	21872.72077	23188.4743	21421.25285	16886.01636	19105.10498	18970.11952	21364.59482	17447.88688	22220.43411	17017.75231	17660.18452	21020.66191	23729.96012	14190.63383	17660.87667	21396.59012	16124.03525	27528.04708	23726.29936	20806.56156	12648.48477	20746.96784	27037.15363	21909.6693	24009.70318	20093.35974	15118.36585	14829.59668	20282.02983	25437.61638	16191.01562	23852.97878
180	240	16960.65714	21553.09066	16504.33285	24500.29154	13784.27959	18394.55243	19060.31733	21095.21232	26996.96185	23049.44124	19785.62625	17744.50728	19614.57668	25040.12755	21220.10662	21313.70337	19850.8616	16902.95133	19075.65112	19409.20024	21307.77417	17051.40446	20202.51282	15728.2375	18166.11076	19060.85107	26424.38542	14489.91966	20236.07674	20673.52148	18885.94951	26712.58616	22642.19616	23430.60628	15675.86895	19762.96846	27578.47908	21945.29115	22973.76326	21381.31022	16212.7815	16581.43398	22063.31781	24555.26349	14854.03711	22853.20904
240	300	16517.38784	18271.69202	17296.52048	25443.0831	14343.63539	16512.84202	18451.42438	20858.00176	25932.58168	22362.06315	18347.47171	14633.96094	22048.60858	25031.3179	20129.51632	22481.63973	18838.98879	15899.10807	15905.68909	20129.39736	22235.46574	15322.85026	20446.17039	14851.2295	16114.82048	17536.38711	24160.37899	11816.88889	17620.63882	18087.96915	19472.62285	25476.83728	21993.18847	21482.99757	14887.45264	20402.43099	25644.28419	21182.00992	21631.87673	18728.43544	16083.64656	15566.24678	21417.22582	24283.84632	15760.73828	22374.59889
300	360	15718.76452	18655.76925	14730.34519	22960.13988	11066.79466	17449.16353	15312.96503	17279.02719	23900.5649	20036.55207	19328.02264	17068.53569	19065.71176	22526.76272	19409.51313	19640.29415	18319.60118	16017.87017	18174.26416	19611.28185	20758.09864	13444.91423	18815.36134	14295.2747	17590.65341	17090.86611	22653.12352	11741.34058	17267.04404	16276.87034	19346.86641	24046.51966	20007.51061	18802.34918	14525.25371	19000.46408	22230.26402	20883.60389	21473.04288	18819.69043	15341.26827	17251.36309	20088.52348	22158.09105	15112.9502	20496.54055
360	480	13935.33143	16010.97954	13403.9847	19625.84806	10525.18621	16152.01895	14415.37716	16907.50258	20959.91869	18124.40711	16285.55989	12838.1606	17313.04387	20557.76383	16959.61563	17713.64513	15980.28669	14469.20557	14075.42395	17874.37026	18842.38595	15604.70182	18187.64324	13263.41824	15857.06684	15398.33428	22068.38693	10295.72756	17032.26214	15738.65756	17228.21475	22324.0395	18615.73355	18755.63281	14257.92822	18201.34279	20873.32814	19106.80798	18074.70391	15674.77584	14088.75594	15712.46748	18032.29461	21023.37104	14657.77148	20228.31726
