index	name	volume-mm3
8103	Left-AV	125.0
8104	Left-CeM	75.0
8105	Left-CL	12.0
8106	Left-CM	254.0
8108	Left-LD	14.0
8109	Left-LGN	330.0
8110	Left-LP	114.0
8111	Left-L-Sg	13.0
8112	Left-MDl	266.0
8113	Left-MDm	827.0
8115	Left-MGN	90.0
8116	Left-MV(Re)	10.0
8118	Left-Pf	62.0
8120	Left-PuA	236.0
8121	Left-PuI	223.0
8122	Left-PuL	169.0
8123	Left-PuM	1102.0
8126	Left-VA	387.0
8127	Left-VAmc	6.0
8128	Left-VLa	606.0
8129	Left-VLp	990.0
8130	Left-VM	5.0
8133	Left-VPL	1111.0
8203	Right-AV	125.0
8204	Right-CeM	71.0
8205	Right-CL	18.0
8206	Right-CM	251.0
8208	Right-LD	28.0
8209	Right-LGN	282.0
8210	Right-LP	124.0
8211	Right-L-Sg	9.0
8212	Right-MDl	238.0
8213	Right-MDm	738.0
8215	Right-MGN	93.0
8216	Right-MV(Re)	10.0
8218	Right-Pf	65.0
8220	Right-PuA	220.0
8221	Right-PuI	249.0
8222	Right-PuL	176.0
8223	Right-PuM	1208.0
8226	Right-VA	367.0
8227	Right-VAmc	9.0
8228	Right-VLa	563.0
8229	Right-VLp	869.0
8230	Right-VM	3.0
8233	Right-VPL	1039.0
