frame_start	frame_end	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter
0	30	301.30094	470.444	483.98773	571.44791	672.70366	481.66192	652.42038	524.12297	516.56049	503.9841	535.77447	787.4703	520.41865	415.05318	768.62834	586.69823	581.83941	439.80985	311.02823	508.26204	521.43268	589.45915	628.93148	550.67381	615.81483	402.91453	834.9166	602.59296	529.93547	609.77162	1024.05948	417.73326	1514.08493	314.4572	602.36226	351.37778	275.10657	388.68297	714.92448	701.83673	708.027	702.96278	815.21651	653.85488	521.96976	632.12341	823.30701	550.04755	678.35912	733.94452	615.14448	664.24133	575.02258	614.13888	663.92763	668.66339	737.79622	751.05997	604.60064	732.5339	723.40704	690.1003	843.78609	638.78079	657.29139	633.57935	694.26235	643.99593	594.83659	618.53709	1128.7695	705.94938	564.17743	896.32187	582.79377	668.31369	737.40228	559.43303	595.45307	592.20529	765.13607	566.87	609.85067	830.7923	674.72333	609.46611	636.05992	741.31824	619.95828	678.01347	694.82108	852.71191	641.87744	797.43845	650.06747	679.63189	799.55967	632.28618	651.25972	640.95549	693.55448	639.04354	498.55636	571.64265	914.88681	789.83604	526.08069	413.0574	596.8499	524.60094	569.16871	494.36327	450.16224	479.59326	411.1582	467.47663	511.28783	608.3392	472.99701	429.61861	710.97752	368.62697	494.32827	693.77739	445.85846	555.92386	482.22696	434.76594	500.07346	458.71824	394.19946	480.03172	513.15785	530.11207	516.62084	430.58395	652.0705	709.48425	834.44999	486.39071	331.6948	466.09795	504.78114	508.89714	359.2879	378.63311	559.02725	463.02922	455.36376	523.81054	387.12815	683.41173	480.99707	471.30467	604.1698	501.54133	403.39133	639.93381	480.08581	555.78025	562.99689	486.83454	452.0387	467.49841	550.62143	511.87852	467.39139	515.08118	479.56329	390.70488	471.34823	448.40571	582.36719	468.8643	289.68007	274.38753
30	60	2108.44865	3269.74524	3742.74183	5344.39183	5079.46425	3760.02422	5669.12533	3943.06071	4300.49393	4287.47734	3801.20126	4495.93538	3202.7846	3851.09264	4721.39699	3946.4472	4443.85686	3292.42702	2187.08066	2534.4517	3869.70892	5160.49371	4825.02833	4088.84982	5332.98558	4214.24412	3896.85564	3668.75647	4731.51827	4185.19193	3361.27597	3332.97304	4581.46184	2696.42055	2808.50777	2505.90381	2862.56139	2527.8051	5247.7111	5896.1994	5360.94597	5820.85917	4883.8387	4835.78055	4405.44497	4859.38954	5770.08393	4731.57025	4756.10308	5422.91408	4173.92074	4592.58686	5194.49912	4955.12286	5049.7795	5351.89913	5527.79914	6298.64492	4356.99242	5985.66001	4971.43842	5905.69584	5611.01482	4965.70926	5044.28579	4563.28492	4766.27911	4912.35673	4096.22805	4131.07838	6344.51412	5096.42607	4637.28097	5674.09973	4993.80801	6082.48654	4420.20076	4736.96404	4618.46397	4490.49174	5096.60686	4948.43087	4427.48172	5576.77168	4209.31869	4377.40602	4113.93438	4832.28325	4985.24732	5313.9504	4969.42191	6950.77599	4532.78061	5921.41771	4623.91613	5550.87354	5558.65065	4941.05624	5030.55572	4713.8487	4661.50876	5006.09011	3907.60927	4031.38751	6909.3261	5193.30221	3477.22708	3475.62373	4015.48324	4389.06575	3991.09421	3463.20102	3723.3243	3568.15361	3328.6943	3838.45975	3414.11486	4176.86783	3597.53411	3482.74849	4398.34186	3263.47674	3784.01396	4922.52107	3682.54084	4577.86809	4147.90285	3432.25619	3426.88186	4118.78477	3149.8863	3818.74305	3994.13692	3996.48947	3520.28226	3622.28661	3770.53197	3681.24958	5602.8438	3597.50584	3032.85034	3265.04898	4142.01549	4773.68757	3945.45793	3287.85213	3991.32828	3423.22815	2955.34408	4137.07369	3446.72175	4425.38908	3136.04992	3391.68578	3920.81151	3283.74696	3606.84074	4294.99016	3727.99172	4880.36205	4299.42292	3304.90746	3736.32733	3900.42626	3441.0719	3827.62501	3851.84356	4225.5503	3930.03737	3373.76786	4000.75831	3463.46157	4608.86239	3543.55589	2188.34265	2012.96712
60	90	4148.5142	7824.34259	7660.69425	10905.21746	10811.90633	8559.82575	11522.57868	8424.78137	8249.63368	8620.99606	7491.57663	8962.32166	6982.97103	7189.93754	9568.54369	8353.99672	11191.72757	6886.4548	4351.38576	6361.22694	8130.33784	10712.34751	10374.02754	8217.29243	10109.71729	7638.42309	8429.6	7535.09695	9953.87171	7781.81482	9314.70965	6759.43714	6928.19051	5124.77458	5234.77886	5372.35951	3688.31701	4793.1655	11115.54196	10902.05092	10578.0884	12608.3677	9758.04996	9765.47814	9280.37871	9474.41442	11042.63992	9584.90284	9613.31333	11275.74392	8461.52989	9433.38707	9665.7789	9982.71417	10771.74743	10554.58044	11025.19308	12067.67284	9434.72896	13119.6562	10722.02317	12192.12094	10679.85952	10766.13234	10582.85698	9461.97029	9621.85979	9878.22419	8605.47477	8651.72482	13900.41853	9227.73206	9802.17193	12420.98804	10920.02903	12772.22452	8464.18275	9917.58228	9538.06435	9830.17981	11256.07889	9974.31844	8872.18963	11567.61191	8540.19159	9123.60525	7971.64519	10046.61573	10001.29652	10233.91704	10447.27621	13981.39718	9186.76831	11406.9734	9966.57913	11818.87853	10920.66007	10229.09462	10572.73242	9611.23509	9310.65136	10325.14985	8269.25098	8469.29082	12926.6234	9896.43818	7684.889	6465.73684	8280.61639	9774.86414	8135.93639	7386.40595	7873.87274	7411.03202	6425.3665	8052.04356	7144.33267	8916.33447	7274.07665	7171.31286	8109.56465	7075.95466	8636.30076	10362.90678	7555.95512	8756.3649	8864.34642	6931.35937	8204.42122	8750.50345	6229.4639	8528.78592	8588.18439	8405.14517	7552.8914	7675.30852	8288.96155	7282.93121	12329.69492	6976.59105	6982.34225	6884.3304	8433.82496	10093.27878	8554.40771	6794.41999	8442.24408	7247.83546	7135.91716	8115.45046	6556.53994	9233.74278	7014.89858	7312.16271	8333.55987	7232.54858	7152.98946	8260.50101	7701.29268	9724.61898	8304.84089	7088.33627	7585.8341	8066.29533	6934.87451	8096.75864	8358.25644	8398.09693	7729.87369	7503.69532	8478.92374	7725.12265	9051.91143	7229.41797	4619.70393	4383.78069
90	120	5806.44149	9764.69962	12668.81502	16545.47127	16484.76258	12379.30165	16669.26046	12071.39602	11360.25936	12193.43507	11031.71037	13478.67043	11570.70823	11684.32736	15366.76042	12769.59145	18647.37506	7880.83436	7018.73242	9354.5095	12562.05337	16563.52	16006.63502	13026.04483	16995.41303	12951.4572	12306.5766	10948.65804	14934.94016	12188.71089	15140.86408	8961.76912	8790.96245	8271.96544	8594.92403	7753.64965	6379.00606	6544.12335	16143.36475	16258.2074	16874.28651	19705.95545	14191.2246	15333.07444	14521.67914	15554.01242	16817.54297	15066.75	14613.48241	16943.55222	13397.95323	14909.00172	15135.4948	14660.82918	16136.65199	16083.41607	16588.05127	19129.7175	14479.8648	18432.98215	16019.96692	17622.26662	15574.09128	16240.49953	15667.61556	14479.25416	14667.23141	14968.0752	13110.39415	12572.39114	21494.75507	15272.20612	15443.87621	17231.41496	16192.34565	19505.90658	12053.80686	15220.13259	14955.58755	15538.73665	17210.42689	15431.48267	13242.07721	17006.76911	13144.20649	14942.22006	13541.9215	15751.26876	15277.16599	16303.9067	15991.33118	20619.73527	14375.32531	18045.08233	15225.9721	18109.39092	16205.7294	15976.3556	15686.02831	14607.57515	14147.42022	15703.35881	13013.73328	12945.81933	18653.41164	14253.11954	11913.47714	10492.01789	13327.61896	15377.68457	13084.58633	11424.70053	12296.10098	11458.33586	9719.58281	12644.26857	11135.64018	13499.11599	11716.02442	11121.50712	13482.31857	11219.77816	12687.7113	15274.76346	12002.4725	13917.62314	13767.47182	10957.36907	12659.01529	12649.87168	9428.91982	13048.68017	12873.55768	12924.36094	11922.54873	11913.33062	13809.51303	11720.28863	18509.20301	11287.34834	10436.44045	10338.74969	13472.89275	15291.23686	11968.13185	10758.593	13574.47995	11317.31262	10973.04938	13174.20991	10104.96915	14304.80593	10151.59716	11187.80416	13075.23193	11098.88382	10767.26175	13593.20008	11948.36825	14418.74256	13257.58749	11277.49708	11761.24141	12694.92761	10720.21244	12558.45399	12775.09579	13391.05339	11892.10854	11314.51831	13340.83671	11653.68758	13331.52187	10930.45874	6910.01611	6699.43757
120	150	7048.61527	10882.60993	14980.77423	19464.10155	18795.97696	15883.47007	20324.31088	14293.87954	14773.06011	13799.24828	13224.57307	14794.48246	12800.78181	12800.70783	17860.2767	13982.21938	18108.48383	9035.73585	7277.62556	10787.54638	14781.76309	19160.95486	18658.02504	15266.58973	21081.9089	15402.1252	14355.72014	12342.49306	14947.10174	14226.94284	19043.10396	10362.2313	10706.40093	9926.32247	10636.49965	8081.43763	6240.02577	7478.93976	19774.19633	19347.63912	18982.18131	23143.92493	15604.65832	18315.88528	17689.60471	18436.79843	19873.71191	17823.9146	16965.83447	19778.65934	15391.35782	18155.7934	17810.8826	18738.11824	18947.94545	19767.23364	20209.0869	23607.55172	17737.74871	21785.71824	19024.3606	21414.31387	18986.69064	19165.8978	18936.54022	17060.52317	17140.44478	17501.41417	14566.76611	14084.21457	21614.05851	16730.79542	19180.06645	19546.29568	19950.79097	22629.04133	14068.94126	18473.15146	17548.12401	18653.04098	19072.03585	18319.3605	15678.17005	20424.49931	14841.04491	17004.3604	15093.78976	18107.83939	18451.1811	19252.79649	18373.63461	24713.76153	17155.07605	20998.87123	17704.53691	21219.35909	18700.81736	18812.0777	18763.74777	17609.11697	16518.40209	18620.87929	15193.50642	14222.60006	21405.59278	16370.49541	13828.19412	11688.4271	15171.07159	18283.83416	14504.60444	13408.82977	14998.26616	13619.30318	12460.15315	15131.03728	12773.6458	16243.61747	13672.79669	13804.92462	16754.86263	13249.53396	14480.13181	18521.81276	14429.80122	16861.40352	16948.83373	13338.02639	14570.0464	15300.71667	11380.12736	15335.69849	15386.19381	15644.41017	13919.6266	13535.65435	15037.47063	13694.60798	19641.71095	12857.08814	12775.64965	11647.5787	16333.60622	18417.46273	16690.55916	13143.36967	16127.308	13980.2694	11849.76857	15526.23212	12458.67582	16817.1698	11689.84504	13068.62142	14700.68183	12915.18989	13495.84376	16495.77909	14480.39381	17880.53249	15858.38737	13105.41671	14165.95966	14508.9894	11484.58746	14775.70499	15083.13764	15998.9465	14101.15044	13644.71607	14700.27668	13523.09771	14789.69137	12878.2147	7909.84147	7978.06869
150	180	6783.99702	11807.95131	14830.8602	19184.23822	19015.90147	15446.81872	20830.23024	14232.31391	14320.82698	11819.15148	12713.89958	14325.64955	12811.26339	11923.0904	17892.43687	14702.71394	22492.13403	9519.02919	7339.95903	11720.03427	14318.38339	18986.46609	18230.93665	15221.6545	20113.17126	14465.95448	13718.88242	12373.27768	16675.73165	14274.02612	14619.63423	10425.7015	10708.06084	8823.68415	10476.11766	7719.14561	7347.61847	7318.97865	19831.70527	20441.95164	19379.8104	22134.75621	14676.9382	17792.95957	17250.85131	18793.69249	19774.26872	17720.74473	17061.38354	19095.53128	14908.97362	18026.56218	18150.67091	18470.58203	19129.38771	20450.54123	19950.10059	22817.78053	17315.22587	21138.08575	18457.58404	21559.66246	17659.45411	19313.44038	18476.56214	17156.36517	17357.46995	17622.28028	14252.86667	14213.18318	21845.91396	17460.9527	18266.42816	19583.20709	19226.58581	22112.73244	13910.72823	17886.6856	18026.60787	18259.83539	19496.05905	18346.29685	16112.68295	19751.24393	15201.28444	17391.76595	15435.32557	17646.47074	17868.27441	19374.27106	18222.0853	23893.62141	16766.76941	21778.99562	17531.65262	21370.86998	17793.62202	18593.35162	18626.20633	17879.35718	16180.05844	18458.39124	16399.89454	14052.17113	21210.19245	16912.17754	13810.08053	11828.47462	15229.40658	17789.64889	15567.81074	13206.66283	14939.10422	13977.22117	11358.98442	14988.6616	12979.6541	15651.29563	13295.58537	13491.18183	15745.89605	13395.30564	15136.35592	18971.97876	14579.59818	16999.06982	17031.42547	13257.53532	14419.96775	15381.56836	11146.43745	15512.03082	15447.20998	15785.11103	14312.93946	13731.20144	13753.1744	15009.76768	20564.72152	13359.84549	12527.59539	10928.49286	15658.94153	17962.16714	15526.67758	12713.82354	15900.42183	13930.88526	11976.92132	15326.51752	13082.23564	16797.77147	12345.42804	13602.82267	14608.28795	13154.6456	13459.3752	16646.99117	13904.96075	17676.51083	15649.28357	12894.93061	14345.70013	15456.68492	11820.26684	14877.42658	15189.10302	16144.39448	14045.65976	13706.35724	15468.24588	13320.28497	14106.66725	12990.48366	8231.05752	8217.08656
180	240	6631.07746	12199.67864	14135.20422	18519.48497	18639.5295	14538.71246	19070.31504	14502.78001	14000.79203	13421.25448	13035.34392	14050.8576	12915.87141	11530.70691	17219.81841	14159.49285	17105.93353	8868.7696	6836.50626	10525.46966	14195.72591	18408.83696	17966.99729	14356.4051	19360.14903	14573.77243	12964.02507	13008.22744	16220.44294	14507.82816	16407.46613	8535.2617	7306.01569	8856.39538	10000.85792	8637.91198	6502.72164	6649.94039	17831.75374	18650.76557	18753.29962	21076.7145	15152.14344	17549.27422	17381.09227	18006.37057	18523.40318	16985.12775	16493.01419	18550.01307	14674.0831	17726.20952	16996.86305	17921.89381	18329.08904	18986.95836	18766.73416	22144.75907	16439.14382	20667.77223	18245.83665	20402.8672	17637.5777	18664.47844	18145.31791	16472.78899	16685.85628	16856.25532	13745.61443	13961.99295	21758.00136	16328.26941	18064.96343	18763.43573	18704.16213	21191.15914	13935.74243	17558.28184	17093.53727	18197.27462	18712.74918	17896.28857	15327.69211	18808.20546	14167.67374	16855.01027	14454.85142	17891.56685	17610.15038	18245.3578	18244.31451	22439.32959	16278.05635	20328.20864	17399.74965	20191.25098	17379.20601	17950.33666	17734.34409	16884.56913	15702.67964	17626.87738	14728.40507	13621.50456	20060.36536	15932.76038	13172.63606	11705.55927	15209.25001	17253.69658	14475.35918	13197.66653	14989.44156	13472.36135	11492.29847	14630.83611	12679.96745	15486.03336	13372.12086	13318.45978	14780.46244	13516.34584	14430.31536	18196.25995	13956.4112	16070.5586	16060.10965	12703.48501	14565.55673	14876.27312	11172.93089	15114.22645	15457.99585	15302.04565	13806.81498	13899.64325	13661.62108	15782.43291	19901.16114	12514.73576	12817.36714	11291.07644	15334.87272	17488.10795	15363.05769	12726.29555	15364.8562	13594.24395	11450.98404	15230.63253	12494.16746	15707.63923	11534.6533	13241.66649	13853.71291	13298.14276	13310.62912	15966.81849	14143.74796	16443.51491	15778.16361	13347.0854	14194.6084	14560.31688	11321.48451	14671.31161	14802.20315	15753.49631	13662.25265	13621.37547	14323.56239	13146.78882	14195.20265	12604.99188	8227.45696	7878.37906
240	300	6174.14448	11039.59514	13650.39955	17508.86194	17557.24063	14073.6355	19682.08188	14328.85773	13060.8385	11638.7011	12559.29752	13105.09198	12622.89496	10062.38603	14435.4147	14018.52103	17455.85815	7978.903	6770.53936	9626.21744	13199.6034	17483.74114	16316.13079	14164.51485	18738.35038	14337.00243	12745.19608	12094.12537	15921.66667	14423.32625	14998.18319	7672.98281	7733.67693	8769.93155	9035.49339	8098.35034	6792.93041	6566.94386	17272.9586	17783.99106	17628.40024	20350.53444	15311.31242	17072.31862	15939.08497	17529.14897	17996.9954	15908.59731	15505.67512	17514.87168	13571.27618	17104.06365	16413.94868	16845.0071	17252.61788	17990.80697	17894.98398	20241.76536	15656.27489	19549.92879	17366.00531	19019.78943	16282.01779	17440.81839	17067.46042	15730.64744	15671.05413	16147.07903	12593.20303	13623.63257	19738.87853	15682.51815	16875.80672	17486.45311	17113.40037	19657.76393	13189.43483	16978.7962	16376.68838	17720.41057	17682.8363	16541.63009	14490.93053	17923.4478	14012.92176	16253.45275	14019.93572	16660.66539	15980.26671	17075.94946	17533.00715	20016.13998	15081.26147	18749.54865	16037.81862	19246.16248	16611.12068	16626.47268	16693.03307	15880.13121	14904.8055	16512.60111	13811.00465	13451.74377	18048.43546	15276.97729	13068.81971	11951.5552	14588.49776	16455.9975	15502.92427	12826.38496	13959.74348	12920.87355	11094.446	13613.6505	12554.26101	14738.72184	12748.48547	13122.84808	14624.54609	12986.15104	13737.63666	17994.55012	13345.47844	15066.54041	15194.43371	12592.68773	13985.79891	14139.14654	10178.47268	14304.47185	14827.56894	14953.13659	13309.68238	13380.48357	12734.13811	14514.59745	17940.24726	12691.97533	12524.46587	10999.8561	14788.39057	16516.36418	15693.58793	11794.47282	15270.38964	13484.90281	11269.16542	14270.49014	11957.78995	15176.26126	11973.52836	12957.76835	13404.25231	12720.09272	12090.67139	15474.44821	14317.70495	15409.971	14603.82505	12460.22922	13409.55338	14105.05275	11358.58174	13687.49198	14090.08412	14891.19821	13200.62542	12690.26729	14142.06646	12989.6586	13513.93276	12347.64626	8145.88964	7840.81205
300	360	6318.68178	10519.82678	12995.00604	16111.04693	16399.56759	12709.72518	18525.59605	14301.79804	12535.70795	11208.2561	11741.44563	12504.31128	12885.86129	9353.16778	16092.08576	13207.33884	15070.5116	7142.87157	6477.24915	10188.4849	13192.24226	16107.0404	15952.27844	13600.5109	17773.63013	13449.46076	12265.75719	11947.38641	14474.60084	13607.86674	16363.09033	6589.84949	7748.80995	9170.34282	9511.36889	7960.55061	6881.22323	6534.81885	16440.0471	16787.30407	16073.2484	18559.56636	14950.2713	16325.69503	15041.03678	17118.75055	16941.94184	14943.44926	14783.43057	16121.6715	12582.44069	16298.97064	16132.9658	15539.20955	15750.7836	17065.09522	16250.22598	17721.83981	14405.96012	17321.6072	15778.77632	17524.87969	15024.98995	16380.42588	16033.48674	14793.562	14921.92706	15188.33584	11554.288	12922.05121	17724.88132	15184.00519	15306.87192	16581.66738	15745.32715	18121.61543	13250.96921	16577.60143	15125.49427	16689.29918	16866.52684	15562.77572	14002.50029	16972.28357	12839.8686	15509.86704	13848.11037	15477.74247	14593.30237	16030.93093	16026.37627	17979.34273	14139.70769	17094.10946	15175.47811	17575.53894	15625.61579	15535.00975	15614.74167	14709.826	14188.93282	15205.83155	13182.97743	12689.10568	15790.04091	14646.76943	12835.55469	11508.38557	13699.23554	15075.70051	15636.99595	12099.62975	13557.32448	12684.35545	11216.61779	13022.77016	12009.53286	13518.93155	12042.21677	12831.85452	15313.02505	12182.61147	12998.73816	17345.68778	12635.42048	13321.29511	14370.68289	11713.90155	13190.68466	13172.34428	10271.25831	13856.10015	14230.39818	14206.06795	13091.2564	12904.52119	11738.70144	13901.2843	16905.40639	12180.99559	11689.98765	10511.97564	13797.2836	15162.17512	14945.97055	12147.42379	14202.53917	12875.63095	11001.84307	13570.80032	11553.71012	14239.62571	11036.7001	12630.56444	12918.42106	12399.72799	11866.61238	14525.67569	13186.72207	13742.46529	13832.39478	11720.24546	13035.43479	12926.02008	10968.07633	13260.39173	13753.01745	14026.13736	13000.56875	12228.01002	13331.71118	12410.58799	12652.25655	12274.76781	8226.54642	7768.5379
360	480	5818.24459	9151.61086	12226.06983	14453.88612	15234.19276	11462.37207	16746.47578	13545.05374	11651.01482	9957.21496	11137.2063	11967.96867	12047.44224	9142.14422	13952.87713	13130.39727	16021.4574	6597.8444	6191.24788	9933.6503	11928.63578	14507.40297	15346.39518	11943.4981	16277.80848	13593.94603	11179.19656	11102.06411	14085.56046	12595.73701	16049.40607	6819.69474	7638.76227	8557.04096	8197.15472	7752.02372	6542.53286	7014.64371	14635.90252	14402.22334	14039.28289	16484.85937	13893.26087	15174.51156	13322.77905	15658.92439	14823.67832	13336.62011	13352.6049	14668.34067	11302.52595	14831.34346	15235.16564	13944.95905	14215.34763	14784.66058	15013.80449	15866.76725	12849.21607	16231.17594	14254.25167	15799.11548	13982.6231	14700.39446	13984.20307	12875.75269	13734.08199	13493.67489	10481.28012	12424.78022	16362.84292	13827.20186	14463.69369	15024.99549	13981.64172	16094.71547	11999.25429	15143.83801	13701.48266	15227.60781	15133.45625	14145.19733	12532.8395	14933.34767	11640.70349	13979.89534	12282.24182	14119.15502	13510.13243	14765.34275	14353.29389	16530.06435	12507.86782	15951.5191	13481.89041	15692.15723	14264.11817	13987.92034	13911.0711	13143.86638	12825.10912	13825.34111	11837.38364	11687.62351	14538.84306	13110.07392	11504.36427	10417.57926	12566.36181	13854.0982	14293.72253	11881.5098	12415.88911	12040.35876	9781.34312	11955.82217	11278.09827	12324.52611	11103.70461	11930.57064	14097.89535	11348.82941	12123.03489	15254.89021	12341.28039	12186.14217	13137.57446	11231.07372	12525.16189	12370.04792	9946.05657	12750.25208	13186.95741	13195.20036	12110.05479	11727.05408	10779.10089	13778.34534	15494.30595	11396.47927	11025.45152	10634.02684	12677.9614	13722.86833	14057.32392	10985.15368	13194.60473	11953.50071	10370.72914	12393.90989	10922.00948	12889.4051	10246.51349	11852.26369	11408.55375	11589.49461	11281.95158	13417.61916	12188.12407	12802.81128	12685.37594	10901.03727	12126.59482	12341.26962	10541.59298	12204.83677	12613.67118	13116.54468	11898.22963	11650.49323	12301.86751	11645.23696	11917.25226	11343.3097	7941.67153	7741.83175
