region	acq	desc	success	K1	k2	k3	k4	inpshift	vB	VT	Vnd	BPp	BPnd	K1-se	k2-se	k3-se	k4-se	VT-se	Vnd-se	BPp-se	BPnd-se	AIC	BIC	RSS	reduced_chisq
ACC	acq	NA	TRUE	0.2002995978044581	0.1676537679095735	0.03074055595797761	0.0532779166144082	-0.11276111639788128	0.05	1.8840581682515374	1.1947217190638542	0.6893364491876831	0.576984948200176	0.01568719991223823	0.04755593687967022	0.2003728939034105	0.15090202212257342	0.019029558584015456	0.03475912456215273	0.06523375572776245	0.09193555578061609	58.338191752796575	64.81737608281821	9.000204138600937	0.391313223417432
Amygdala	acq	NA	TRUE	0.1570235198059625	0.15931606202274984	0.1037777765541124	0.11541997419096597	-0.11276111639788128	0.05	1.8718035463456586	0.9856100999002851	0.8861934464453733	0.8991318641469179	0.018701385972372732	0.0930694017109716	0.23853665626471818	0.10340874840655626	0.010219158050938508	0.07642854790456632	0.08264251021886944	0.15776470847653304	38.30392624848879	44.783110578510446	4.285500832655909	0.18632612315895258
Caudate	acq	NA	TRUE	0.19776311310454991	0.1458932279522437	0.016189676783829165	0.03395801119397044	-0.11276111639788128	0.05	2.0017914244571555	1.3555331928722913	0.6462582315848642	0.4767557408280669	0.011092735039017327	0.03094660367026739	0.17579698212980613	0.1706652597446959	0.02249914822028361	0.02225490096466559	0.06464681177798656	0.07341840860808546	47.77914479950117	54.258329129522814	6.087097980482052	0.26465643393400223
Frontal	acq	NA	TRUE	0.2324011713146655	0.18581514079612657	0.024273533669388236	0.04726583776640296	-0.11276111639788128	0.05	1.8930190039338668	1.250711703680016	0.6423073002538509	0.5135534419034906	0.01061788734185801	0.028829040019737837	0.14026769939375125	0.11833882445197726	0.015196462156597914	0.020343529900176516	0.04871073961068148	0.061488691393507766	44.4482783737124	50.927462703734044	5.380632987292449	0.23394056466488908
Hippocampus	acq	NA	TRUE	0.1684838836954383	0.16462332654818504	0.047096391030852766	0.05456807377510748	-0.11276111639788128	0.05	1.9067666467187392	1.0234508512748541	0.883315795443885	0.8630759301666407	0.016677857048618305	0.05492417795787648	0.16316021226851302	0.10968165749476375	0.016940246525501	0.04102120780190813	0.04966900215397674	0.08411031361021565	50.17400182729111	56.65318615731275	6.6516826617147125	0.2892035939875962
Insula	acq	NA	TRUE	0.22004573182519263	0.21935993151773242	0.07731490735020191	0.09407686840526622	-0.11276111639788128	0.05	1.8275226713491677	1.0031263699925288	0.824396301356639	0.8218269661904901	0.023604960475002358	0.08252676720892992	0.2350273299116802	0.1322296077496048	0.017072742628114177	0.0621811729538626	0.07587923710354387	0.13372936152456164	67.65285936443173	74.13204369445339	12.708041073063336	0.5525235249157973
Occipital	acq	NA	TRUE	0.26559112314034206	0.20398868518335903	0.020881862608329776	0.03756626052030901	-0.11276111639788128	0.05	2.0257231001869695	1.3019894848658422	0.7237336153211275	0.5558674810616473	0.011064304526189332	0.02707841352869078	0.13348305464039067	0.12960028664719722	0.019692436916052356	0.018423484394831418	0.052996690865677105	0.06025905225492285	53.1161597436617	59.59534407368334	7.41747472885787	0.32249890125469
PCC	acq	NA	TRUE	0.22689770066491835	0.1970453045576105	0.031698318109852554	0.051804613581287726	-0.11276111639788128	0.05	1.8560825562401242	1.151500164768351	0.7045823914717734	0.6118821455952769	0.012329182589154681	0.03408670060293229	0.13925887651120328	0.1105441761740573	0.01550132559583423	0.024108791003452534	0.04690811641244967	0.06369901382961186	47.935705866394144	54.41489019641579	6.122496903544131	0.266195517545397
Parietal	acq	NA	TRUE	0.2253071475680639	0.1810496807820248	0.019285490449533805	0.038370688646029466	-0.11276111639788128	0.05	1.8699219103591183	1.24444929477298	0.6254726155861382	0.5026099642735872	0.009277466107485649	0.024002465316903435	0.12683904737337612	0.11963238756597848	0.016387183565839365	0.016718410640290157	0.04769781137946283	0.05520717039544924	38.24072981622919	44.71991414625084	4.275481882336904	0.18589051662334366
Putamen	acq	NA	TRUE	0.23861388290031954	0.14706243222498472	0.021809552607111034	0.0519468448724746	-0.11276111639788128	0.05	2.3037454209328447	1.6225345881351538	0.6812108327976908	0.41984364325979306	0.007988956160314885	0.024941396949368214	0.13898402176017804	0.10762869421179812	0.010655058243155678	0.01847686370060331	0.04587700893121043	0.05998124508776617	36.16090142305585	42.64008575307749	3.9585038405095627	0.17210886263085054
Temporal	acq	NA	TRUE	0.20380925134716488	0.1673534618134634	0.02584704865958525	0.048504619457768544	-0.11276111639788128	0.05	1.866795770029418	1.2178370805041134	0.6489586895253044	0.5328780835419081	0.011862057722481778	0.03450454920348989	0.15970010562202705	0.12819969737023426	0.016074841272076888	0.024940475391557394	0.05312849097279479	0.07054552228268532	45.6801175437577	52.15930187377935	5.631803317054913	0.2448610137849962
Thalamus	acq	NA	TRUE	0.2022927032944704	0.14410767281363027	0.04000776688194213	0.07743502170559394	-0.11276111639788128	0.05	2.1290312861601133	1.403760808462218	0.7252704776978957	0.5166624351711385	0.011825106424350598	0.04527965594404127	0.1936756107464237	0.11821189896536693	0.010634662620211623	0.03527418242474462	0.06611677277258729	0.09888885858566003	42.12649591089419	48.60568024091584	4.93727756860504	0.21466424211326263
