pet	frame_start	frame_end	frame_dur	frame_mid	TAC	weights
sub-04_ses-blocked	0	30	30	15	0.00234585696105201	0.48667421099717095
sub-04_ses-blocked	30	60	30	45	0.3985216590962986	0.5438274479800906
sub-04_ses-blocked	60	90	30	75	6.535390107366724	0.7306162551972611
sub-04_ses-blocked	90	120	30	105	17.087256976608728	0.880675076840842
sub-04_ses-blocked	120	150	30	135	28.94339890020778	0.9965146820974702
sub-04_ses-blocked	150	180	30	165	35.25204250011538	1.0450341198601218
sub-04_ses-blocked	180	240	60	210	38.265559492503975	1.3011520125012896
sub-04_ses-blocked	240	300	60	270	38.01328856606957	1.2846915843404747
sub-04_ses-blocked	300	360	60	330	36.66127545590573	1.2570046115652957
sub-04_ses-blocked	360	480	120	420	33.64468286416789	1.5056558603181565
sub-04_ses-blocked	480	600	120	540	29.54017932616003	1.4091301219666499
sub-04_ses-blocked	600	900	300	750	23.881935645554112	1.7246496337678012
sub-04_ses-blocked	900	1200	300	1050	18.352471020645112	1.482599343351827
sub-04_ses-blocked	1200	1500	300	1350	15.091554757960372	1.3154482517957418
sub-04_ses-blocked	1500	1800	300	1650	12.9852823620594	1.1921263781364968
sub-04_ses-blocked	1800	2100	300	1950	11.54154993683462	1.096950015647324
sub-04_ses-blocked	2100	2400	300	2250	10.22222622204406	1.0135894845060787
sub-04_ses-blocked	2400	2700	300	2550	9.192037779615118	0.9450247530161018
sub-04_ses-blocked	2700	3000	300	2850	8.441268576989334	0.8895642166257559
sub-04_ses-blocked	3000	3300	300	3150	7.863627198516054	0.8433237307796017
sub-04_ses-blocked	3300	3600	300	3450	7.346807821326191	0.8027933559645622
sub-04_ses-blocked	3600	3900	300	3750	6.95582430108339	0.7687082854550881
sub-04_ses-blocked	3900	4200	300	4050	6.7228639567876876	0.7409004544684556
sub-04_ses-blocked	4200	4500	300	4350	6.581845625976174	0.7172981677056169
sub-04_ses-blocked	4500	4800	300	4650	6.413954523513818	0.6953507213963099
sub-04_ses-blocked	4800	5100	300	4950	6.186782949462519	0.6744626238391608
sub-04_ses-blocked	5100	5400	300	5250	6.010061436629269	0.6562345998792564
